site_no,AREA,Lb,X1,Wb,POR,ALPHA,BETA,Ks,Kb,Kz,Qthresh,Rs,Rb1,Rb2,Prec,Frac4Rise,Error,BFF
2193340,86784000,7040.94,139.115,668.407,0.15,0.0244733,1,888.045,18106.3,1.28476,455062,-0.128897,-0.106304,-0.139495,185.939,0.05,1.27,0.333122
2338523,43008000,14808.3,3270.74,767.153,0.15,0.0126212,9.4,904.124,3133.81,2.24552,535799,-0.20298,-0.0690915,-0.0402899,17952.9,0.05,0.327,0.446286
2339495,221184000,9628.05,100,631.935,0.15,0.0112639,1,879.48,9247.48,0.871429,24955,-0.225443,-0.0667349,-0.021045,2493.06,0.05,0.351,0.42819
2343225,755200000,23967.8,100,354.965,0.15,0.023006,1,2771.08,4911.18,0.857941,13893.1,-0.202733,-0.0838715,-0.0312103,1426.35,0.05,0.509,0.266504
2343940,164352000,12082.2,4905.59,574.199,0.15,0.01084,9.1,695.44,4849.63,1.0972,94193,-0.228283,-0.0761352,-0.0350861,2219.77,0.05,0.302,0.383719
2361000,1756160000,2882.87,308.893,1229.08,0.15,0.0110604,1,3965.32,21097.4,1.01227,132115,-0.308156,-0.0797622,-0.0834814,24.4657,0.05,0.439,0.348487
2364500,3025920000,9334.07,100,2820.89,0.15,0.00879073,1,3725.29,11682.9,0.911733,2862490,-0.0922512,-0.0605317,-0.0483248,41053.5,0.05,0.27,0.546407
2369800,224512000,12582.7,100,563.522,0.15,0.0110731,1,923.447,7860.98,0.929759,86858.2,-0.187754,-0.0831104,-0.0334371,7300.57,0.05,0.291,0.455277
2371500,1280000000,7423.93,285.018,1415.72,0.15,0.00951169,1.6,2931.21,9264.57,1.1055,62632.2,-0.0909233,-0.0744424,-0.0433838,6334.17,0.05,0.369,0.360176
2372250,1131520000,10161.1,100,1006.62,0.15,0.00860436,1,3295.79,10662.4,0.880364,67280.7,-0.0645481,-0.0763505,-0.0511378,6823.49,0.05,0.389,0.31017
2373000,1203200000,6911.55,100,1243.96,0.15,0.00752641,1,4053.88,9196.85,1.26744,29358.9,-0.169602,-0.110707,-0.042778,2984.82,0.05,0.432,0.203107
2374500,450560000,22266.9,8126.28,860.755,0.15,0.00795984,9.8,1671.96,5877.01,0.934409,633662,-0.230592,-0.0632326,-0.0394847,13735.1,0.05,0.28,0.46532
2374745,465920000,6782.91,127.221,1096.75,0.15,0.0122243,1.4,3669.97,5971.83,0.952603,62142.9,-0.17598,-0.0800896,-0.0557491,6091.96,0.05,0.351,0.377771
2388975,249088000,27551.8,100,1106.15,0.15,0.0144836,1,953.08,8965.25,0.907943,230907,-0.323782,-0.0415099,-0.0280259,18324.8,0.05,0.188,0.650655
2408540,673280000,8760.13,426.966,1286.81,0.15,0.0114239,1.5,3465.91,16295.5,1.0548,349860,-0.271047,-0.0786411,-0.0505604,2331.58,0.05,0.343,0.400101
2422500,519680000,18418.2,100,3717.94,0.15,0.0117467,1,360.842,9106.62,2.23956,952193,-0.0406688,-0.0255668,-0.0218281,96193.1,0.05,0.352,0.536212
2427250,668160000,9274.69,2818.82,1225.66,0.15,0.0058759,9.7,4046.88,2919.12,1.19119,266676,-0.251659,-0.120029,-0.0397384,6331.73,0.05,0.335,0.261046
