em_iteration_epoch,epoch,loglik_epoch,step,train/em_iteration,train/loglik,train/loglik_change
100.0,0,-151.30169677734375,0,50.5,-133.6168975830078,2.0191664695739746
100.0,1,-151.30169677734375,1,,,
100.0,2,-151.30169677734375,2,,,
100.0,3,-151.30169677734375,3,,,
100.0,4,-151.30169677734375,4,,,
100.0,5,-151.30169677734375,5,,,
100.0,6,-151.30169677734375,6,,,
100.0,7,-151.30169677734375,7,,,
100.0,8,-151.30169677734375,8,,,
100.0,9,-151.30169677734375,9,,,
100.0,10,-151.30169677734375,10,,,
