#Info	Device Log	from Device	manufactured by	PyroScience GmbH
#Link	https://pyroscience.com
#Log Name	21270013
#Comment	OXCAPAF
#Device Name	AquapHOx-L-O2
#DeviceID	12
#UniqueID	24EB9B04575BA553
#Serial number	21270013
#Firmware	410
#Build	6
#Number of Channels	1
#Available Sensors	35
#Supported Analytes	3
#Channel	1
#
#settings	temp (0.001 °C)	pressure (0.001 mbar)	salinity (0.001 g/L)	duration (1=1ms, 8=128ms)	intensity (0=10%, 7=100%)	amp (3=40x, 4=80x, 5=200x, 6=400x)	frequency (Hz)	crcEnable	writeLock	options (bit0=autoFlashDur., bit1=autoAmpl., bit2=1000xOxygen)	broadcast	analyte (0=none, 1=O2, 2=T, 3=pH, 4=CO2)	fiberType (0=230um, 1=430um, 2=1mm)	dual frequency (Hz)
#0	-300000	1013000	27250	5	2	6	4000	0	0	3	3080192	1	2	100	0	0	0	0	0	0
#calibration	dphi0 (0.001 °)	dphi100 (0.001 °)	temp0 (0.001 °C)	temp100 (0.001 °C)	pressure (0.001 mbar)	humidity (0.001 %RH)	f (0.001)	m (0.001)	calFreq (Hz)	tt (10e-5/K)	kt (10e-5/K)	bkgdAmp (0.001 mV)	bkgdDphi (0.001 °)	useKsv	ksv (10e-6/mbar)	ft (10e-6 / K)	mt (10e-6/K)	tempOffset (0.001 °C)	percentO2 (0.001 %O2)
#1	53533	21984	20418	18210	1013000	100000	804	122	4000	-56	969	118	0	0	0	0	-303	0	20950	0	0	0	0	0	0	0	0	0	0	0
#analogOutput	aoSelectA	aoSelectB	aoSelectC	aoSelectD	aoMinA	aoMinB	aoMinC	aoMinD	aoMaxA	aoMaxB	aoMaxC	aoMaxD
#4	259	261	265	266	0	0	0	0	250000	50000	2500000	250000
#temperatureSettings	sensorType	enableAverage	resistorRef (0.001 Ohm)	a (E-10/K)	b (E-11/K)	c (E-13/K)	tempOffset (0.001 °C)	gain
#20	110100	1	56000000	10194608	24977213	322858	0	1
#settingsStatus	sensorCodeType	sensorCodeLED	sensorCodePD	sensorCodeMiddleBlock	sensorCodeLastBlock	sensorSerialNumber	backgroundCompensation	fiberLength	medium	unitsGas	unitsWater	activeSensors	sensorName0	sensorName1	sensorName2	sampleInterval	uidTemperature0	uidTemperature1	uidPressure0	uidPressure1	uidSalinity0	uidSalinity1	measValidityTime
#30	1392508928	2	6	519	195	241450558	0	0	1	0	3	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
#calibrationStatus	lastCal1	lastCal2	lastCal3
#31	671240704	664240704	60000101	0	0	0	0	0
#loggingStatus	filename0	filename1	filename2	mode	interval	duration	active
#32	926036274	858861616	0	1	4	18	0	0	0	0	0	0	0	0	0	0
#deviceStatus	deviceName0	deviceName1	deviceName2	deviceName3	deviceName4	deviceName5	uidLastConfig0	uidLastConfig1	settingsMode	dimPortLed	slaveAddress
#34	1097954657	1883787128	759967055	838860800	0	0	471265616	723084031	0	1000	1	0	0	0	0	0
#nonOpticalSensorsStatus	sampleIntervalSampleTemp	meaValTimeSampleTemp	sampleIntervalCaseTemp	meaValTimeCaseTemp	sampleIntervalPressure	meaValTimePressure	sampleIntervalHumidity	meaValTimeHumidity
#35	30000	90	0	900	0	900	0	900	0	0	0	0	0	0	0	0
#referenceSettings	referenceMode (0=standard, 1=averaging, 2=smart averaging)	refDurationAveragingMode (ms)	refDurationStandardMode (ms)	timeLimitSmartAveragingMode (s)
#41	2	20	50	10	0	0
#
DateTime (YYYY-MM-DD hh:mm:ss)	Fraction of Second (ms)	Comment	status	dphi (0.001 °)	umolar (0.001 umol/L)	mbar (0.001 mbar)	airSat (0.001 %air sat)	tempSample (0.001 °C)	tempCase (0.001 °C)	signalIntensity (0.001 mV)	ambientLight (0.001 mV)	pressure (0.001 mbar)	humidity (0.001 %RH)	resistorTemp (0.001 Ohm or 0.001 mV)	percentO2 (0.001 %O2)	tempOptical (0.001 °C)	pH (0.001 pH)	ldev (0.001 nm)	-	-
2024-07-04 11:21:14			0	21907	250678	208968	100557	18331	20510	1894545	4394	1048288	38127	13928362	20628	0	0	0	0	0
2024-07-04 11:21:44			0	21893	250946	209210	100674	18336	20480	1895513	3807	1048216	38137	13925131	20652	0	0	0	0	0
2024-07-04 11:22:14			0	21893	250917	209201	100671	18340	20450	1896801	3571	1048190	38133	13922121	20651	0	0	0	0	0
2024-07-04 11:22:44			0	21611	252690	213019	102595	18961	20330	1871892	1880	1048003	38221	13535476	21028	0	0	0	0	0
2024-07-04 11:23:14			0	21539	247076	212116	102311	20004	20100	1839380	1678	1047848	38516	12912298	20939	0	0	0	0	0
2024-07-04 11:23:44			0	21316	251365	216100	104245	20085	19940	1842740	1425	1048445	38786	12865521	21332	0	0	0	0	0
2024-07-04 11:24:14			0	21194	254072	218420	105364	20083	19860	1832379	2029	1049011	39093	12866446	21561	0	0	0	0	0
2024-07-04 11:24:44			0	21138	256114	219743	105984	19969	19830	1825351	1792	1049566	39297	12932512	21692	0	0	0	0	0
2024-07-04 11:25:14			0	21041	257359	221322	106767	20103	19810	1817779	1833	1049967	39416	12854860	21848	0	0	0	0	0
2024-07-04 11:25:44			0	20997	258812	222323	107240	20038	19830	1813923	2121	1050248	39460	12892718	21947	0	0	0	0	0
2024-07-04 11:26:14			0	20997	259222	222451	107293	19980	19850	1812883	2120	1050211	39451	12925899	21959	0	0	0	0	0
2024-07-04 11:26:44			0	20996	259626	222591	107351	19926	19860	1812071	2044	1050093	39408	12957699	21973	0	0	0	0	0
2024-07-04 11:27:14			0	20985	260218	222913	107499	19878	19850	1812839	1963	1049947	39364	12985807	22005	0	0	0	0	0
2024-07-04 11:27:44			0	20993	260320	222846	107460	19838	19850	1813835	1969	1049893	39375	13009346	21998	0	0	0	0	0
2024-07-04 11:28:14			0	20991	260629	222967	107513	19801	19830	1813371	1823	1049775	39362	13030598	22010	0	0	0	0	0
2024-07-04 11:28:44			0	20997	260706	222917	107484	19771	19800	1813715	2140	1049649	39404	13048382	22005	0	0	0	0	0
2024-07-04 11:29:14			0	21003	260754	222857	107452	19745	19790	1815255	2096	1049686	39446	13063620	21999	0	0	0	0	0
2024-07-04 11:29:44			0	21004	260895	222889	107463	19722	19770	1816267	2040	1049641	39476	13077528	22002	0	0	0	0	0
2024-07-04 11:30:14			0	21007	260962	222873	107453	19703	19750	1816039	1966	1049551	39507	13088286	22001	0	0	0	0	0
2024-07-04 11:30:44			0	21021	260749	222633	107334	19688	19730	1817271	1866	1049606	39549	13097506	21977	0	0	0	0	0
2024-07-04 11:31:14			0	21025	260736	222579	107307	19677	19720	1818675	2136	1049533	39591	13104118	21972	0	0	0	0	0
2024-07-04 11:31:44			0	21017	260991	222758	107392	19667	19710	1819003	2021	1049507	39624	13109672	21989	0	0	0	0	0
2024-07-04 11:32:14			0	21015	261087	222812	107417	19660	19700	1819363	2016	1049462	39666	13113884	21995	0	0	0	0	0
2024-07-04 11:32:44			0	21020	261015	222728	107375	19654	19690	1820407	2195	1049480	39686	13117416	21987	0	0	0	0	0
2024-07-04 11:33:14			0	21024	260945	222657	107340	19651	19680	1820455	1917	1049508	39717	13119559	21979	0	0	0	0	0
2024-07-04 11:33:44			0	21030	260829	222546	107287	19648	19670	1820831	1870	1049472	39739	13121298	21969	0	0	0	0	0
2024-07-04 11:34:14			0	21030	260844	222551	107288	19646	19660	1821315	1963	1049499	39770	13122056	21969	0	0	0	0	0
2024-07-04 11:34:44			0	21041	260592	222336	107185	19646	19650	1822683	1598	1049436	39802	13122176	21948	0	0	0	0	0
2024-07-04 11:35:14			0	21033	260768	222490	107259	19647	19650	1823319	1928	1049463	39813	13121605	21963	0	0	0	0	0
2024-07-04 11:35:44			0	21034	260731	222466	107248	19649	19650	1823751	1996	1049427	39835	13120617	21961	0	0	0	0	0
2024-07-04 11:36:14			0	21029	260831	222559	107293	19651	19630	1824179	2003	1049419	39866	13119285	21970	0	0	0	0	0
