iter	Passed	Remaining
0	149	149207
1	168	83995
2	186	61911
3	206	51450
4	227	45184
5	247	41028
6	267	37974
7	287	35588
8	308	33982
9	326	32344
10	346	31194
11	367	30222
12	387	29434
13	407	28696
14	428	28109
15	450	27680
16	476	27551
17	498	27191
18	517	26716
19	542	26580
20	561	26181
21	582	25908
22	605	25701
23	631	25661
24	651	25414
25	672	25183
26	691	24913
27	714	24788
28	733	24571
29	756	24460
30	775	24226
31	794	24042
32	816	23929
33	837	23787
34	864	23837
35	886	23739
36	907	23622
37	927	23486
38	948	23370
39	969	23267
40	990	23179
41	1011	23070
42	1031	22957
43	1053	22886
44	1076	22853
45	1099	22807
46	1121	22736
47	1143	22678
48	1168	22676
49	1189	22598
50	1212	22560
51	1237	22568
52	1259	22510
53	1279	22408
54	1300	22346
55	1321	22275
56	1343	22231
57	1368	22223
58	1390	22174
59	1410	22090
60	1429	22011
61	1452	21969
62	1473	21922
63	1498	21919
64	1521	21888
65	1544	21858
66	1570	21864
67	1598	21902
68	1619	21847
69	1639	21780
70	1660	21732
71	1687	21751
72	1719	21839
73	1760	22024
74	1794	22135
75	1820	22131
76	1844	22113
77	1866	22057
78	1887	22006
79	1917	22056
80	1940	22014
81	1964	21997
82	1990	21990
83	2012	21950
84	2043	22000
85	2062	21919
86	2083	21866
87	2104	21814
88	2126	21769
89	2146	21706
90	2171	21687
91	2191	21626
92	2217	21625
93	2240	21590
94	2260	21529
95	2280	21473
96	2303	21442
97	2329	21440
98	2352	21412
99	2373	21357
100	2396	21327
101	2420	21309
102	2445	21295
103	2465	21239
104	2488	21212
105	2508	21154
106	2532	21131
107	2552	21080
108	2573	21033
109	2595	20999
110	2616	20952
111	2637	20910
112	2658	20870
113	2681	20837
114	2705	20823
115	2729	20802
116	2755	20793
117	2775	20749
118	2797	20711
119	2818	20666
120	2839	20626
121	2860	20583
122	2888	20595
123	2910	20560
124	2930	20512
125	2951	20471
126	2974	20449
127	2996	20412
128	3015	20360
129	3036	20320
130	3057	20281
131	3080	20253
132	3100	20210
133	3119	20158
134	3142	20138
135	3168	20131
136	3194	20120
137	3215	20083
138	3236	20050
139	3259	20025
140	3289	20041
141	3309	19996
142	3331	19967
143	3353	19932
144	3373	19889
145	3391	19840
146	3416	19824
147	3439	19800
148	3460	19767
149	3481	19730
150	3511	19740
151	3543	19766
152	3576	19796
153	3597	19765
154	3621	19743
155	3642	19704
156	3672	19716
157	3695	19693
158	3717	19662
159	3740	19638
160	3769	19645
161	3798	19647
162	3821	19621
163	3842	19589
164	3867	19573
165	3888	19536
166	3911	19509
167	3934	19483
168	3958	19462
169	3983	19448
170	4004	19414
171	4030	19401
172	4056	19393
173	4087	19404
174	4116	19406
175	4140	19386
176	4163	19357
177	4185	19327
178	4209	19306
179	4237	19302
180	4260	19277
181	4286	19266
182	4311	19249
183	4333	19218
184	4358	19199
185	4381	19175
186	4403	19143
187	4425	19112
188	4455	19117
189	4474	19076
190	4494	19036
191	4515	19003
192	4539	18981
193	4560	18947
194	4583	18920
195	4606	18896
196	4632	18884
197	4654	18851
198	4677	18828
199	4698	18794
200	4719	18759
201	4744	18744
202	4768	18723
203	4797	18720
204	4822	18700
205	4844	18673
206	4870	18657
207	4892	18630
208	4915	18605
209	4941	18587
210	4962	18557
211	4986	18533
212	5015	18530
213	5046	18533
214	5075	18529
215	5105	18529
216	5134	18527
217	5163	18520
218	5189	18508
219	5216	18494
220	5242	18478
221	5267	18460
222	5294	18446
223	5320	18430
224	5345	18413
225	5373	18402
226	5397	18379
227	5421	18358
228	5447	18341
229	5473	18324
230	5499	18309
231	5525	18292
232	5552	18279
233	5577	18256
234	5608	18256
235	5633	18236
236	5656	18209
237	5684	18199
238	5712	18188
239	5740	18178
240	5762	18149
241	5792	18142
242	5813	18110
243	5837	18088
244	5863	18069
245	5888	18047
246	5913	18028
247	5937	18002
248	5961	17980
249	5988	17964
250	6013	17945
251	6041	17933
252	6068	17916
253	6093	17897
254	6119	17878
255	6143	17855
256	6166	17828
257	6189	17800
258	6216	17785
259	6241	17763
260	6266	17741
261	6288	17713
262	6312	17689
263	6337	17667
264	6366	17658
265	6390	17633
266	6423	17634
267	6452	17624
268	6481	17612
269	6509	17599
270	6533	17575
271	6557	17551
272	6590	17549
273	6619	17538
274	6644	17518
275	6674	17507
276	6700	17488
277	6722	17459
278	6745	17432
279	6769	17407
280	6792	17379
281	6816	17354
282	6844	17340
283	6866	17310
284	6887	17279
285	6909	17249
286	6932	17221
287	6955	17194
288	6976	17164
289	6999	17137
290	7032	17133
291	7052	17100
292	7073	17068
293	7095	17039
294	7119	17015
295	7141	16985
296	7165	16961
297	7187	16931
298	7207	16897
299	7227	16864
300	7248	16833
301	7270	16802
302	7297	16787
303	7321	16763
304	7342	16731
305	7363	16700
306	7392	16687
307	7416	16662
308	7439	16636
309	7462	16609
310	7485	16583
311	7506	16551
312	7527	16520
313	7551	16497
314	7575	16472
315	7598	16447
316	7626	16432
