substring,type,exception
EC:3.1.21.,hard,allow_nucleotide
EC:3.1.26.,hard,allow_nucleotide
EC:3.1.27.,hard,allow_nucleotide
nuclease,hard,allow_nucleotide
EC 3.1.21.,hard,allow_nucleotide
EC 3.1.26.,hard,allow_nucleotide
EC 3.1.27.,hard,allow_nucleotide
EC:3.2.,soft,allow_glycosyl
EC 3.2.,soft,allow_glycosyl
glycosylhydrolase,soft,allow_glycosyl
EC:3.2.1.17,soft,allow_glycosyl
EC 3.2.1.17,soft,allow_glycosyl
lysozyme,hard,
muramidase,hard,
endolysin,hard,
Endolysin,hard,
lysin,hard,
Lysin,hard,
EC:2.4.,soft,allow_glycosyl
EC 2.4.,soft,allow_glycosyl
toxin,hard,
Toxin,hard,
phospholipase,soft,allow_lipid
Phospholipase,soft,allow_lipid
Glycosyltransferase,soft,allow_glycosyl
glycosyltransferase,soft,allow_glycosyl
Glycosyl transferase,soft,allow_glycosyl
glycosyl transferase,soft,allow_glycosyl
Glycosyl hydrolase,soft,allow_glycosyl
glycosyl hydrolase,soft,allow_glycosyl
Glycoside hydrolase,soft,allow_glycosyl
glycoside hydrolase,soft,allow_glycosyl
adenylyltransferase,soft,allow_nucleotide
peptidase,soft,
Cell Wall,hard,
cell wall,hard,
Cell wall,hard,
Concanavalin A-like lectin/glucanases superfamily,soft,allow_glycosyl
Concanavalin A-like lectin,soft,allow_glycosyl
Lipopolysaccharide,soft,allow_lipid
lipopolysaccharide,soft,allow_lipid
acyl carrier,soft,allow_lipid
acyl-carrier,soft,allow_lipid
Acyl carrier,soft,allow_lipid
Acyl-carrier,soft,allow_lipid
pectate lyase,soft,allow_glycosyl
Pectate lyase,soft,allow_glycosyl
EC:4.2.2.2,soft,allow_glycosyl
EC 4.2.2.2,soft,allow_glycosyl
Histidine phosphatase,soft,allow_nucleotide
histidine phosphatase,soft,allow_nucleotide
histidinol phosphatase,soft,allow_nucleotide
Histidinol phosphatase,soft,allow_nucleotide
histidinol-phosphatase,soft,allow_nucleotide
Histidinol-phosphatase,soft,allow_nucleotide
