id,db,name
K06909,KEGG,phage terminase large subunit
K26586,KEGG,acetylcholinesterase collagenic tail peptide
K07474,KEGG,phage terminase small subunit
K06907,KEGG,Bacteriophage tail sheath protein
K21512,KEGG,Enterobacteria phage terminase large subunit [EC:3.1.21.4]
K21523,KEGG,"Straboviridae terminase, large subunit [EC:3.1.-.-]"
K26963,KEGG,Enterobacteria phage portal protein
K21511,KEGG,Enterobacteria phage capsid assembly protease [EC:3.4.21.-]
K26951,KEGG,Autographiviridae terminase large subunit [EC:3.6.4.- 3.1.21.-]
K26778,KEGG,Straboviridae long-tail fiber protein Gp37
K27053,KEGG,Tombusviridae capsid protein
K26782,KEGG,Straboviridae short tail fiber protein Gp12
K26943,KEGG,Autographiviridae portal protein
K06908,KEGG,Bacteriophage tail tube protein
K26980,KEGG,Enterobacteria phage tail fiber assembly protein
K21531,KEGG,Straboviridae tail sheath protein
K06906,KEGG,phage tail protein
K26976,KEGG,Enterobacteria phage tail tip assembly protein I
K26945,KEGG,Autographiviridae tail tubular protein Gp12
K26765,KEGG,Straboviridae portal protein
K26975,KEGG,Enterobacteria phage tail tip assembly protein K
K26974,KEGG,Enterobacteria phage tail tip protein L
K26944,KEGG,Autographiviridae tail tubular protein Gp11
K26754,KEGG,Straboviridae capsid vertex protein
K26973,KEGG,Enterobacteria phage tail tip protein M
K26947,KEGG,Autographiviridae capsid assembly scaffolding protein
K26961,KEGG,Enterobacteria phage major capsid protein
K26771,KEGG,Straboviridae tail completion protein Gp15
K26774,KEGG,Straboviridae tail tube protein Gp19
K26805,KEGG,Straboviridae tail fiber assembly protein
K26969,KEGG,Enterobacteria phage tail tube protein
K26762,KEGG,Straboviridae capsid assembly scaffolding protein
K26775,KEGG,Straboviridae long-tail fiber proximal subunit
K16292,KEGG,KDEL-tailed cysteine endopeptidase [EC:3.4.22.-]
K26946,KEGG,Autographiviridae tail fiber protein
K22014,KEGG,"Enterobacteria phage terminase small subunit, DNA-packaging protein"
K21524,KEGG,"Straboviridae terminase, small subunit"
K27021,KEGG,Genomoviridae capsid protein
K01551,KEGG,arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]
K26967,KEGG,Enterobacteria phage tail completion protein
K19260,KEGG,Papillomaviridae major capsid protein L1
K21808,KEGG,Alphapapillomavirus minor capsid protein L2
K26970,KEGG,Enterobacteria phage tail assembly protein G
K26777,KEGG,Straboviridae long-tail fiber protein Gp36
K26772,KEGG,Tequatrovirus tail tube terminator protein
K26968,KEGG,Enterobacteria phage tail tube terminator protein
K26802,KEGG,Alphanodavirus capsid protein alpha [EC:3.4.23.44]
K26795,KEGG,Straboviridae baseplate tail-tube junction protein Gp54
K26971,KEGG,Enterobacteria phage tail assembly protein GT
K26962,KEGG,Enterobacteria phage capsid decoration protein
K26756,KEGG,Straboviridae highly immunogenic outer capsid protein
K26966,KEGG,Enterobacteria phage head-tail connector protein FII
K25928,KEGG,Enterovirus capsid protein VP0
K19252,KEGG,Dependoparvovirus capsid protein VP1/VP2/VP3
K19248,KEGG,Polyomaviridae major capsid protein VP1
K26511,KEGG,Bocaparvovirus minor capsid protein VP1 [EC:3.1.1.4]
K25797,KEGG,Erythroparvovirus capsid protein VP1/VP2
K26105,KEGG,Cytomegalovirus tripartite terminase subunit 3
K21078,KEGG,Cytomegalovirus capsid scaffolding protein [EC:3.4.21.97]
K26952,KEGG,Autographiviridae terminase small subunit
K26103,KEGG,Cytomegalovirus tripartite terminase subunit 1
K26020,KEGG,Herpesviridae portal protein
K26018,KEGG,Herpesviridae capsid vertex component 2
K26507,KEGG,Lymphocryptovirus capsid scaffolding protein [EC:3.4.21.97]
K26016,KEGG,Herpesviridae triplex capsid protein 2
K26014,KEGG,Herpesviridae major capsid protein
K26776,KEGG,Straboviridae long-tail fiber protein Gp35
K26760,KEGG,"Straboviridae inhibitor of prohead protease Gp21, minor capsid protein"
K26806,KEGG,Straboviridae tail fiber assembly helper protein
K27013,KEGG,Closteroviridae minor capsid protein
K24106,KEGG,SARS coronavirus nucleocapsid protein
K26007,KEGG,Mastadenovirus core-capsid bridging protein
K25127,KEGG,Enterovirus C capsid protein VP1
K26803,KEGG,Straboviridae capsid assembly protein Gp31
K26755,KEGG,Straboviridae small outer capsid protein
K26017,KEGG,Herpesviridae capsid vertex component 1
K26015,KEGG,Herpesviridae triplex capsid protein 1
K26794,KEGG,Straboviridae baseplate tail-tube junction protein Gp48
K26104,KEGG,Cytomegalovirus tripartite terminase subunit 2
K26000,KEGG,Flavivirus capsid protein C
K25929,KEGG,Alphavirus capsid protein [EC:3.4.21.90]
K23129,KEGG,Orthohepadnavirus capsid protein
K27047,KEGG,Rudiviridae major capsid protein
K26438,KEGG,Aquareovirus major inner capsid protein VP3 [EC:3.6.4.13]
K25306,KEGG,HIV capsid protein
K25052,KEGG,HTLV-1 capsid protein
K25664,KEGG,HIV-1 nucleocapsid protein
K25053,KEGG,HTLV-1 nucleocapsid protein
K27058,KEGG,Virgaviridae capsid protein
K24598,KEGG,Rotavirus core capsid protein VP2
K27008,KEGG,Bromovirus capsid protein
K19249,KEGG,Rotavirus outer capsid protein VP4
K24596,KEGG,Rotavirus outer capsid protein VP7
K24597,KEGG,Rotavirus inner capsid protein VP6
K20521,KEGG,myosin tail region-interacting protein MTI1
PF04860.16,Pfam,Phage portal protein
PF10145.13,Pfam,Phage-related minor tail protein
PF05065.17,Pfam,Phage capsid family
PF03237.19,Pfam,"Terminase large subunit, T4likevirus-type, N-terminal"
PF04466.17,Pfam,Phage terminase large subunit
PF17289.6,Pfam,Terminase RNaseH-like domain
PF20441.2,Pfam,"Terminase large subunit, endonuclease domain"
PF03354.19,Pfam,"Terminase large subunit, ATPase domain"
PF05133.18,Pfam,"Phage portal protein, SPP1 Gp6-like"
PF03592.20,Pfam,Terminase small subunit
PF05876.16,Pfam,"Phage terminase large subunit gpA, ATPase domain"
PF05136.17,Pfam,"Phage portal protein, lambda family"
PF05521.15,Pfam,Phage head-tail joining protein
PF20454.2,Pfam,"Terminase large subunit gpA, endonuclease domain"
PF13550.10,Pfam,Putative phage tail protein
PF12236.12,Pfam,Bacteriophage head to tail connecting protein
PF06605.15,Pfam,Prophage endopeptidase tail
