,,,Duration
period1,sc01,t0001,1
period1,sc01,t0002,1
period1,sc01,t0003,1
period1,sc01,t0004,1
period1,sc01,t0005,1
period1,sc01,t0006,1
period1,sc01,t0007,1
period1,sc01,t0008,1
period1,sc01,t0009,1
period1,sc01,t0010,1
period1,sc01,t0011,1
period1,sc01,t0012,1
period1,sc01,t0013,1
period1,sc01,t0014,1
period1,sc01,t0015,1
period1,sc01,t0016,1
period1,sc01,t0017,1
period1,sc01,t0018,1
period1,sc01,t0019,1
period1,sc01,t0020,1
period1,sc01,t0021,1
period1,sc01,t0022,1
period1,sc01,t0023,1
period1,sc01,t0024,1
period1,sc01,t0025,1
period1,sc01,t0026,1
period1,sc01,t0027,1
period1,sc01,t0028,1
period1,sc01,t0029,1
period1,sc01,t0030,1
period1,sc01,t0031,1
period1,sc01,t0032,1
period1,sc01,t0033,1
period1,sc01,t0034,1
period1,sc01,t0035,1
period1,sc01,t0036,1
period1,sc01,t0037,1
period1,sc01,t0038,1
period1,sc01,t0039,1
period1,sc01,t0040,1
period1,sc01,t0041,1
period1,sc01,t0042,1
period1,sc01,t0043,1
period1,sc01,t0044,1
period1,sc01,t0045,1
period1,sc01,t0046,1
period1,sc01,t0047,1
period1,sc01,t0048,1
period1,sc01,t0049,1
period1,sc01,t0050,1
period1,sc01,t0051,1
period1,sc01,t0052,1
period1,sc01,t0053,1
period1,sc01,t0054,1
period1,sc01,t0055,1
period1,sc01,t0056,1
period1,sc01,t0057,1
period1,sc01,t0058,1
period1,sc01,t0059,1
period1,sc01,t0060,1
period1,sc01,t0061,1
period1,sc01,t0062,1
period1,sc01,t0063,1
period1,sc01,t0064,1
period1,sc01,t0065,1
period1,sc01,t0066,1
period1,sc01,t0067,1
period1,sc01,t0068,1
period1,sc01,t0069,1
period1,sc01,t0070,1
period1,sc01,t0071,1
period1,sc01,t0072,1
period1,sc01,t0073,1
period1,sc01,t0074,1
period1,sc01,t0075,1
period1,sc01,t0076,1
period1,sc01,t0077,1
period1,sc01,t0078,1
period1,sc01,t0079,1
period1,sc01,t0080,1
period1,sc01,t0081,1
period1,sc01,t0082,1
period1,sc01,t0083,1
period1,sc01,t0084,1
period1,sc01,t0085,1
period1,sc01,t0086,1
period1,sc01,t0087,1
period1,sc01,t0088,1
period1,sc01,t0089,1
period1,sc01,t0090,1
period1,sc01,t0091,1
period1,sc01,t0092,1
period1,sc01,t0093,1
period1,sc01,t0094,1
period1,sc01,t0095,1
period1,sc01,t0096,1
period1,sc01,t0097,1
period1,sc01,t0098,1
period1,sc01,t0099,1
period1,sc01,t0100,1
period1,sc01,t0101,1
period1,sc01,t0102,1
period1,sc01,t0103,1
period1,sc01,t0104,1
period1,sc01,t0105,1
period1,sc01,t0106,1
period1,sc01,t0107,1
period1,sc01,t0108,1
period1,sc01,t0109,1
period1,sc01,t0110,1
period1,sc01,t0111,1
period1,sc01,t0112,1
period1,sc01,t0113,1
period1,sc01,t0114,1
period1,sc01,t0115,1
period1,sc01,t0116,1
period1,sc01,t0117,1
period1,sc01,t0118,1
period1,sc01,t0119,1
period1,sc01,t0120,1
period1,sc01,t0121,1
period1,sc01,t0122,1
period1,sc01,t0123,1
period1,sc01,t0124,1
period1,sc01,t0125,1
period1,sc01,t0126,1
period1,sc01,t0127,1
period1,sc01,t0128,1
period1,sc01,t0129,1
period1,sc01,t0130,1
period1,sc01,t0131,1
period1,sc01,t0132,1
period1,sc01,t0133,1
period1,sc01,t0134,1
period1,sc01,t0135,1
period1,sc01,t0136,1
period1,sc01,t0137,1
period1,sc01,t0138,1
period1,sc01,t0139,1
period1,sc01,t0140,1
period1,sc01,t0141,1
period1,sc01,t0142,1
period1,sc01,t0143,1
period1,sc01,t0144,1
period1,sc01,t0145,1
period1,sc01,t0146,1
period1,sc01,t0147,1
period1,sc01,t0148,1
period1,sc01,t0149,1
period1,sc01,t0150,1
period1,sc01,t0151,1
period1,sc01,t0152,1
period1,sc01,t0153,1
period1,sc01,t0154,1
period1,sc01,t0155,1
period1,sc01,t0156,1
period1,sc01,t0157,1
period1,sc01,t0158,1
period1,sc01,t0159,1
period1,sc01,t0160,1
period1,sc01,t0161,1
period1,sc01,t0162,1
period1,sc01,t0163,1
period1,sc01,t0164,1
period1,sc01,t0165,1
period1,sc01,t0166,1
period1,sc01,t0167,1
period1,sc01,t0168,1
period1,sc01,t0169,1
period1,sc01,t0170,1
period1,sc01,t0171,1
period1,sc01,t0172,1
period1,sc01,t0173,1
period1,sc01,t0174,1
period1,sc01,t0175,1
period1,sc01,t0176,1
period1,sc01,t0177,1
period1,sc01,t0178,1
period1,sc01,t0179,1
period1,sc01,t0180,1
period1,sc01,t0181,1
period1,sc01,t0182,1
period1,sc01,t0183,1
period1,sc01,t0184,1
period1,sc01,t0185,1
period1,sc01,t0186,1
period1,sc01,t0187,1
period1,sc01,t0188,1
period1,sc01,t0189,1
period1,sc01,t0190,1
period1,sc01,t0191,1
period1,sc01,t0192,1
period1,sc01,t0193,1
period1,sc01,t0194,1
period1,sc01,t0195,1
period1,sc01,t0196,1
period1,sc01,t0197,1
period1,sc01,t0198,1
period1,sc01,t0199,1
period1,sc01,t0200,1
period1,sc01,t0201,1
period1,sc01,t0202,1
period1,sc01,t0203,1
period1,sc01,t0204,1
period1,sc01,t0205,1
period1,sc01,t0206,1
period1,sc01,t0207,1
period1,sc01,t0208,1
period1,sc01,t0209,1
period1,sc01,t0210,1
period1,sc01,t0211,1
period1,sc01,t0212,1
period1,sc01,t0213,1
period1,sc01,t0214,1
period1,sc01,t0215,1
period1,sc01,t0216,1
period1,sc01,t0217,1
period1,sc01,t0218,1
period1,sc01,t0219,1
period1,sc01,t0220,1
period1,sc01,t0221,1
period1,sc01,t0222,1
period1,sc01,t0223,1
period1,sc01,t0224,1
period1,sc01,t0225,1
period1,sc01,t0226,1
period1,sc01,t0227,1
period1,sc01,t0228,1
period1,sc01,t0229,1
period1,sc01,t0230,1
period1,sc01,t0231,1
period1,sc01,t0232,1
period1,sc01,t0233,1
period1,sc01,t0234,1
period1,sc01,t0235,1
period1,sc01,t0236,1
period1,sc01,t0237,1
period1,sc01,t0238,1
period1,sc01,t0239,1
period1,sc01,t0240,1
period1,sc01,t0241,1
period1,sc01,t0242,1
period1,sc01,t0243,1
period1,sc01,t0244,1
period1,sc01,t0245,1
period1,sc01,t0246,1
period1,sc01,t0247,1
period1,sc01,t0248,1
period1,sc01,t0249,1
period1,sc01,t0250,1
period1,sc01,t0251,1
period1,sc01,t0252,1
period1,sc01,t0253,1
period1,sc01,t0254,1
period1,sc01,t0255,1
period1,sc01,t0256,1
period1,sc01,t0257,1
period1,sc01,t0258,1
period1,sc01,t0259,1
period1,sc01,t0260,1
period1,sc01,t0261,1
period1,sc01,t0262,1
period1,sc01,t0263,1
period1,sc01,t0264,1
period1,sc01,t0265,1
period1,sc01,t0266,1
period1,sc01,t0267,1
period1,sc01,t0268,1
period1,sc01,t0269,1
period1,sc01,t0270,1
period1,sc01,t0271,1
period1,sc01,t0272,1
period1,sc01,t0273,1
period1,sc01,t0274,1
period1,sc01,t0275,1
period1,sc01,t0276,1
period1,sc01,t0277,1
period1,sc01,t0278,1
period1,sc01,t0279,1
period1,sc01,t0280,1
period1,sc01,t0281,1
period1,sc01,t0282,1
period1,sc01,t0283,1
period1,sc01,t0284,1
period1,sc01,t0285,1
period1,sc01,t0286,1
period1,sc01,t0287,1
period1,sc01,t0288,1
period1,sc01,t0289,1
period1,sc01,t0290,1
period1,sc01,t0291,1
period1,sc01,t0292,1
period1,sc01,t0293,1
period1,sc01,t0294,1
period1,sc01,t0295,1
period1,sc01,t0296,1
period1,sc01,t0297,1
period1,sc01,t0298,1
period1,sc01,t0299,1
period1,sc01,t0300,1
period1,sc01,t0301,1
period1,sc01,t0302,1
period1,sc01,t0303,1
period1,sc01,t0304,1
period1,sc01,t0305,1
period1,sc01,t0306,1
period1,sc01,t0307,1
period1,sc01,t0308,1
period1,sc01,t0309,1
period1,sc01,t0310,1
period1,sc01,t0311,1
period1,sc01,t0312,1
period1,sc01,t0313,1
period1,sc01,t0314,1
period1,sc01,t0315,1
period1,sc01,t0316,1
period1,sc01,t0317,1
period1,sc01,t0318,1
period1,sc01,t0319,1
period1,sc01,t0320,1
period1,sc01,t0321,1
period1,sc01,t0322,1
period1,sc01,t0323,1
period1,sc01,t0324,1
period1,sc01,t0325,1
period1,sc01,t0326,1
period1,sc01,t0327,1
period1,sc01,t0328,1
period1,sc01,t0329,1
period1,sc01,t0330,1
period1,sc01,t0331,1
period1,sc01,t0332,1
period1,sc01,t0333,1
period1,sc01,t0334,1
period1,sc01,t0335,1
period1,sc01,t0336,1
period1,sc01,t0337,1
period1,sc01,t0338,1
period1,sc01,t0339,1
period1,sc01,t0340,1
period1,sc01,t0341,1
period1,sc01,t0342,1
period1,sc01,t0343,1
period1,sc01,t0344,1
period1,sc01,t0345,1
period1,sc01,t0346,1
period1,sc01,t0347,1
period1,sc01,t0348,1
period1,sc01,t0349,1
period1,sc01,t0350,1
period1,sc01,t0351,1
period1,sc01,t0352,1
period1,sc01,t0353,1
period1,sc01,t0354,1
