Species,MW (g/mol),Cation Charge,Anion Charge,Cation Stoich.,Anion Stoich.
NaCl,58.44,1,1,1,1
KCl,74.55,1,1,1,1
CaCl2,110.98,2,1,1,2
MgCl2,95.211,2,1,1,2
CaBr2,199.89,2,1,1,2
NaBr,102.894,1,1,1,1
KBr,119.002,1,1,1,1
NH4Cl,53.491,1,1,1,1
KHCOO,84.115,1,1,1,1
NaHCOO,68.01,1,1,1,1
ZnBr2,225.20,2,1,1,2
ZnCl2,136.286,2,1,1,2
