Structure,Cage,R(Cell) [1] (Å),R(Cell) [2] (Å),R(Cell) [3] (Å),Shell Coord. No. 1,Shell Coord. No. 2,Shell Coord. No. 3,r (Å),z,nu
I,512,3.906,6.593,8.056,20,20,50,3.906,20,0.043478261
I,51262,4.326,7.078,8.285,24,24,50,4.326,24,0.130434783
II,512,3.902,6.667,8.079,20,20,50,3.902,20,0.117647059
II,51264,4.682,7.464,8.782,28,28,50,4.682,28,0.058823529
