site,from_date,to_date,data_family,standard_measurement_name
Akitio at Cadmus Bridge,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Wainui at Herbertville Road Br,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Owahanga at Owahanga Station,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Manawatu at Hopelands,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Manawatu at Weber Road,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Manawatu at Foxton,,,water_temperature,Water Temperature [Water Temperature]
Mangatainoka at Pahiatua Town Bridge,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Rangitikei at Mangaweka,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Rangitikei at McKelvies,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Manawatu at Moutoa,,,water_temperature,Water Temperature [Water Temperature]
Makuri at Tuscan Hills,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Turakina at Waipu,,,water_temperature,Water Temperature [Water Temperature]
Whanganui at Te Rewa,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Kai Iwi at Handley Road,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Whangaehu at Kauangaroa,,,water_temperature,Water Temperature [Water Temperature]
Manawatu at Teachers College,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Pohangina at Mais Reach,,,water_temperature,Water Temperature [Water Temperature]
Oroua at Almadale Slackline,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Hokio at Lake Horowhenua,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Arawhata Drain at Dairy Track Bridge,,,water_temperature,Water Temperature [Dissolved Oxygen sensor]
Arawhata Drain at Hokio Beach Road,,,water_temperature,Water Temperature [Water Temperature]
Waikawa at ds Manakau Confluence,,,water_temperature,Water Temperature [Water Temperature]
Ohau at Haines Ford,,,water_temperature,Water Temperature [Water Temperature]
Arawhata at Culvert ds Joblins,,,water_temperature,Water Temperature [Water Temperature]
