site,from_date,to_date,data_family
Lake Koitiata,,,dissolved_oxygen
Lake William,,,dissolved_oxygen
Lake Wiritoa,,,dissolved_oxygen
Lake Horowhenua at Buoy,,,dissolved_oxygen
