#--- Experiment --------------------------------------------------------------------------
#Startmessung in Sulfit
#ch1+2: referenz f404
#ch3+4: neues tio2 f440
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com
#DESKTOP-BHG4TJB
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24EB9B03596FD090 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - Oxygen Sensor - SA6-500-200 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	8 ms	10% (A)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	20.000000	2	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	01.01.2001	01.01.2001	20.000000	50.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.584349	0.000000	-0.000303	0.000000	0.000000	fixed f	1013.000000	20.000000	0.000000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A Int. T1] - Fixed Temperature
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (%O2) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]
03-04-2023	13:15:08.473	0.031	-0.698	52.963	766	1	NotOK(11)	03-04-2023	13:15:08.473	0.031	20.000	OK	03-04-2023	13:15:08.473	0.031	977	OK
03-04-2023	13:15:09.472	1.029	-0.705	52.995	766	0	NotOK(11)	03-04-2023	13:15:09.472	1.029	20.000	OK	03-04-2023	13:15:09.472	1.029	977	OK
03-04-2023	13:15:10.475	2.033	-0.715	53.040	767	0	NotOK(11)	03-04-2023	13:15:10.475	2.033	20.000	OK	03-04-2023	13:15:10.475	2.033	977	OK
03-04-2023	13:15:11.471	3.029	-0.721	53.068	767	0	NotOK(11)	03-04-2023	13:15:11.471	3.029	20.000	OK	03-04-2023	13:15:11.471	3.029	977	OK
03-04-2023	13:15:12.472	4.029	-0.727	53.093	767	0	NotOK(11)	03-04-2023	13:15:12.472	4.029	20.000	OK	03-04-2023	13:15:12.472	4.029	977	OK
03-04-2023	13:15:13.472	5.030	-0.732	53.115	768	0	NotOK(11)	03-04-2023	13:15:13.472	5.030	20.000	OK	03-04-2023	13:15:13.472	5.030	977	OK
03-04-2023	13:15:14.471	6.028	-0.736	53.134	768	0	NotOK(11)	03-04-2023	13:15:14.471	6.028	20.000	OK	03-04-2023	13:15:14.471	6.028	977	OK
03-04-2023	13:15:15.471	7.029	-0.740	53.154	768	0	NotOK(11)	03-04-2023	13:15:15.471	7.029	20.000	OK	03-04-2023	13:15:15.471	7.029	977	OK
03-04-2023	13:15:16.472	8.029	-0.744	53.170	768	1	NotOK(11)	03-04-2023	13:15:16.472	8.029	20.000	OK	03-04-2023	13:15:16.472	8.029	977	OK
03-04-2023	13:15:17.470	9.028	-0.749	53.193	768	1	NotOK(11)	03-04-2023	13:15:17.470	9.028	20.000	OK	03-04-2023	13:15:17.470	9.028	977	OK
03-04-2023	13:15:18.474	10.031	-0.752	53.208	768	1	NotOK(11)	03-04-2023	13:15:18.474	10.031	20.000	OK	03-04-2023	13:15:18.474	10.031	977	OK
03-04-2023	13:15:19.473	11.031	-0.756	53.225	769	0	NotOK(11)	03-04-2023	13:15:19.473	11.031	20.000	OK	03-04-2023	13:15:19.473	11.031	977	OK
03-04-2023	13:15:20.475	12.032	-0.758	53.234	768	1	NotOK(11)	03-04-2023	13:15:20.475	12.032	20.000	OK	03-04-2023	13:15:20.475	12.032	977	OK
03-04-2023	13:15:21.475	13.033	-0.763	53.254	769	1	NotOK(11)	03-04-2023	13:15:21.475	13.033	20.000	OK	03-04-2023	13:15:21.475	13.033	977	OK
