In LightWin      ,In TraceWin              ,Units                  
``alpha_z``      ,:math:`\alpha_{zz'}`     ,:unit:`1`              
``alpha_zdelta`` ,:math:`\alpha_{z\delta}` ,:unit:`1`              
``alpha_phiw``   ,:math:`\alpha_{\phi W}`  ,:unit:`1`              
``beta_z``       ,:math:`\beta_{zz'}`      ,:unit:`mm/(\\pi.mrad)` 
``beta_zdelta``  ,:math:`\beta_{z\delta}`  ,:unit:`mm/(\\pi.\\%)`  
``beta_phiw``    ,:math:`\beta_{\phi W}`   ,:unit:`deg/(\\pi.MeV)` 
``gamma_z``      ,:math:`\gamma_{zz'}`     ,:unit:`mrad/(\\pi.mm)` 
``gamma_zdelta`` ,:math:`\gamma_{z\delta}` ,:unit:`\\%/(\\pi.mm)`  
``gamma_phiw``   ,:math:`\gamma_{\phi W}`  ,:unit:`MeV/(\\pi.deg)` 
