In LightWin                ,In TraceWin ,Units        
``x.envelope_pos``         ,            ,:unit:`mm`   
``x.envelope_energy``      ,            ,:unit:`mrad` 
``y.envelope_pos``         ,            ,:unit:`mm`   
``y.envelope_energy``      ,            ,:unit:`mrad` 
``z.envelope_pos``         ,            ,:unit:`mm`   
``z.envelope_energy``      ,            ,:unit:`mrad` 
``zdelta.envelope_pos``    ,            ,:unit:`mm`   
``zdelta.envelope_energy`` ,            ,:unit:`\\%`  
``phiw.envelope_pos``      ,            ,:unit:`deg`  
``phiw.envelope_energy``   ,            ,:unit:`MeV`  
