In LightWin    ,In TraceWin                ,Units                ,Normalized? 
``eps_x``      ,:math:`\epsilon_{xx'}`     ,:unit:`\\pi.mm.mrad` ,✅          
``eps_y``      ,:math:`\epsilon_{yy'}`     ,:unit:`\\pi.mm.mrad` ,✅          
``eps_z``      ,:math:`\epsilon_{zn}`      ,:unit:`\\pi.mm.mrad` ,✅          
``eps_zdelta`` ,:math:`\epsilon_{z\delta}` ,:unit:`\\pi.mm.\\%`  ,✅          
``eps_phiw``   ,:math:`\epsilon_{\phi W}`  ,:unit:`\\pi.deg.MeV` ,✅          
