HoleID,Easting,Northing,Elevation,z_on_terrain,Depth
WH_cpt001,1166544.905,4888863.461,532.3199846,530.4700138,19.8
WH_cpt002,1166733.18,4888863.798,518.4429017,512.126322,44.1
WH_cpt003,1166842.387,4888805.392,512.4239592,512.4239593,42.4
WH_cpt004,1166434.939,4888793.253,528.9575079,528.9575199,24.4
WH_cpt005,1167029.121,4888868.448,503.361597,503.3616092,31.9
WH_cpt006,1167226.905,4888843.506,495.4640087,494.8414504,26.2
WH_cpt007,1167132.175,4888812.242,498.1815268,498.1815415,15.3
WH_cpt008,1166626.808,4888801.933,516.9567383,516.9567321,43.4
WH_cpt009,1166996.924,4888790.458,507.2349733,505.7456353,20.2
WH_cpt010,1166840.08,4888736.014,516.7617856,516.0831421,26.5
WH_cpt011,1166738.423,4888684.378,519.9252503,517.5324275,30.5
