chemical_formula,space_group_name,space_group_number,cell_length_a,cell_length_b,cell_length_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_volume,ICSD_label,OQMD_label,label,SpontaneousMagnetization,UniaxialAnisotropyConstant
Co2Fe2H4,P6_3/mmc,194,2.645345 AA,2.645314 AA,8.539476 AA,90 deg,90 deg,120 deg,51.751119 AA^3,,,0001,1190240.2412648 A/m,2810000 J/m3
FeCoSi,Pnma,62,4.942 AA,3.776 AA,7.172 AA,90 deg,90 deg,90 deg,133.84 AA^3,165250,icsd-165250,0002,684366.2549226 A/m,440000 J/m3
Nd2Fe14B,P42/mnm,136,8.78 AA,8.78 AA,12.12 AA,90 deg,90 deg,90 deg,933.42 AA^3,,,0003,1280000 A/m,4300000 J/m3
Fe16N2,P42/mnm,136,8.78 AA,8.78 AA,12.12 AA,90 deg,90 deg,90 deg,933.42 AA^3,,,0005,1671126.902464901 A/m,1100000 J/m3
Fe3Y,,0,5.088172 AA,5.088172 AA,24.355398 AA,90 deg,90 deg,120 deg,546.071496 AA^3,,,0006,851479 A/m,-930000 J/m3
Fe2.33Ta0.67Y,,0,5.227483 AA,5.227483 AA,25.022642 AA,90 deg,90 deg,120 deg,592.173679 AA^3,,,0007,612746 A/m,2170000 J/m3
