SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica Algarve

CÓDIGO,NOME,LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,TELEMETRIA,ESTADO
29G/01HA,ALFERCE,-,-,169060.570305,41885.9977056,ARADE,RIBEIRA DE MONCHIQUE,-,-,FARO,MONCHIQUE,ALFERCE,NÃO,ATIVA,
30I/06HA,ALGIBRE,-,-,204607.987979,24627.9851268,RIBEIRAS DO ALGARVE,RIBEIRA DA QUARTEIRA OU DE ALTE,-,-,FARO,LOULÉ,BENAFIM,NÃO,ATIVA,
30E/02HA,ALJEZUR NORTE,-,-,141761.333576,39772.3022402,RIBEIRAS DO ALGARVE,RIBEIRA DE ALGIBRE OU DAS MERCÊS,-,-,FARO,ALJEZUR,ALJEZUR,NÃO,ATIVA,
30E/03HA,ALJEZUR SUL,-,-,141181.395137999,36828.1571892,RIBEIRAS DO ALGARVE,RIBEIRA DAS ALFAMBRAS,-,-,FARO,ALJEZUR,ALJEZUR,NÃO,ATIVA,
31E/01HA,ALMÁDENA,-,-,143845,14640,RIBEIRAS DO ALGARVE,RIBEIRA DE ALMADENA,-,-,FARO,LAGOS,LUZ,NÃO,INSTALAÇÃO AUTOMÁTICA,
31K/01HA,AMARO GONÇALVES,-,-,236081,14767,RIBEIRAS DO ALGARVE,RIBEIRA DOS MOSQUEIROS,-,-,FARO,TAVIRA,LUZ,NÃO,INSTALAÇÃO AUTOMÁTICA,
29J/02HA,AMEIXIAL,-,-,215986.032167,43440.8476852,GUADIANA,RIBEIRA DO VASCÃOZINHO,-,-,FARO,LOULÉ,AMEIXIAL,NÃO,ATIVA,
30G/01HA,ARROCHELA,-,-,170600,23700,RIBEIRAS DO ALGARVE,RIO ARADE,-,-,FARO,SILVES,SILVES,NÃO,INSTALAÇÃO AUTOMÁTICA,
29H/01HA,AZILHEIRA,-,-,189039.1234,46839.491359,ARADE,RIBEIRA DE ODELOUCA,-,-,FARO,SILVES,SÃO MARCOS DA SERRA,NÃO,ATIVA,
31E/02HA,BARÃO DE SÃO JOÃO,-,-,143283,19440,RIBEIRAS DO ALGARVE,RIBEIRA DE ALMADENA,-,-,FARO,LAGOS,BARÃO DE SÃO JOÃO,NÃO,INSTALAÇÃO AUTOMÁTICA,
31J/03HA,BELA MANDIL,-,-,223584.633,7634.481413,RIBEIRAS DO ALGARVE,RIBEIRA DE BELA MONDIL OU PECHAO,-,-,FARO,OLHÃO,PECHÃO,NÃO,ATIVA,
30K/02HA,BENÉMOLA,-,-,211075.170824,26900.9644047,RIBEIRAS DO ALGARVE,RIBEIRA DOS MOINHOS OU DA FONTE MENAVEL,-,-,FARO,LOULÉ,QUERENÇA,NÃO,ATIVA,
30E/01HA,BRAVURA JUSANTE,-,-,-,-,RIBEIRAS DO ALGARVE,RIBEIRO DE ODEÁXERE,-,-,FARO,LAGOS,BENSAFRIM,NÃO,ATIVA,
30I/07HA,CANAFECHAL,-,-,154265.9094,23471.27244,RIBEIRAS DO ALGARVE,RIBEIRA DE ARAO,-,-,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,NÃO,ATIVA,
30K/01HA,CARCAVAIA,-,-,237209.42,25500.41,RIBEIRAS DO ALGARVE,RIBEIRA DE ALPORTEL,-,-,FARO,TAVIRA,TAVIRA (SANTA MARIA),NÃO,ATIVA,
30F/05HA,CARRAPATEIRA,-,-,132950.12275,24675.96322,RIBEIRAS DO ALGARVE,RIBEIRA DA CARRAPATEIRA OU DO PARAISO OU DO BARRANCO DA CATARINA DIAS OU DO BARRANCO DO CORTE PERA JAQUES,-,-,FARO,ALJEZUR,BORDEIRA,NÃO,ATIVA,
31L/01HA,CERRO DO ALMARGEM,-,-,-,-,RIBEIRAS DO ALGARVE,RIBEIRA DE ALMARGEM,-,-,FARO,TAVIRA,CONCEIÇÃO,NÃO,ATIVA,
30D/01HA,CERRO DO PORTO,-,-,227459.860263,33583.6566132,GUADIANA,RIBEIRA DE ODELEITE,-,-,FARO,TAVIRA,CACHOPO,NÃO,ATIVA,
31K/02HA,ESPARTOSA,-,-,228442,20838,RIBEIRAS DO ALGARVE,RIBEIRA DO ARROIO DA PERNADA DO MARCO (ESTEIRO NOVO),-,-,FARO,TAVIRA,SANTA CATARINA DA FONTE DO BISPO,NÃO,INSTALAÇÃO AUTOMÁTICA,
31G/01HA,ESTÔMBAR,-,-,167430,21208,ARADE,RIO ARADE,-,-,FARO,LAGOA,ESTÔMBAR,NÃO,ATIVA,
29G/02HA,FORNINHOS,-,-,179603.431138,45721.9551195,ARADE,RIBEIRA DE ODELOUCA,-,-,FARO,SILVES,SÃO MARCOS DA SERRA,NÃO,ATIVA,
31E/07HA,FORTE DE ALMÁDENA,-,-,140147.74,12126.14,RIBEIRAS DO ALGARVE,RIBEIRA DE VALE BARAO OU RIBEIRO DE LAGOS,-,-,FARO,VILA DO BISPO,BUDENS,NÃO,ATIVA,
31K/07HA,FUNDO,-,-,236064.33,14767.25,RIBEIRAS DO ALGARVE,RIBEIRA DOS MOSQUETEIROS,-,-,FARO,TAVIRA,LUZ,NÃO,ATIVA,
30H/03HA,GAVIÃO DE BAIXO,-,-,18639.615867999,34670.11756,ARADE,RIBEIRA DO GAVIAO,-,-,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,NÃO,ATIVA,
