SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Qualidade águas subterrâneas

CÓDIGO,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO
608/375,1 AH,FARO,TAVIRA,SANTO ESTÊVÃO,RIBEIRAS DO ALGARVE,86.32,238726,19654,M14 - MALHÃO,EM SERVIÇO,
243/4,2º FURO,COIMBRA,ARGANIL,CEPOS,MONDEGO,-,213305,354636,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
608/472,3 RN/90,FARO,TAVIRA,LUZ,RIBEIRAS DO ALGARVE,26.57,234990,12940,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO,
159/N1,A01,VISEU,SERNANCELHE,CUNHA,DOURO,691,257333,432859,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
149/N2,A02,VISEU,SERNANCELHE,FERREIRIM,DOURO,742,253094,444039,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
149/N1,A03,VISEU,PENEDONO,GRANJA,DOURO,846,263556,448536,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
107/N1,A04,BRAGANÇA,MOGADOURO,MOGADOURO,DOURO,709,318354,486067,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
93/N1,A05,BRAGANÇA,MOGADOURO,SÃO MARTINHO DO PESO,DOURO,547,324531,497997,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
107/N2,A06,BRAGANÇA,MOGADOURO,PENAS ROIAS,DOURO,802,327497,489408,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
108/N1,A07,BRAGANÇA,MOGADOURO,TÓ,DOURO,718,332292,484491,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
94/N1,A08,BRAGANÇA,MOGADOURO,TRAVANCA,DOURO,666,336705,492627,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
63/N2,A10,BRAGANÇA,MIRANDELA,MÚRIAS,DOURO,335,285169,514626,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
104/N1,A11,BRAGANÇA,VILA FLOR,VILAS BOAS,DOURO,605,278989,486970,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
105/N1,A12,BRAGANÇA,VILA FLOR,LODÕES,DOURO,220,288044,483954,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
40/N2,A14,VIANA DO CASTELO,VIANA DO CASTELO,ANHA,LIMA/NEIVA,17,143974,521955,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
