SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Qualidade águas subterrâneas

CÓDIGO,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO
522/165,JD,BEJA,BEJA,BALEIZÃO,GUADIANA,115,240440,114980,A9 - GABROS DE BEJA,,
522/169,JD,BEJA,BEJA,BALEIZÃO,GUADIANA,130,236850,114700,A9 - GABROS DE BEJA,,
532/98,JD,BEJA,BEJA,QUINTOS,GUADIANA,140,238130,109250,A9 - GABROS DE BEJA,,
361/3,JFF1,LISBOA,TORRES VEDRAS,CAMPELOS,RIBEIRAS DO OESTE,-,102200,247320,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
361/128,JFF10,LISBOA,TORRES VEDRAS,SILVEIRA,RIBEIRAS DO OESTE,-,93858.75,240152.75,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO,
362/100,JFF13,LISBOA,TORRES VEDRAS,MAXIAL,RIBEIRAS DO OESTE,255,111650,240000,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
349/58,JFF22,LISBOA,LOURINHÃ,SÃO BARTOLOMEU DOS GALEGOS,RIBEIRAS DO OESTE,62,100040,257580,O23 - PAÇO,,
375/44,JFF5,LISBOA,TORRES VEDRAS,DOIS PORTOS,RIBEIRAS DO OESTE,-,110220,230880,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
361/36,JFF9,LISBOA,TORRES VEDRAS,-,RIBEIRAS DO OESTE,-,92630,241420,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
143/3,JK,AVEIRO,OVAR,CORTEGAÇA,VOUGA/RIBEIRAS COSTEIRAS,8,156891,440868,O1 - QUATERNÁRIO DE AVEIRO,,
516/127,JK,SETÚBAL,SINES,SINES,SADO,24,138790,111890,O32 - SINES,,
173/3,JK 1,AVEIRO,AVEIRO,SÃO JACINTO,VOUGA/RIBEIRAS COSTEIRAS,4,150010,412299,O2 - CRETÁCICO DE AVEIRO,,
240/58,JK 1,COIMBRA,MONTEMOR-O-VELHO,PEREIRA,MONDEGO,15,161205,357288,O31 - CONDEIXA - ALFARELOS,,
249/27,JK 1,COIMBRA,SOURE,VINHA DA RAINHA,MONDEGO,25,150463,343584,O7 - FIGUEIRA DA FOZ - GESTEIRA,,
584/2,JK 1,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,11,140850,39120,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,
595/97,JK 1,FARO,SILVES,ALCANTARILHA,RIBEIRAS DO ALGARVE,26,180140,22420,M5 - QUERENÇA - SILVES,EM SERVIÇO,
596/143,JK 1,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,64,186129,27180,M5 - QUERENÇA - SILVES,EM RESERVA,
605/199,JK 1,FARO,ALBUFEIRA,ALBUFEIRA,RIBEIRAS DO ALGARVE,33.23,195210,14340,M6 - ALBUFEIRA - RIBEIRA DE QUARTEIRA,EM SERVIÇO,
605/282,JK 1,FARO,LOULÉ,BOLIQUEIME,RIBEIRAS DO ALGARVE,42,199780,16970,M7 - QUARTEIRA,EM SERVIÇO,
606/127,JK 1,FARO,LOULÉ,LOULÉ (SÃO CLEMENTE),RIBEIRAS DO ALGARVE,202,211210,19130,M8 - S. BRÁS DE ALPORTEL,EM RESERVA,
608/482,JK 1,FARO,TAVIRA,SANTO ESTÊVÃO,RIBEIRAS DO ALGARVE,5,233250,17450,M13 - PERAL - MONCARAPACHO,ABANDONADO,
606/986,JK 11,FARO,FARO,SANTA BÁRBARA DE NEXE,RIBEIRAS DO ALGARVE,68,215210,13601,M9 - ALMANSIL - MEDRONHAL,EM RESERVA,
595/197,JK 12,FARO,LAGOA,ESTÔMBAR,RIBEIRAS DO ALGARVE,30,170600,22480,M5 - QUERENÇA - SILVES,EM SERVIÇO,
595/198,JK 13,FARO,LAGOA,ESTÔMBAR,ARADE,30,170800,22600,M5 - QUERENÇA - SILVES,EM SERVIÇO,
606/1020,JK 14,FARO,FARO,SANTA BÁRBARA DE NEXE,RIBEIRAS DO ALGARVE,48,215193,12797,M9 - ALMANSIL - MEDRONHAL,EM SERVIÇO,
595/137,JK 2,FARO,SILVES,SILVES,ARADE,78.8,174030,23800,M5 - QUERENÇA - SILVES,EM SERVIÇO,
606/137,JK 2,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,58.25,209497,14014,M9 - ALMANSIL - MEDRONHAL,EM RESERVA,
337/14,JK 21,LEIRIA,PENICHE,ATOUGUIA DA BALEIA,RIBEIRAS DO OESTE,45,100547,260102,O23 - PAÇO,,
587/21,JK 3,FARO,LOULÉ,ALTE,RIBEIRAS DO ALGARVE,198,196600,30300,M5 - QUERENÇA - SILVES,EM SERVIÇO,
595/95,JK 3,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,28.67,178910,22150,M5 - QUERENÇA - SILVES,EM SERVIÇO,
600/63,JK 3,FARO,VILA REAL DE SANTO ANTÓNIO,VILA NOVA DE CACELA,RIBEIRAS DO ALGARVE,5.83,255256,23344,M16 - S. BARTOLOMEU,EM SERVIÇO,
606/130,JK 3,FARO,LOULÉ,QUARTEIRA,RIBEIRAS DO ALGARVE,18,203500,12290,M7 - QUARTEIRA,EM SERVIÇO,
611/71,JK 3,FARO,OLHÃO,QUELFES,RIBEIRAS DO ALGARVE,18,226509,8877,M11 - CHÃO DE CEVADA - QUINTA JOÃO DE OURÉM,EM RESERVA,
239/39,JK 30,COIMBRA,FIGUEIRA DA FOZ,TAVAREDE,MONDEGO,5,140010,354117,O7 - FIGUEIRA DA FOZ - GESTEIRA,,
584/3,JK 4,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,17,140950,39050,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,
595/96,JK 4,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,25,179254,22254,M5 - QUERENÇA - SILVES,EM RESERVA,
153/7,JK 5,AVEIRO,OVAR,OVAR,VOUGA/RIBEIRAS COSTEIRAS,10,156084,433068,O1 - QUATERNÁRIO DE AVEIRO,,
607/74,JK 5,FARO,FARO,ESTOI,RIBEIRAS DO ALGARVE,40.16,218318,12437,M10 - S. JOÃO DA VENDA - QUELFES,EM RESERVA,
596/188,JK 5/JCS,FARO,SILVES,ALGOZ,RIBEIRAS DO ALGARVE,67,185420,23200,M5 - QUERENÇA - SILVES,EM RESERVA,
250/6,JK 6,COIMBRA,CONDEIXA-A-NOVA,EGA,MONDEGO,50,165889,346821,O31 - CONDEIXA - ALFARELOS,,
598/5,JK 6,FARO,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,RIBEIRAS DO ALGARVE,247,222658,20639,M8 - S. BRÁS DE ALPORTEL,EM RESERVA,
600/62,JK 6,FARO,VILA REAL DE SANTO ANTÓNIO,VILA NOVA DE CACELA,RIBEIRAS DO ALGARVE,6,255220,23400,M16 - S. BARTOLOMEU,EM SERVIÇO,
606/106,JK 8,FARO,LOULÉ,QUARTEIRA,RIBEIRAS DO ALGARVE,30.41,203167,12462,M7 - QUARTEIRA,EM SERVIÇO,
607/329,JK 8,FARO,OLHÃO,MONCARAPACHO,RIBEIRAS DO ALGARVE,11.06,231813,11977,M10 - S. JOÃO DA VENDA - QUELFES,EM RESERVA,
608/132,JK 8,FARO,TAVIRA,LUZ,RIBEIRAS DO ALGARVE,38,237100,15130,M15 - LUZ - TAVIRA,EM SERVIÇO,
604/63,JK 9,FARO,LAGOA,PORCHES,RIBEIRAS DO ALGARVE,45.5,176280,19443,M4 - FERRAGUDO - ALBUFEIRA,EM RESERVA,
197/1,JK1,AVEIRO,OLIVEIRA DO BAIRRO,OLIVEIRA DO BAIRRO,VOUGA/RIBEIRAS COSTEIRAS,20,168321,393517,O3 - CÁRSICO DA BAIRRADA,,
219/293,JK1,AVEIRO,MEALHADA,LUSO,VOUGA/RIBEIRAS COSTEIRAS,305,180052,377273,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
296/3,JK1,LEIRIA,LEIRIA,MACEIRA,RIBEIRAS DO OESTE,167,132637,302224,O18 - MACEIRA,,
308/57,JK1,LEIRIA,PORTO DE MÓS,PORTO DE MÓS (SÃO PEDRO),LIS/RIBEIRAS COSTEIRAS,-,139343,296861,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
341/240,JK1,SANTARÉM,GOLEGÃ,AZINHAGA,TEJO,-,165584,264987,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
354/54,JK1,SANTARÉM,CHAMUSCA,CHOUTO,TEJO,-,182450,256770,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
362/13,JK1,LISBOA,TORRES VEDRAS,MAXIAL,RIBEIRAS DO OESTE,-,110830,242930,O25 - TORRES VEDRAS,,
384/95,JK1,PORTALEGRE,MONFORTE,VAIAMONTE,TEJO,295,257406,235530,A3 - MONFORTE - ALTER DO CHÃO,,
392/106,JK1,SANTARÉM,CORUCHE,-,TEJO,37,159869.5,222574.2,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
393/93,JK1,SANTARÉM,CORUCHE,ERRA,TEJO,-,172040,225290,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
426/298,JK1,ÉVORA,BORBA,BORBA (MATRIZ),TEJO,404,261322,202734,A4 - ESTREMOZ - CANO,,
444/10,JK1,SETÚBAL,PALMELA,POCEIRÃO,TEJO,-,146650,185060,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
455/391,JK1 -FARALHÃO,SETÚBAL,SETÚBAL,SADO,SADO,9.5,140582,173432,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO,
328/28,JK1-A,SANTARÉM,SANTARÉM,ALCANEDE,TEJO,80,142060,272139,O20 - MACIÇO CALCÁRIO ESTREMENHO,,
528/11,JK1-BORBOLEGA,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,SADO,50,176430,105413,T6 - BACIA DE ALVALADE,,
524/3,JK1-GARGALÃO,BEJA,MOURA,SOBRAL DA ADIÇA,GUADIANA,197.69,274479,119270,A10 - MOURA - FICALHO,,
442/517,JK10,SETÚBAL,SEIXAL,ARRENTELA,TEJO,27,115618,183380,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
455/388,JK10 - ALGERUZ,SETÚBAL,SETÚBAL,GÂMBIA-PONTES-ALTO DA GUERRA,SADO,10,140390,176813,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO,
328/84,JK10A,SANTARÉM,SANTARÉM,ABRÃ,TEJO,-,144595,273378,O20 - MACIÇO CALCÁRIO ESTREMENHO,,
309/84,JK11,SANTARÉM,OURÉM,SEIÇA,TEJO,-,166021,299200,O15 - OURÉM,,
250/33,JK12,COIMBRA,SOURE,SOURE,MONDEGO,-,163686,343331,O29 - LOURIÇAL,,
298/346,JK12,SANTARÉM,OURÉM,-,TEJO,-,165753,308058,O15 - OURÉM,,
454/802,JK12 - PERÚ,SETÚBAL,SETÚBAL,SÃO LOURENÇO,TEJO,49.1,120673,173483,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO,
250/35,JK13,COIMBRA,SOURE,SOURE,MONDEGO,-,159660,348021,O31 - CONDEIXA - ALFARELOS,,
326/51,JK13,LEIRIA,CALDAS DA RAINHA,SALIR DE MATOS,RIBEIRAS DO OESTE,45,119551,273782,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
453/117,JK13,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),TEJO,-,113030,174280,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
454/803,JK13 - QUINTA DO PERÚ,SETÚBAL,SESIMBRA,SESIMBRA (CASTELO),TEJO,49.5,120632,173515,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
454/800,JK14 - PINHAL DE NEGREIROS,SETÚBAL,SETÚBAL,SÃO LOURENÇO,TEJO,34.1,122048,177538,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
339/11,JK15,LEIRIA,CALDAS DA RAINHA,ALVORNINHA,RIBEIRAS DO OESTE,-,123764,269439,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
362/8,JK15,LISBOA,TORRES VEDRAS,CAMPELOS,RIBEIRAS DO OESTE,-,109360,248130,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
454/801,JK15 - PINHAL DE NEGREIROS,SETÚBAL,SETÚBAL,SÃO LOURENÇO,TEJO,26.8,121979,177754,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
327/14,JK18,LEIRIA,CALDAS DA RAINHA,ALVORNINHA,RIBEIRAS DO OESTE,78,122785,273257,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
408/10,JK18,ÉVORA,MORA,MORA,TEJO,129,195763,216714,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,,
442/487,JK18,SETÚBAL,SEIXAL,CORROIOS,TEJO,-,110430,185420,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
297/51,JK19,LEIRIA,LEIRIA,CORTES,LIS/RIBEIRAS COSTEIRAS,-,144500,302200,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
163/112,JK2,AVEIRO,MURTOSA,BUNHEIRO,VOUGA/RIBEIRAS COSTEIRAS,-,154786,420559,O2 - CRETÁCICO DE AVEIRO,,
208/2,JK2,AVEIRO,ANADIA,ARCOS,VOUGA/RIBEIRAS COSTEIRAS,-,174194,386440,O3 - CÁRSICO DA BAIRRADA,,
331/23,JK2,SANTARÉM,ABRANTES,ABRANTES (SÃO VICENTE),TEJO,-,194300,278640,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,,
341/241,JK2,SANTARÉM,GOLEGÃ,AZINHAGA,TEJO,-,165643,266170,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,EM SERVIÇO,
363/3,JK2,LISBOA,ALENQUER,OTA,TEJO,80,126670,245225,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
370/20,JK2,PORTALEGRE,FRONTEIRA,CABEÇO DE VIDE,TEJO,275,247717,241756,A3 - MONFORTE - ALTER DO CHÃO,,
370/4,JK2,PORTALEGRE,ALTER DO CHÃO,ALTER DO CHÃO,TEJO,255,240930,247516,A3 - MONFORTE - ALTER DO CHÃO,,
377/80,JK2,LISBOA,AZAMBUJA,AZAMBUJA,TEJO,18,136970,234520,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
443/48,JK2,SETÚBAL,MOITA,VALE DA AMOREIRA,TEJO,-,121600,187300,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
442/510,JK21,SETÚBAL,SEIXAL,CORROIOS,TEJO,-,112264,187123,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
326/136,JK25A,LEIRIA,CALDAS DA RAINHA,CALDAS DA RAINHA (SANTO ONOFRE),RIBEIRAS DO OESTE,-,112480,270900,O33 - CALDAS DA RAINHA - NAZARÉ,,
326/138,JK27,LEIRIA,CALDAS DA RAINHA,SERRA DO BOURO,RIBEIRAS DO OESTE,-,111600,276880,O33 - CALDAS DA RAINHA - NAZARÉ,,
326/140,JK28,LEIRIA,CALDAS DA RAINHA,SALIR DO PORTO,RIBEIRAS DO OESTE,-,112086,278566,O33 - CALDAS DA RAINHA - NAZARÉ,,
207/3,JK3,AVEIRO,ANADIA,VILARINHO DO BAIRRO,VOUGA/RIBEIRAS COSTEIRAS,45,164637,386781,O2 - CRETÁCICO DE AVEIRO,,
330/186,JK3,SANTARÉM,CHAMUSCA,PINHEIRO GRANDE,TEJO,-,174290,270680,T7 - ALUVIÕES DO TEJO,,
335/10,JK3,PORTALEGRE,CASTELO DE VIDE,SANTA MARIA DA DEVESA,TEJO,513.48,259588,271780,A2 - ESCUSA,,
338/136,JK3,LEIRIA,ÓBIDOS,ÓBIDOS (SANTA MARIA),RIBEIRAS DO OESTE,35,112470,269960,O33 - CALDAS DA RAINHA - NAZARÉ,,
350/4,JK3,LISBOA,CADAVAL,CADAVAL,RIBEIRAS DO OESTE,-,117360,253420,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
392/22,JK3,SANTARÉM,CORUCHE,CORUCHE,TEJO,-,166420,221320,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
432/549,JK3,SETÚBAL,ALCOCHETE,ALCOCHETE,TEJO,-,130280,197120,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
443/263,JK3,SETÚBAL,PALMELA,PINHAL NOVO,TEJO,-,132250,183270,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
339/176,JK30,LEIRIA,CALDAS DA RAINHA,VIDAIS,RIBEIRAS DO OESTE,-,121055,266979,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
339/174,JK31,LEIRIA,CALDAS DA RAINHA,-,RIBEIRAS DO OESTE,-,120800,265541,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
196/209,JK4,AVEIRO,ÁGUEDA,FERMENTELOS,VOUGA/RIBEIRAS COSTEIRAS,10,165093,399068,O2 - CRETÁCICO DE AVEIRO,,
286/12,JK4,SANTARÉM,OURÉM,-,TEJO,-,166369,314092,O15 - OURÉM,,
308/26,JK4,LEIRIA,BATALHA,BATALHA,LIS/RIBEIRAS COSTEIRAS,-,137906,299652,O19 - ALPEDRIZ,,
330/22,JK4,SANTARÉM,CHAMUSCA,PINHEIRO GRANDE,TEJO,25,174332,270792,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
414/76,JK4,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,GUADIANA,173,293655,213662,A11 - ELVAS - CAMPO MAIOR,,
430/408,JK4,LISBOA,CASCAIS,ALCABIDECHE,TEJO,-,89854,198395,O28 - PISÕES - ATROZELA,,
326/200,JK4 - BOM SUCESSO,LEIRIA,ÓBIDOS,VAU,RIBEIRAS DO OESTE,70,104150,271225,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
454/43,JK4 - PINHAL DE NEGREIROS,SETÚBAL,SETÚBAL,SÃO LOURENÇO,TEJO,40.8,121996,177210,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
412/107,JK4 TECHOCAS,ÉVORA,ESTREMOZ,SÃO DOMINGOS DE ANA LOURA,TEJO,371,253849,210637,A4 - ESTREMOZ - CANO,,
308/49,JK5,LEIRIA,BATALHA,BATALHA,LIS/RIBEIRAS COSTEIRAS,-,137536,299294,O19 - ALPEDRIZ,,
317/177,JK5,LEIRIA,ALCOBAÇA,VIMEIRO,RIBEIRAS DO OESTE,60,124590,280470,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
331/15,JK5,SANTARÉM,ABRANTES,ABRANTES (SÃO VICENTE),TEJO,75,193296,278102,T7 - ALUVIÕES DO TEJO,EM RESERVA,
339/45,JK5,SANTARÉM,RIO MAIOR,RIO MAIOR,TEJO,-,126900,261610,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
370/8,JK5,PORTALEGRE,ALTER DO CHÃO,ALTER DO CHÃO,TEJO,285,241150,248540,A3 - MONFORTE - ALTER DO CHÃO,,
391/312,JK5,SANTARÉM,SALVATERRA DE MAGOS,FOROS DE SALVATERRA,TEJO,41,151239,224433,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
455/101,JK5 - POÇO MOURO,SETÚBAL,SETÚBAL,SETÚBAL (SÃO SEBASTIÃO),SADO,30,136532,175260,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO,
342/81,JK5 ULME,SANTARÉM,CHAMUSCA,ULME,TEJO,-,173920,261020,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
391/280,JK6,SANTARÉM,BENAVENTE,BENAVENTE,TEJO,-,141270,223620,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
455/392,JK6 - POÇO MOURO,SETÚBAL,SETÚBAL,SETÚBAL (SÃO SEBASTIÃO),SADO,30.3,136375,174999,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,EM SERVIÇO,
308/50,JK6A,LEIRIA,BATALHA,BATALHA,LIS/RIBEIRAS COSTEIRAS,-,137182,298305,O19 - ALPEDRIZ,,
308/51,JK7,LEIRIA,PORTO DE MÓS,CALVARIA DE CIMA,LIS/RIBEIRAS COSTEIRAS,149,137483,297179,O19 - ALPEDRIZ,,
338/137,JK7,LEIRIA,ÓBIDOS,SOBRAL DA LAGOA,RIBEIRAS DO OESTE,50,109070,265600,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
341/192,JK7,SANTARÉM,SANTARÉM,-,TEJO,-,158213,266131,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
411/107,JK7,PORTALEGRE,SOUSEL,SOUSEL,TEJO,253.96,235040,218740,A4 - ESTREMOZ - CANO,,
250/30,JK8,COIMBRA,SOURE,SOURE,MONDEGO,-,155814,344899,O7 - FIGUEIRA DA FOZ - GESTEIRA,,
342/105,JK8,SANTARÉM,CHAMUSCA,ULME,TEJO,-,173845,261164,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
352/141,JK8,SANTARÉM,SANTARÉM,ALMOSTER,TEJO,-,137137,253085,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,,
272/1,JK9,LEIRIA,LEIRIA,COIMBRÃO,LIS/RIBEIRAS COSTEIRAS,-,130306,328579,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
455/252,JK9 - POÇO MOURO,SETÚBAL,SETÚBAL,GÂMBIA-PONTES-ALTO DA GUERRA,SADO,28.2,136837,174952,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,,
176/C18,LAGOA,VISEU,VOUZELA,CAMPIA,VOUGA/RIBEIRAS COSTEIRAS,-,193451,411701,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
602/35,LF 1,FARO,VILA DO BISPO,-,RIBEIRAS DO ALGARVE,9,142905,14301,M2 - ALMÁDENA - ODEÁXERE,EM RESERVA,
533/51,LF 4,BEJA,SERPA,ALDEIA NOVA DE SÃO BENTO,GUADIANA,249,262667,107517,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
602/6,LF 6,FARO,LAGOS,BENSAFRIM,RIBEIRAS DO ALGARVE,6.48,149853,18344,M2 - ALMÁDENA - ODEÁXERE,EM RESERVA,
602/8,LF 9,FARO,LAGOS,BENSAFRIM,RIBEIRAS DO ALGARVE,10,149790,18350,M2 - ALMÁDENA - ODEÁXERE,EM RESERVA,
521/38,LF-3,BEJA,BEJA,BEJA (SANTIAGO MAIOR),SADO,211.6,220310,117310,A9 - GABROS DE BEJA,,
488/13,LF1,BEJA,ALVITO,ALVITO,SADO,237.63,212023,143773,A6 - VIANA DO ALENTEJO - ALVITO,,
262/4,LF2,LEIRIA,POMBAL,REDINHA,MONDEGO,-,161856,339518,O29 - LOURIÇAL,,
426/295,LF2 FONTE FREIXO 1,ÉVORA,BORBA,BORBA (MATRIZ),GUADIANA,432,258590,205376,A4 - ESTREMOZ - CANO,,
308/56,LS 2,LEIRIA,PORTO DE MÓS,-,LIS/RIBEIRAS COSTEIRAS,-,137505,297188,O19 - ALPEDRIZ,EM SERVIÇO,
229/281,LS1,COIMBRA,MONTEMOR-O-VELHO,MONTEMOR-O-VELHO,MONDEGO,-,153290,360960,O30 - VISO - QUERIDAS,,
219/271,LUSO - FONTE DE S. JOÃO,AVEIRO,MEALHADA,LUSO,VOUGA/RIBEIRAS COSTEIRAS,210,179345,379416,A12 - LUSO,,
104/N3,MEIRELES NOVO,BRAGANÇA,VILA FLOR,VILARINHO DAS AZENHAS,DOURO,-,279812.61,488395.32,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
261/143,MF1,LEIRIA,POMBAL,GUIA,LIS/RIBEIRAS COSTEIRAS,-,144886,330363,O29 - LOURIÇAL,,
274/80,MF3,LEIRIA,POMBAL,POMBAL,MONDEGO,-,154362,326065,O29 - LOURIÇAL,,
274/84,MF4,LEIRIA,POMBAL,MEIRINHAS,MONDEGO,-,153324,320908,O29 - LOURIÇAL,,
286/25,MF5,LEIRIA,POMBAL,SANTIAGO DE LITÉM,MONDEGO,-,164135,315992,O15 - OURÉM,,
321/46,MINA,SANTARÉM,SARDOAL,SANTIAGO DE MONTALEGRE,TEJO,-,196280,289470,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
429/82,MINA 1,LISBOA,CASCAIS,ALCABIDECHE,TEJO,-,87821,199308,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
429/83,MINA 1,LISBOA,CASCAIS,ALCABIDECHE,TEJO,-,87591,199863,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
429/92,MINA 30,LISBOA,CASCAIS,ALCABIDECHE,TEJO,-,87017,199873,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
429/112,MINA 49,LISBOA,CASCAIS,ALCABIDECHE,RIBEIRAS DO OESTE,-,85965,199932,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
415/187,MINA 66,LISBOA,SINTRA,COLARES,RIBEIRAS DO OESTE,-,85860,200867,O0 - ORLA OCIDENTAL INDIFERENCIADO,,
317/258,MINA DE FRADES,LEIRIA,ALCOBAÇA,ALJUBARROTA (PRAZERES),RIBEIRAS DO OESTE,-,129460,286280,O20 - MACIÇO CALCÁRIO ESTREMENHO,,
448/56,MN30,ÉVORA,MONTEMOR-O-NOVO,NOSSA SENHORA DA VILA,TEJO,290,204254,184048,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
447/215,MN7,ÉVORA,MONTEMOR-O-NOVO,NOSSA SENHORA DO BISPO,TEJO,154,190232,188595,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
430/233,Manique de Cima,LISBOA,SINTRA,SINTRA (SÃO PEDRO DE PENAFERRIM),RIBEIRAS DO OESTE,-,93070,199520,O28 - PISÕES - ATROZELA,,
256/7,NASCENTE 1 (SÍTIO DA RATINHA),CASTELO BRANCO,FUNDÃO,ALPEDRINHA,TEJO,-,255474,348509,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
256/8,NASCENTE 2 (SÍTIO DA RATINHA),CASTELO BRANCO,FUNDÃO,ALPEDRINHA,TEJO,-,255512,348344,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
256/12,NASCENTE 6 (SÍTIO DA RATINHA),CASTELO BRANCO,FUNDÃO,ALPEDRINHA,TEJO,-,255561,348217,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
314/24,NASCENTE DA GALEANA,PORTALEGRE,NISA,SÃO SIMÃO,TEJO,-,241900,290675,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
256/13,NASCENTE DA PUCARINHA 1,CASTELO BRANCO,FUNDÃO,ALPEDRINHA,TEJO,-,255815,347550,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
256/14,NASCENTE DA PUCARINHA 2,CASTELO BRANCO,FUNDÃO,ALPEDRINHA,TEJO,-,255819,347401,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
256/4,NASCENTE DO ARREBENTÃO 1,CASTELO BRANCO,FUNDÃO,ALCONGOSTA,TEJO,-,253301,349114,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
338/181,NASCENTE DO OLHO MARINHO,LEIRIA,ÓBIDOS,OLHO MARINHO,RIBEIRAS DO OESTE,-,105327,262877,O24 - CESAREDA,,
311/105,NASCENTE VALE DE AÇOR,SANTARÉM,ABRANTES,FONTES,TEJO,-,192584,294832,A0 - MACIÇO ANTIGO INDIFERENCIADO,,
