,marker site,latitude,longitude,estacao3,estacao,codigo
0,920752670,39.320965,-9.04583,A-DOS-FRANCOS (18C/02U),A-DOS-FRANCOS (18C/02U),18C/02U
1,920752570,41.983,-8.501,ABEDIM (02G/01U),ABEDIM (02G/01U),02G/01U
2,920684954,39.454,-8.102,ABRANTES (17H/01C),ABRANTES (17H/01C),17H/01C
3,920684956,39.142,-9.011,ABRIGADA (19C/03G),ABRIGADA (19C/03G),19C/03G
4,920685726,39.416,-8.771,ABR&Atilde; (17E/02UG),ABRÃ (17E/02UG),17E/02UG
5,920684958,41.265468,-7.051418,ADEGANHA (06O/05UG),ADEGANHA (06O/05UG),06O/05UG
6,920684960,41.146,-7.607,ADORIGO (07L/01U),ADORIGO (07L/01U),07L/01U
7,920684964,40.82,-7.54,AGUIAR DA BEIRA (09L/01UG),AGUIAR DA BEIRA (09L/01UG),09L/01UG
8,920684966,40.305,-8.183,ALAGOA (12G/05C),ALAGOA (12G/05C),12G/05C
9,920684970,38.693,-7.404,ALANDROAL (21M/02UG),ALANDROAL (21M/02UG),21M/02UG
10,920684982,39.802089,-8.586394,ALBERGARIA DOS DOZE (15F/01UG),ALBERGARIA DOS DOZE (15F/01UG),15F/01UG
11,920684984,40.698,-8.482,ALBERGARIA-A-VELHA (09G/01UG),ALBERGARIA-A-VELHA (09G/01UG),09G/01UG
12,920684986,37.857,-7.962,ALBERNOA (26J/04UG),ALBERNOA (26J/04UG),26J/04UG
13,920684976,37.204,-8.7,ALBUFEIRA DA BRAVURA (30E/03F),ALBUFEIRA DA BRAVURA (30E/03F),30E/03F
14,920684980,37.327,-7.488,ALBUFEIRA DE ODELEITE (30M/05F),ALBUFEIRA DE ODELEITE (30M/05F),30M/05F
15,920686106,38.41778,-8.390561,ALBUFEIRA DE PEGO DO ALTAR (23G/01F),ALBUFEIRA DE PEGO DO ALTAR (23G/01F),23G/01F
16,920685748,37.515613,-8.441912,ALBUFEIRA DE SANTA CLARA (28G/01F),ALBUFEIRA DE SANTA CLARA (28G/01F),28G/01F
17,920684974,38.22317,-7.45971,ALBUFEIRA DO ALQUEVA (24L/02F),ALBUFEIRA DO ALQUEVA (24L/02F),24L/02F
18,920684972,38.39636,-7.38717,ALBUFEIRA DO ALQUEVA (MOUR&Atilde;O) (22M/05F),ALBUFEIRA DO ALQUEVA (MOURÃO) (22M/05F),22M/05F
19,1695334948,38.205,-7.501,ALBUFEIRA DO ALQUEVA ILHA (EDIA) (24L/03C),ALBUFEIRA DO ALQUEVA ILHA (EDIA) (24L/03C),24L/03C
20,920685750,38.282,-7.913,ALBUFEIRA DO ALVITO (24J/02F),ALBUFEIRA DO ALVITO (24J/02F),24J/02F
21,920684978,39.006,-7.148,ALBUFEIRA DO CAIA (19O/02F),ALBUFEIRA DO CAIA (19O/02F),19O/02F
22,920686166,39.014,-7.973,ALBUFEIRA DO MARANH&Atilde;O (19J/04F),ALBUFEIRA DO MARANHÃO (19J/04F),19J/04F
23,920686108,37.928975,-8.079641,ALBUFEIRA DO ROXO (26I/02F),ALBUFEIRA DO ROXO (26I/02F),26I/02F
24,920752556,39.948781,-7.134712,ALCAFOZES (14O/02U),ALCAFOZES (14O/02U),14O/02U
25,920684990,39.927664,-7.462216,ALCAINS (14M/01UG),ALCAINS (14M/01UG),14M/01UG
26,920752450,39.415414,-8.818053,ALCANEDE (17E/01U),ALCANEDE (17E/01U),17E/01U
27,920752452,39.459028,-8.663052,ALCANENA (17F/02CG),ALCANENA (17F/02CG),17F/02CG
28,920684992,40.201278,-7.519447,ALCARIA (12L/04UG),ALCARIA (12L/04UG),12L/04UG
29,920684994,37.191,-7.512,ALCARIA (CASTRO MARIM) (30L/04UG),ALCARIA (CASTRO MARIM) (30L/04UG),30L/04UG
30,920684996,37.561,-7.862,ALCARIA LONGA (28J/01G),ALCARIA LONGA (28J/01G),28J/01G
31,920752620,39.420969,-8.900832,ALCOBERTAS (17D/05U),ALCOBERTAS (17D/05U),17D/05U
32,920684998,38.753,-8.953,ALCOCHETE (21D/01UG),ALCOCHETE (21D/01UG),21D/01UG
33,920685000,39.213,-8.96,ALCOENTRE (18D/03C),ALCOENTRE (18D/03C),18D/03C
34,920685002,39.418,-8.584,ALCOROCHEL (17F/03G),ALCOROCHEL (17F/03G),17F/03G
35,920685004,37.46541,-7.472151,ALCOUTIM (29M/01UG),ALCOUTIM (29M/01UG),29M/01UG
36,920684988,38.390412,-8.151349,ALC&Aacute;&Ccedil;OVAS (23I/01C),ALCÁÇOVAS (23I/01C),23I/01C
37,920685006,39.303746,-7.724164,ALDEIA DA MATA (18K/02UG),ALDEIA DA MATA (18K/02UG),18K/02UG
