Date,Exercise,Category,Distance (miles),Duration (minutes)
2013-09-21,Running,Cardio,50.0,979.0
2025-11-9,Running,Cardio,10.10,74.39
2025-11-8,Running,Cardio,3.10,29.08
2025-11-6,Running,Cardio,3.20,32.22
2025-11-4,Running,Cardio,5.03,47.24
2025-11-2,Running,Cardio,11.00,88.03
2025-10-30,Running,Cardio,4.05,37.05
2025-10-29,Running,Cardio,5.09,42.46
2025-10-25,Running,Cardio,11.02,91.45
2025-10-23,Running,Cardio,4.24,36.57
2025-10-22,Running,Cardio,4.01,39.32
2025-10-21,Running,Cardio,5.28,45.22
2025-10-18,Running,Cardio,11.53,106.07
2025-10-16,Running,Cardio,5.01,51.37
2025-10-15,Running,Cardio,3.10,23.58
2025-10-8,Running,Cardio,5.14,52.34
2025-10-7,Running,Cardio,8.09,73.55
2025-10-3,Running,Cardio,3.47,44.30
2025-9-29,Running,Cardio,5.55,48.03
2025-9-24,Running,Cardio,4.43,35.59
2025-9-15,Running,Cardio,5.16,44.01
2025-9-7,Running,Cardio,2.08,17.24
2025-8-30,Running,Cardio,7.15,60.16
2025-8-26,Running,Cardio,6.46,63.39
2025-8-17,Running,Cardio,3.09,33.03
2025-8-9,Running,Cardio,13.63,224.38
2025-8-5,Running,Cardio,2.69,25.01
2025-8-3,Running,Cardio,5.63,56.04
2025-7-25,Running,Cardio,6.90,133.35
2025-7-24,Running,Cardio,14.32,153.48
2025-7-23,Running,Cardio,5.91,95.26
2025-7-22,Running,Cardio,2.19,42.52
2025-7-21,Running,Cardio,2.01,40.42
2025-7-21,Running,Cardio,3.36,50.12
2025-7-7,Running,Cardio,5.64,48.01
2025-6-26,Running,Cardio,3.80,33.52
2025-6-8,Running,Cardio,2.49,35.59
2025-5-23,Running,Cardio,5.04,43.33
2025-5-15,Running,Cardio,5.83,51.07
