E_rec_MeV
0.7
1.3
1.55
1.8
2.05
2.3
2.55
2.8
3.05
3.3
3.55
3.8
4.05
4.3
4.55
4.8
5.05
5.3
5.55
5.8
6.05
6.3
6.55
6.8
7.05
7.3
12.0
