,Node,Retailer,Technology,StorageType,OutflowsType,EnergyType,MustRun,NoOperatingReserve,BinaryCommitment,StorageInvestment,BinaryInvestment,BinaryRetirement,MaxCommitment,StandByStatus,FixedAvailability,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,StandByPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ProductionFunction,MaxCompressorConsumption,Availability,RampUp,RampDown,UpTime,DownTime,UpTimeZero,DownTimeZero,ReserveConsecutiveTime,CO2EmissionRate,FuelCost,OMVariableCost,LinearTerm,ConstantTerm,StartUpCost,ShutDownCost,FixedChargeRate,FixedInvestmentCost,FixedRetirementCost,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,MaxInflowsCons,MinInflowsCons,MaxOutflowsProd,MinOutflowsProd,OutflowsRampUp,OutflowsRampDown
AEL_01,Node2,HydR_01,Electrolyzer,,,,,Yes,Yes,,,,,No,, 2040 , 2050 , 1000 , 140 , 0.52 , 52.5 , 7.84 ,,,,, 56.82 ,,, 120 , 120 ,,, 0 , 3 ,,, 1 , 18.2 ,, 50 , 2612.5 , 1000 ,,,,,,,,,, 10000 , 3000 ,,
PEMEL_01,Node3,HydR_01,H2ESS,Hourly,Daily,,,Yes,,,,,,,, 2040 , 2050 , 912.3 ,,, 900 ,, 15 , 22 , 12 , 0.975 ,, 0.0012 ,, 120 , 120 ,,,,,,, 1 , 18.2 ,,,,,,,,,,,,,,,, 120 , 120 
