curie,label,retrieved_at
ENVO:03600010,membrane bioreactor,2025-10-19T07:20:44.033998
ENVO:01000155,organic material,2025-10-19T07:20:44.049391
ENVO:01001862,Solar radiation,2025-10-19T07:20:48.128270
ENVO:2000034,geothermal energy,2025-10-19T07:20:48.128709
ENVO:02000091,coal,2025-10-19T07:20:48.130074
ENVO:01000552,natural gas,2025-10-19T07:20:48.130484
ENVO:00002984,petroleum,2025-10-19T07:20:48.130898
ENVO:03510006,diesel fuel,2025-10-19T07:20:48.131379
ENVO:01000553,liquefied petroleum gas,2025-10-19T07:20:48.131638
ENVO:01000415,fine respirable suspended particulate matter,2025-10-19T07:20:48.777318
ENVO:01000405,respirable suspended particulate matter,2025-10-19T07:20:48.777792
ENVO:01000416,ultrafine respirable suspended particulate matter,2025-10-19T07:20:48.778019
ENVO:00002116,contaminated soil,2025-10-19T07:20:48.793839
ENVO:03501332,occupational environment,2025-10-19T07:20:48.794188
ENVO:01000944,microplastic particle,2025-10-19T07:20:48.797415
ENVO:00000284,quarry,2025-10-19T07:20:48.885588
ENVO:01001441,opencast mining,2025-10-19T07:20:48.886360
ENVO:01001204,alluvial deposit,2025-10-19T07:20:48.887034
ENVO:00002053,limestone,2025-10-19T07:20:48.910384
ENVO:02500039,water pollution,2025-10-19T07:20:48.915387
ENVO:02500037,air pollution,2025-10-19T07:20:48.915716
ENVO:02500012,deforestation,2025-10-19T07:20:48.915938
ENVO:01001346,erosion,2025-10-19T07:20:48.916466
ENVO:00001997,acid mine drainage,2025-10-19T07:20:48.916991
ENVO:01001069,metallic material,2025-10-19T07:20:50.020025
ENVO:03501307,ceramic,2025-10-19T07:20:50.020807
ENVO:06105005,thermoset polymer,2025-10-19T07:20:50.024438
ENVO:01000549,mass of biological material,2025-11-03T14:57:37.818813
ENVO:01000797,gaseous environmental material,2025-11-03T14:57:37.819212
ENVO:01001125,ice,2025-11-03T14:57:37.819452
ENVO:00002006,liquid water,2025-11-03T14:57:37.819665
ENVO:01000060,particulate environmental material,2025-11-03T14:57:37.820938
ENVO:00001995,rock,2025-11-03T14:57:37.821411
ENVO:00002007,sediment,2025-11-03T14:57:37.821598
ENVO:00001998,soil,2025-11-03T14:57:37.821779
ENVO:06105123,synthetic polymer,2025-11-03T14:57:37.821966
ENVO:00000169,canyon,2025-11-03T17:34:10.517468
ENVO:00000067,cave,2025-11-03T17:34:10.518004
ENVO:00000101,delta,2025-11-03T17:34:10.518422
ENVO:00000045,estuary,2025-11-03T17:34:10.518806
ENVO:00000215,hydrothermal vent,2025-11-03T17:34:10.519161
ENVO:00000020,lake,2025-11-03T17:34:10.519372
ENVO:00000081,mountain,2025-11-03T17:34:10.519700
ENVO:00000080,mountain range,2025-11-03T17:34:10.519896
ENVO:01001899,reef,2025-11-03T17:34:10.520210
ENVO:00000264,seamount,2025-11-03T17:34:10.520572
ENVO:00000267,submarine canyon,2025-11-03T17:34:10.520770
ENVO:00000247,volcano,2025-11-03T17:34:10.520956ENVO:00002030,aquatic biome,2025-11-25T07:59:01.134445
ENVO:00002229,arenosol,2025-11-25T07:59:01.134917
ENVO:00000134,permafrost,2025-11-25T07:59:01.135208
ENVO:00002269,thermocline,2025-11-25T07:59:01.135467
ENVO:00000133,glacier,2025-11-25T07:59:01.135704
ENVO:00002234,acrisol,2025-11-25T07:59:01.135959
ENVO:00005774,peat soil,2025-11-25T07:59:01.136199
ENVO:00005767,manured soil,2025-11-25T07:59:01.136442
ENVO:00002273,fluvisol,2025-11-25T07:59:01.136678
ENVO:00000873,freshwater biome,2025-11-25T07:59:01.137110
ENVO:00002030,aquatic biome,2025-11-25T08:16:30.607490
