"source_code","source_display","target_code","target_display"
"hl7fhir_draft","Pending","draft","Pending"
"hl7fhir_proposed","Proposed","proposed","Proposed"
"hl7fhir_active","Active","active","Active"
"hl7fhir_rejected","Rejected","rejected","Rejected"
"hl7fhir_inactive","Inactive","inactive","Inactive"
"hl7fhir_entered-in-error","Entered in Error","entered-in-error","Entered in Error"
