"source_code","source_display","target_code","target_display"
"snomedct_65656005","Natural mother","65656005","Natural mother"
"snomedct_9947008","Natural father","9947008","Natural father"
"snomedct_83420006","Natural daughter","83420006","Natural daughter"
"snomedct_113160008","Natural son","113160008","Natural son"
"snomedct_60614009","Natural brother","60614009","Natural brother"
"snomedct_73678001","Natural sister","73678001","Natural sister"
"snomedct_11286003","Twin sibling","11286003","Twin sibling"
"snomedct_45929001","Half-brother","45929001","Half-brother"
"snomedct_2272004","Half-sister","2272004","Half-sister"
"snomedct_62296006","Natural grandfather","62296006","Natural grandfather"
"snomedct_17945006","Natural grandmother","17945006","Natural grandmother"
"snomedct_1220561009","Not recorded","1220561009","Not recorded"
