"source_code","source_display","target_code","target_display"
"snomedct_248152002","Female","female","Female"
"snomedct_248153007","Male","male","Male"
"snomedct_184115007","Patient sex unknown","unknown","Patient sex unknown"
"snomedct_32570691000036108","Intersex","other","Intersex"
"snomedct_1220561009","Not recorded","unknown","Not recorded"
