"source_code","source_display","target_code","target_display"
"social-history","Social History","social-history","Social History"
"vital-signs","Vital Signs","vital-signs","Vital Signs"
"imaging","Imaging","imaging","Imaging"
"laboratory","Laboratory","laboratory","Laboratory"
"procedure","Procedure","procedure","Procedure"
"survey","Survey","survey","Survey"
"exam","Exam","exam","Exam"
"therapy","Therapy","therapy","Therapy"
"activity","Activity","activity","Activity"
