"source_code","source_display","target_code","target_display"
"loinc_la6683-2","Germline","LA6683-2","Germline"
"loinc_la6684-0","Somatic","LA6684-0","Somatic"
"loinc_la10429-1","Fetal","LA10429-1","Fetal"
"loinc_la18194-3","Likely germline","LA18194-3","Likely germline"
"loinc_la18195-0","Likely somatic","LA18195-0","Likely somatic"
"loinc_la18196-8","Likely fetal","LA18196-8","Likely fetal"
"loinc_la18197-6","Unknown genomic origin","LA18197-6","Unknown genomic origin"
"loinc_la26807-0","De novo","LA26807-0","De novo"
