"source_code","source_display","target_code","target_display"
"loinc_la26406-1","Karyotyping","LA26406-1","Karyotyping"
"loinc_la26404-6","FISH","LA26404-6","FISH"
"loinc_la26418-6","PCR","LA26418-6","PCR"
"loinc_la26419-4","qPCR (real-time PCR)","LA26419-4","qPCR (real-time PCR)"
"loinc_la26400-4","SNP array","LA26400-4","SNP array"
"loinc_la26813-8","Restriction fragment length polymorphism (RFLP)","LA26813-8","Restriction fragment length polymorphism (RFLP)"
"loinc_la26810-4","DNA hybridization","LA26810-4","DNA hybridization"
"loinc_la26398-0","Sequencing","LA26398-0","Sequencing"
"loinc_la26415-2","MLPA","LA26415-2","MLPA"
"loinc_la46-8","Other","",""
