"source_code","source_display","target_code","target_display"
"ga4gh_unknown_progress","No information is available about the diagnosis","UNKNOWN_PROGRESS","No information is available about the diagnosis"
"ga4gh_in_progress","No diagnosis has been found to date but additional differential diagnostic work is in progress.","IN_PROGRESS","No diagnosis has been found to date but additional differential diagnostic work is in progress."
"ga4gh_completed","The work on the interpretation is complete.","COMPLETED","The work on the interpretation is complete."
"ga4gh_solved","The interpretation is complete and also considered to be a definitive diagnosis","SOLVED","The interpretation is complete and also considered to be a definitive diagnosis"
"ga4gh_unsolved","The interpretation is complete but no definitive diagnosis was found","UNSOLVED","The interpretation is complete but no definitive diagnosis was found"
