"source_code","source_display","target_code","target_display"
"hl7fhir_planned","Planned","planned","Planned"
"hl7fhir_arrived","Arrived","arrived","Arrived"
"hl7fhir_triaged","Triaged","triaged","Triaged"
"hl7fhir_in-progress","In Progress","in-progress","In Progress"
"hl7fhir_onleave","On Leave","onleave","On Leave"
"hl7fhir_finished","Finished","finished","Finished"
"hl7fhir_cancelled","Cancelled","cancelled","Cancelled"
"hl7fhir_entered-in-error","Entered in Error","entered-in-error","Entered in Error"
"hl7fhir_unknown","Unknown","unknown","Unknown"
