element_name,k_e: x_min,k_e: x_max,k_e: x_0,phi_s: x_min,phi_s: x_max,phi_s: x_0,phi_0_abs: x_min,phi_0_abs: x_max,phi_0_abs: x_0,phi_0_rel: x_min,phi_0_rel: x_max,phi_0_rel: x_0
FM1,1.2434,8.504328,1.55425,-1.5707963267948966,-0.46097038771271104,-0.7682839795211851,-6.283185307179586,6.283185307179586,6.107622984752396,-6.283185307179586,6.283185307179586,2.6733382685722344
FM2,1.2434,8.504328,1.55425,-1.5707963267948966,-0.4635391038395045,-0.7725651730658408,-6.283185307179586,6.283185307179586,0.4470408928722591,-6.283185307179586,6.283185307179586,2.7382819700389436
FM3,1.251384,8.504328,1.56423,-1.5707963267948966,-0.4555656012529393,-0.7592760020882322,-6.283185307179586,6.283185307179586,4.2299130349750484,-6.283185307179586,6.283185307179586,2.8210629364610345
FM4,1.251384,8.504328,1.56423,-1.5707963267948966,-0.4580402220550886,-0.7634003700918144,-6.283185307179586,6.283185307179586,5.3063727925281725,-6.283185307179586,6.283185307179586,2.887734513887218
FM5,1.266216,8.504328,1.58277,-1.5707963267948966,-0.44980945329084315,-0.7496824221514052,-6.283185307179586,6.283185307179586,4.393409501040864,-6.283185307179586,6.283185307179586,2.972330622731383
FM6,1.266216,8.504328,1.58277,-1.5707963267948966,-0.4522010963414246,-0.7536684939023743,-6.283185307179586,6.283185307179586,5.934042406530423,-6.283185307179586,6.283185307179586,3.0407998892871206
FM7,1.288488,8.504328,1.61061,-1.5707963267948966,-0.4436856624999083,-0.7394761041665139,-6.283185307179586,6.283185307179586,0.36211548762837253,-6.283185307179586,6.283185307179586,3.127350766893519
FM8,1.288488,8.504328,1.61061,-1.5707963267948966,-0.44600225394341536,-0.7433370899056922,-6.283185307179586,6.283185307179586,2.3778091292063337,-6.283185307179586,6.283185307179586,-3.0854803181381754
FM9,1.318968,8.504328,1.64871,-1.5707963267948966,-0.4372113917198862,-0.728685652866477,-6.283185307179586,6.283185307179586,4.752170743104585,-6.283185307179586,6.283185307179586,-2.996887405306943
FM10,1.318968,8.504328,1.64871,-1.5707963267948966,-0.4394544862760339,-0.7324241437933898,-6.283185307179586,6.283185307179586,0.9712662858415584,-6.283185307179586,6.283185307179586,-2.9245435078117783
FM11,1.358784,8.504328,1.69848,-1.5707963267948966,-0.430369224396402,-0.71728204066067,-6.283185307179586,6.283185307179586,5.049890351379332,-6.283185307179586,6.283185307179586,-2.8337689334155534
FM12,1.358784,8.504328,1.69848,-1.5707963267948966,-0.4325399892198564,-0.720899982033094,-6.283185307179586,6.283185307179586,1.7678064781830258,-6.283185307179586,6.283185307179586,-2.7593131875254753
FM13,1.4093280000000001,8.504328,1.76166,-1.5707963267948966,-0.4231601935213427,-0.7052669892022378,-6.283185307179586,6.283185307179586,1.3112360362380358,-6.283185307179586,6.283185307179586,-2.6662347785166176
