"","Broad.cell.type","Top.Markers"
"1","monocyte","NKAIN3,SPP1,CDH19,TSPAN11,PLP1,L1CAM,MYOT,IGSF11,NRXN1,SLC35F1,AL136298.1,SFRP5,Z97205.2,AL358216.1,SOX10,MEGF10,SYT10,CADM2,SLITRK2,SOX2,CRTAC1,CHL1,ZNF536,FOXD3,PTPRZ1,GRIK3,TUBB2B,CMTM5,LINC01436,TTYH1,ADARB2,CDH2,TENM3,WNT6,ATP1A2,NRXN3,KCNMB4,TMEM132B,LPL,GFRA2,CHADL,FLRT1,CHST9,GJC3,Z95114.1,RHAG,FOXD3-AS1,BMS1P10,FAM19A5,FGFBP2"
"2","plasma cell","IGLL5,IGLV6-57,JCHAIN,FAM92B,IGLC3,IGLC2,IGHV3-7,IGKC,TNFRSF17,IGHG1,AC026369.3,IGHV3-23,IGKV4-1,IGKV1-5,IGHA1,IGLV3-1,IGLV2-11,MYL2,MZB1,IGHG3,IGHV3-74,IGHM,ANKRD36BP2,AMPD1,IGKV3-20,IGHA2,DERL3,AC104699.1,LINC02362,AL391056.1,LILRB4,CCL3,BMP6,UBE2QL1,LINC00309,AL133467.1,GPRC5D,FCRL5,DNAAF1,AP002852.1,AC007569.1,CXorf21,RNU1-85P,U62317.4,TXNDC5,LINC02384,CCR10,BFSP2,APOBEC3A,AC106897.1"
"3","cd8-positive, alpha-beta t cell","KLRC2,XCL2,LINC02446,CRTAM,KLRK1,KLRC4,KLRD1,XCL1,GZMH,CD160,CD8B,NKG7,GZMA,GZMB,GZMK,CD8A,TRGC2,SLA2,TIGIT,TNFRSF9,GPR18,CCL4,PRF1,ATP8B4,APBA2,CCL4L2,DUSP4,CTSW,TMIGD2,TRGC1,CCL5,ABI3,IL21R,IFNG,CD7,CLIC3,ENTPD1,LDLRAD4,PTPN22,HOPX,GZMM,CST7,PARD6G,ZEB2,SH2D1A,LAYN,LAG3,PRKCH,AOAH,IKZF2"
"4","transit amplifying cell of large intestine","HJURP,UBE2C,CENPA,PBK,AURKB,DLGAP5,CKAP2L,KIF2C,KIF15,BIRC5,SPC25,ASPM,KIF18B,CEP55,DEPDC1,MKI67,CDC45,CDCA5,TOP2A,PCLAF,MND1,RRM2,ZNF695,CCNB2,NUF2,SKA3,SPC24,DTL,PKMYT1,CDCA3,TTK,DIAPH3,PLK1,IQGAP3,CDK1,TK1,POLQ,GTSE1,OIP5,FOXM1,TROAP,SKA1,NEK2,CDC25C,NCAPG,PIMREG,GINS2,RAD51AP1,CDT1,CCNA2"
"5","intestinal enteroendocrine cell","GCG,PCSK1,AC090679.1,UCN3,PYY,INSL5,CHGA,LCN15,SCG2,FEV,CPLX2,NKX2-2,AL133325.3,C1orf127,LINC01014,SCGN,SLC18A1,SCG3,SCG5,TPH1,MARCH4,INSM1,RTN1,CRYBA2,SNAP25,CHGB,CRMP1,KCNB2,RFX6,AMER3,SLC32A1,CDK5R2,AVPR1B,VWA5B2,AC022893.2,ABCC8,RIMBP2,AL161658.1,COL2A1,CELF3,SCT,RIIAD1,SSTR5-AS1,RGS4,ARX,PRPH,INA,F5,AP003062.3,SLC5A8"
"6","intestinal crypt stem cell","AL031284.1,AC012085.1,IGFBPL1,HMGN2P6,CHCHD2P9,PPIAP40,LGR5,RPL7P54,AC010132.3,EIF5AP4,AC008694.2,COX5AP2,TDGF1,ASCL2,AC092670.1,NPM1P6,PPIAP11,AC090498.1,RPL41P1,CYCSP55,HMGN2P4,TPI1P1,RPL41P5,AL162151.2,PPIAP29,HNRNPA1P4,AC016596.2,AL603825.1,RPL9P21,AC005884.2,PPIAP31,HMGN1P36,HMGN2P41,AL035411.1,RPS26P39,FABP5P7,SDHDP6,ATP5PFP1,EEF1A1P5,RPSAP8,HMGN2P3,SLC39A2,KRT8P13,RPL21P16,RPSAP15,HMGN1P38,AF279873.1,RPL7P6,AC112491.1,AC022968.1"
