p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.95E-71,0.769088768,0.989,0.879,1.74E-66,0,IL7R
3.62E-64,0.403925153,1,1,2.13E-59,0,RPL32
1.15E-63,0.365038479,0.999,1,6.77E-59,0,RPLP1
4.23E-60,0.344853894,0.999,1,2.49E-55,0,RPS27A
1.12E-58,0.308000799,0.999,1,6.57E-54,0,TPT1
7.31E-54,0.347070668,0.999,1,4.30E-49,0,RPS12
8.62E-53,0.372722104,0.999,0.999,5.07E-48,0,RPL9
2.31E-52,0.345601858,0.999,1,1.36E-47,0,RPL34
2.61E-51,0.346197747,0.999,1,1.54E-46,0,RPL39
1.60E-49,0.399584052,0.999,1,9.41E-45,0,RPS13
9.64E-48,0.317564678,0.999,1,5.68E-43,0,RPL30
1.19E-46,0.330233504,0.999,1,7.00E-42,0,RPS3
2.24E-46,0.353047015,0.999,1,1.32E-41,0,RPS3A
1.37E-40,0.30897012,0.999,1,8.09E-36,0,RPL11
3.03E-40,0.304485874,1,1,1.78E-35,0,RPS6
1.00E-39,1.101565495,0.671,0.461,5.91E-35,0,RORA
1.75E-38,0.778713448,0.899,0.744,1.03E-33,0,ANXA1
1.16E-37,0.325820585,1,1,6.85E-33,0,RPS4X
3.34E-36,0.277383272,0.999,1,1.96E-31,0,RPL37
3.36E-36,0.288359097,0.999,1,1.98E-31,0,RPL3
7.75E-36,0.256278097,0.999,1,4.56E-31,0,EEF1A1
1.47E-35,0.25833405,0.999,1,8.65E-31,0,RPS15A
5.63E-35,0.313503794,1,0.999,3.32E-30,0,RPL38
8.34E-35,0.274166482,0.999,1,4.91E-30,0,RPL21
8.32E-34,0.976420918,0.724,0.569,4.90E-29,0,KLRB1
1.08E-33,0.28355888,0.999,1,6.39E-29,0,RPS14
1.35E-33,0.290071435,1,1,7.95E-29,0,RPS8
1.34E-31,0.748986103,0.859,0.745,7.91E-27,0,RGCC
4.32E-31,0.817947777,0.768,0.648,2.54E-26,0,CD2
2.17E-29,0.253515207,1,1,1.28E-24,0,RPL10
2.58E-29,0.267882665,0.999,1,1.52E-24,0,RPL35A
1.20E-28,0.275832764,0.999,1,7.08E-24,0,RPS23
5.73E-26,0.25443602,0.997,1,3.37E-21,0,RPL18
1.13E-24,0.294137082,0.997,1,6.68E-20,0,RPS5
1.71E-24,0.33267863,0.99,0.994,1.00E-19,0,RPLP0
2.21E-22,0.257149931,0.998,1,1.30E-17,0,RPL14
5.03E-22,0.508849417,0.87,0.814,2.96E-17,0,ARL4C
2.40E-21,0.257320408,0.997,0.999,1.41E-16,0,RPL5
2.68E-21,0.259576594,0.996,0.999,1.58E-16,0,RPS20
3.55E-20,0.374880426,0.985,0.982,2.09E-15,0,PNRC1
4.10E-20,0.449703808,0.934,0.901,2.41E-15,0,NAP1L1
6.68E-20,1.079462495,0.702,0.596,3.93E-15,0,CCL4
9.88E-20,0.524267632,0.791,0.68,5.82E-15,0,CD8A
3.00E-19,0.384477466,0.992,0.99,1.77E-14,0,HSP90AB1
1.10E-18,0.827619212,0.5,0.347,6.50E-14,0,TRAC
1.30E-18,0.323062826,0.987,0.984,7.66E-14,0,EEF1B2
8.65E-18,0.450913245,0.844,0.824,5.09E-13,0,SNHG6
4.04E-17,0.300054418,0.998,0.999,2.38E-12,0,BTG1
1.03E-16,0.345843886,0.952,0.906,6.06E-12,0,FOS
2.14E-16,0.603789157,0.679,0.615,1.26E-11,0,CD48
4.02E-16,0.387263608,0.902,0.865,2.37E-11,0,MYADM
5.68E-16,0.551370885,0.739,0.621,3.34E-11,0,ANKRD28
8.62E-16,0.397700401,0.992,0.982,5.07E-11,0,VIM
1.41E-15,0.439705796,0.825,0.812,8.30E-11,0,ZFAS1
1.46E-14,1.933610898,0.183,0.077,8.58E-10,0,HECW2-AS1
2.34E-14,0.458686617,0.998,0.992,1.38E-09,0,HSP90AA1
3.46E-14,2.004706594,0.15,0.053,2.04E-09,0,SLAMF1
5.43E-14,0.411005206,0.875,0.869,3.20E-09,0,CD55
6.26E-14,1.415904974,0.282,0.168,3.69E-09,0,MYBL1
1.50E-13,0.395694407,0.873,0.841,8.80E-09,0,GAS5
4.32E-13,0.763142059,0.505,0.393,2.54E-08,0,FKBP11
6.49E-13,3.20824964,0.103,0.027,3.82E-08,0,CHN1
7.68E-13,0.437706485,0.588,0.444,4.52E-08,0,GPR183
1.26E-12,0.258194623,0.957,0.963,7.44E-08,0,TOMM7
1.28E-12,0.329119457,0.977,0.974,7.54E-08,0,TSC22D3
1.37E-12,1.630168279,0.194,0.091,8.07E-08,0,LINC02446
1.39E-12,0.438914397,0.882,0.857,8.18E-08,0,HSPA8
