id,start_ts,end_ts,class
36212,2023-11-28 13:57:19.861000,,story
35758,2022-05-16 16:20:03.854000,2022-05-29 23:23:53.008000,story
36222,2023-12-10 12:54:54.033000,2023-12-11 21:11:30.424000,story
36250,2023-12-23 15:23:02.092000,,bug
36011,2023-05-04 04:33:18.980000,,story
36109,2023-09-17 20:31:28.404000,2023-09-21 22:37:43.753000,story
36190,2023-08-13 16:22:08.123000,2023-11-04 18:20:50.903000,story
35949,2023-02-28 20:16:27.207000,,epic
36280,2024-01-09 21:49:35.580000,,story
36132,2023-09-29 19:08:22.521000,2023-10-15 17:20:37.366000,story
36037,2023-05-29 21:04:23.397000,,story
35733,2022-05-02 02:40:15.857000,2022-05-04 23:45:18.231000,story
35810,2022-10-22 02:08:21.991000,2022-11-02 19:12:46.675000,story
35749,2022-05-27 09:55:25.021000,2022-06-16 22:42:11.105000,bug
35653,2022-03-05 14:01:51.432000,2022-03-10 17:25:58.395000,bug
35955,2023-02-20 14:32:16.630000,2023-02-24 20:23:18.485000,bug
36249,2023-12-21 15:46:13.597000,2023-12-23 19:53:08.928000,bug
36122,2023-09-11 11:39:23.603000,2023-09-16 13:58:15.463000,story
35669,2022-02-18 21:32:34.358000,2023-02-28 22:47:42.012000,epic
36177,2023-10-27 18:14:27.451000,2023-11-01 20:49:46.392000,story
36260,2024-01-05 15:58:06.261000,,epic
36139,2023-09-25 22:16:02.113000,2023-09-26 21:00:31.838000,bug
36188,2023-11-04 18:19:28.904000,2023-11-24 03:10:14.379000,task
35956,2023-02-18 17:37:21.904000,2023-02-24 20:23:15.915000,story
35990,2023-05-11 16:19:02.131000,,story
36114,2023-08-26 16:03:58.375000,2023-08-29 16:04:03.696000,bug
36025,2023-05-31 21:47:16.666000,,story
35656,2022-02-26 23:40:11.293000,,task
35925,2023-03-16 02:37:00.719000,2023-12-18 15:12:26.644000,epic
35869,2022-11-04 01:29:43.511000,2022-11-14 18:02:07.817000,story
36276,2024-01-16 14:37:30.294000,,story
36058,2023-07-01 11:43:21.367000,2023-07-02 16:10:20.225000,story
36189,2023-11-04 18:20:02.426000,,task
35667,2022-02-19 17:22:20.060000,,bug
36015,2023-04-29 23:03:56.006000,2023-05-06 01:59:09.787000,story
36067,2023-06-18 02:07:26.892000,2023-07-01 01:06:18.415000,story
36208,2023-11-21 16:36:37.892000,2023-11-21 20:34:50.723000,story
36144,2023-09-29 20:49:34.005000,2023-11-07 13:28:17.809000,story
36238,2023-12-17 16:36:26.743000,2023-12-20 17:57:54.357000,story
36199,2023-11-07 14:33:37.450000,2023-11-15 02:33:59.585000,story
35860,2022-11-14 14:41:42.578000,2022-11-29 17:00:23.903000,task
36032,2023-05-30 17:30:09.449000,2023-12-18 15:13:06.769000,epic
36138,2023-09-24 21:26:00.336000,2023-09-27 15:37:04.670000,bug
36265,2024-01-04 06:13:44.729000,,story
35837,2022-08-27 15:08:33.205000,2022-08-29 22:57:26.868000,task
35690,2022-04-01 15:56:10.973000,,bug
36187,2023-10-29 21:32:51.606000,,bug
35932,2023-03-15 02:12:12.031000,2023-12-30 14:06:19.822000,epic
36165,2023-10-26 08:08:12.172000,2023-11-01 20:49:44.703000,story
36007,2023-05-04 15:11:11.791000,2023-05-08 00:31:51.413000,story
36248,2023-12-20 18:19:35.781000,2023-12-29 19:07:18.080000,story
35985,2023-05-19 21:23:46.120000,,bug
35698,2022-03-15 12:40:31.306000,2022-03-21 16:43:18.989000,story
36028,2023-05-31 14:48:25.353000,,story
36005,2023-05-04 18:19:51.678000,2023-05-04 19:25:05.825000,story
36012,2023-05-04 04:32:04.946000,,story
35804,2022-07-07 23:39:42.308000,2022-07-07 23:46:53.630000,task
35991,2023-05-11 16:18:24.297000,,story
35859,2022-11-17 14:53:40.449000,2022-11-20 13:46:19.636000,story
36191,2023-08-13 16:28:28.752000,2023-11-04 18:21:03.617000,story
35679,2022-03-13 12:54:47.736000,,story
35945,2023-03-02 19:36:42.711000,,story
35858,2022-11-17 21:24:43.500000,2022-11-20 13:46:12.493000,story
35909,2023-01-13 20:49:09.552000,2023-01-14 18:18:19.703000,subtask
36086,2023-08-06 16:46:09.285000,,story
35931,2023-03-15 23:57:48.261000,2023-03-29 16:47:46.968000,story
35787,2022-06-18 14:17:20.118000,2022-06-19 22:06:01.476000,story
36258,2024-01-13 02:35:48.775000,2024-01-13 16:58:34.620000,story
36244,2023-12-29 14:53:22.909000,2024-01-11 02:23:55.885000,story
35777,2022-06-30 17:34:17.329000,,task
35702,2022-03-21 23:13:27.194000,2022-03-23 17:06:25.780000,bug
35864,2022-11-04 13:01:13.532000,2022-11-14 18:02:10.466000,story
36013,2023-04-30 12:15:51.031000,2023-05-01 00:26:19.723000,bug
35695,2022-03-24 20:23:16.890000,2022-03-24 22:46:14.937000,story
36195,2023-11-26 13:02:11.317000,2023-11-28 10:31:24.626000,bug
36255,2024-01-13 03:04:56.271000,,story
35862,2022-11-05 01:19:34.327000,2023-01-28 15:35:16.381000,story
36198,2023-11-07 13:15:50.280000,2023-11-15 02:33:57.077000,story
36103,2023-07-20 01:49:53.331000,2023-07-26 16:19:49.458000,story
35775,2022-06-30 18:13:11.056000,2022-07-09 10:29:47.787000,task
35755,2022-05-17 15:18:05.829000,2022-05-18 02:30:00.471000,story
35771,2022-05-05 23:55:47.490000,2022-05-08 16:17:28.817000,story
35734,2022-04-30 22:33:37.321000,2022-05-02 16:22:37.112000,story
35856,2022-11-18 16:39:50.901000,,bug
36038,2023-05-29 20:53:00.418000,2023-05-30 17:28:16.156000,bug
35988,2023-05-19 07:23:12.436000,2023-05-29 19:11:51.900000,story
35840,2022-08-25 17:47:41.081000,2022-08-25 23:22:49.276000,story
36095,2023-07-21 14:43:33.662000,2023-07-26 16:19:51.938000,story
35767,2022-05-08 01:43:14.974000,2022-05-10 12:33:56.368000,story
35712,2022-04-18 13:07:09.134000,,story
35748,2022-05-28 16:00:42.111000,2022-06-05 22:49:59.710000,story
35662,2022-02-22 14:49:20.091000,2022-02-26 17:47:15.814000,story
36044,2023-06-29 14:45:23.607000,2023-06-29 20:44:30.435000,subtask
35691,2022-04-01 15:55:22.381000,2023-02-28 22:46:07.687000,epic
35735,2022-04-28 17:42:49.111000,2022-04-30 17:16:02.814000,story
36124,2023-09-14 10:05:23.445000,2023-09-16 13:58:18.305000,story
36228,2023-12-15 13:15:10.782000,,story
35849,2022-08-01 02:35:26.172000,2022-08-09 15:38:50.731000,story
36279,2024-01-10 18:30:09.426000,,story
35714,2022-04-16 17:16:52.092000,2022-05-01 14:31:32.666000,story
35813,2022-10-13 15:19:45.712000,,task
