Code,Name,Description,Category,url,status,EnumName
AIRQ,abandoned airfield,abandoned airfield,S,,active,ABANDONED_AIRFIELD
CMPQ,abandoned camp,abandoned camp,S,,active,ABANDONED_CAMP
CNLQ,abandoned canal,abandoned canal,H,,active,ABANDONED_CANAL
MFGQ,abandoned factory,abandoned factory,S,,active,ABANDONED_FACTORY
FRMQ,abandoned farm,abandoned farm,S,,active,ABANDONED_FARM
MNQ,abandoned mine,abandoned mine,S,,active,ABANDONED_MINE
MSSNQ,abandoned mission,abandoned mission,S,,active,ABANDONED_MISSION
OILQ,abandoned oil well,abandoned oil well,S,,active,ABANDONED_OIL_WELL
PPQ,abandoned police post,abandoned police post,S,,active,ABANDONED_POLICE_POST
PPLQ,abandoned populated place,abandoned populated place,P,,active,ABANDONED_POPULATED_PLACE
PRNQ,abandoned prison,abandoned prison,S,,active,ABANDONED_PRISON
RRQ,abandoned railroad,abandoned railroad,R,,active,ABANDONED_RAILROAD
RSTNQ,abandoned railroad station,abandoned railroad station,S,,active,ABANDONED_RAILROAD_STATION
RSTPQ,abandoned railroad stop,abandoned railroad stop,S,,active,ABANDONED_RAILROAD_STOP
STMQ,abandoned watercourse,"a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns",H,,active,ABANDONED_WATERCOURSE
WLLQ,abandoned well,abandoned well,H,,active,ABANDONED_WELL
ADMD,administrative division,"an administrative division of a political entity, undifferentiated as to administrative level",A,,active,ADMINISTRATIVE_DIVISION
ADMF,administrative facility,a government building,S,,active,ADMINISTRATIVE_FACILITY
AGRC,agricultural colony,a tract of land set aside for agricultural settlement,L,,active,AGRICULTURAL_COLONY
AGRF,agricultural facility,a building and/or tract of land used for improving agriculture,S,,active,AGRICULTURAL_FACILITY
RESA,agricultural reserve,a tract of land reserved for agricultural reclamation and/or development,L,,active,AGRICULTURAL_RESERVE
SCHA,agricultural school,a school with a curriculum focused on agriculture,S,,active,AGRICULTURAL_SCHOOL
AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",S,,active,AIRBASE
AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,S,,active,AIRFIELD
AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",S,,active,AIRPORT
AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space,S,,active,AMPHITHEATER
STMA,anabranch,a diverging branch flowing out of a main stream and rejoining it downstream,H,,active,ANABRANCH
ANCH,anchorage,an area where vessels may anchor,H,,active,ANCHORAGE
RDA,ancient road,the remains of a road used by ancient cultures,R,,active,ANCIENT_ROAD
ANS,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located",S,,active,ANCIENT_SITE
WALLA,ancient wall,the remains of a linear defensive stone structure,S,,active,ANCIENT_WALL
BLDA,apartment building,a building containing several individual apartments,S,,active,APARTMENT_BUILDING
