,marker site,latitude,longitude,estacao3,estacao
73,102580,40.67752,-8.5944,174/29,174/29
74,34612,40.74085,-8.58726,174/33,174/33
75,200042,40.66675,-8.60663,174/41,174/41
76,15760,40.74231,-8.53305,174/99,174/99
77,15761,40.72496,-8.55094,174/100,174/100
78,15762,40.72347,-8.54004,174/101,174/101
79,15763,40.70963,-8.55557,174/102,174/102
80,15764,40.70834,-8.53853,174/103,174/103
81,15765,40.69631,-8.55336,174/104,174/104
82,15766,40.74279,-8.63961,174/105,174/105
83,15767,40.73418,-8.63173,174/106,174/106
84,34577,40.61133,-8.71329,184/6,184/6
85,34613,40.6237,-8.53612,185/23,185/23
86,102595,40.6473,-8.56062,185/31,185/31
87,34615,40.60923,-8.52942,185/32,185/32
88,34579,40.62083,-8.62398,185/62,185/62
89,105236,40.63662,-8.59826,185/69,185/69
90,34616,40.63492,-8.61728,185/74,185/74
91,34618,40.64849,-8.62447,185/76,185/76
92,34581,40.60858,-8.64828,185/92,185/92
93,15747,40.62557,-8.63364,185/102,185/102
94,15748,40.62053,-8.63419,185/103,185/103
95,15749,40.61418,-8.60153,185/104,185/104
96,15750,40.61354,-8.60531,185/105,185/105
97,15751,40.61081,-8.58898,185/106,185/106
98,15752,40.62266,-8.55124,185/107,185/107
99,15753,40.5892,-8.5886,185/108,185/108
100,15754,40.58241,-8.57414,185/109,185/109
101,73991,40.61944,-8.56824,185/110,185/110
102,73992,40.61926,-8.56901,185/111,185/111
103,2045920,40.63,-8.60558,185/112,185/112
104,2045912,40.64772,-8.6244,185/113,185/113
105,102604,40.552,-8.72931,195/1,195/1
106,105239,40.48938,-8.70044,195/20,195/20
107,105240,40.48323,-8.74049,195/24,195/24
108,105241,40.49905,-8.77921,195/28,195/28
109,102623,40.53149,-8.75828,195/33,195/33
110,34620,40.55336,-8.69095,196/2,196/2
111,106305,40.56344,-8.65443,196/6,196/6
112,102632,40.56404,-8.61818,196/12,196/12
113,105245,40.55196,-8.60145,196/15,196/15
114,102654,40.54554,-8.62915,196/67,196/67
115,34621,40.53508,-8.65208,196/71,196/71
116,34622,40.51434,-8.59411,196/100,196/100
117,105254,40.52005,-8.56134,196/105,196/105
118,102671,40.51809,-8.53006,196/109,196/109
119,34623,40.50024,-8.56145,196/136,196/136
120,106630,40.54288,-8.55063,196/212,196/212
121,106631,40.49771,-8.58727,196/213,196/213
122,15726,40.54065,-8.65461,196/223,196/223
123,15727,40.53867,-8.65412,196/224,196/224
124,100419719,40.52686,-8.67645,196/225,196/225
125,15728,40.52267,-8.62662,196/226,196/226
126,15729,40.51083,-8.63868,196/227,196/227
127,15730,40.50739,-8.64279,196/228,196/228
128,15731,40.50719,-8.64703,196/229,196/229
129,15732,40.50545,-8.67344,196/230,196/230
130,15733,40.48991,-8.64313,196/231,196/231
131,15734,40.49016,-8.66931,196/232,196/232
132,34624,40.50113,-8.45481,197/10,197/10
133,15737,40.47118,-8.71892,206/8,206/8
134,15738,40.44833,-8.71519,206/9,206/9
135,15739,40.46535,-8.73278,206/10,206/10
136,15740,40.44256,-8.71584,206/11,206/11
137,15741,40.43848,-8.70308,206/12,206/12
138,15745,40.43056,-8.70348,206/13,206/13
139,15746,40.42895,-8.70017,206/14,206/14
140,2048000,40.41636,-8.70737,206/17,206/17
141,107429,40.45022,-8.54948,207/1,207/1
142,105263,40.44905,-8.54996,207/3,207/3
143,102710,40.39563,-8.55313,207/4,207/4
144,15742,40.4362,-8.69151,207/60,207/60
145,15743,40.43207,-8.68841,207/61,207/61
146,15744,40.43137,-8.68511,207/62,207/62
147,15735,40.47207,-8.64723,207/63,207/63
148,15736,40.46272,-8.64363,207/64,207/64
149,34625,40.44687,-8.43723,208/4,208/4
150,106632,40.40988,-8.46464,208/5,208/5
151,2048440,40.30703,-8.55218,218/65,218/65
152,106633,40.33078,-8.40836,219/3,219/3
153,105270,40.38596,-8.44967,219/12,219/12
154,102742,40.29951,-8.41445,219/14,219/14
155,34626,40.30628,-8.4073,219/16,219/16
156,2069770,40.36633,-8.45683,219/296,219/296
157,2078220,40.37763,-8.44148,219/297,219/297
158,105280,40.24089,-8.80857,228/3,228/3
159,107430,40.24052,-8.80859,228/11,228/11
160,200152,40.24044,-8.80647,228/27,228/27
161,2038438,40.29461,-8.7123,228/52,228/52
162,2038440,40.23528,-8.75277,228/53,228/53
163,2038442,40.2455,-8.72135,228/54,228/54
164,2078828,40.29077,-8.71679,228/72,228/72
165,2078836,40.28559,-8.72361,228/73,228/73
166,2040174,40.28847,-8.69518,229/261,229/261
167,200168,40.24339,-8.66658,229/278,229/278
168,2045926,40.22997,-8.58265,229/283,229/283
169,2078650,40.2569,-8.66686,229/285,229/285
170,200171,40.28572,-8.41886,230/12,230/12
171,102800,40.28099,-8.40356,230/18,230/18
172,102802,40.28036,-8.40061,230/20,230/20
173,200195,40.29428,-8.41737,230/177,230/177
174,2078780,40.21548,-8.43822,230/201,230/201
175,2038444,40.13464,-8.72357,239/63,239/63
176,2038446,40.13106,-8.71638,239/64,239/64
177,200231,40.18864,-8.58919,240/26,240/26
178,200232,40.18845,-8.58966,240/27,240/27
179,34583,40.14445,-8.64581,240/78,240/78
180,2040178,40.17361,-8.6651,240/82,240/82
181,2040182,40.17359,-8.6651,240/83,240/83
182,2072130,40.19497,-8.45041,241/89,241/89
183,34627,40.02977,-8.89776,248B/1,248B/1
184,106335,40.03288,-8.88647,248B/2,248B/2
185,34629,40.05579,-8.88434,248B/7,248B/7
186,34630,40.04087,-8.89355,248B/8,248B/8
187,102865,40.06682,-8.85,249/1,249/1
188,102866,40.09426,-8.85428,249/2,249/2
189,105301,40.08335,-8.85534,249/3,249/3
190,102867,40.07104,-8.86552,249/4,249/4
191,102868,40.05496,-8.87379,249/5,249/5
192,34631,40.03153,-8.87541,249/17,249/17
193,68699,40.07838,-8.84473,249/28,249/28
194,71690,40.10195,-8.81888,249/47,249/47
195,2040188,40.08907,-8.5333,250/1,250/1
196,2006240,40.05489,-8.68443,250/36,250/36
197,2038448,40.10653,-8.69451,250/37,250/37
198,2072330,40.09992,-8.67239,250/38,250/38
199,2050368,40.06302,-8.42736,251/18,251/18
200,2078848,40.0692,-8.39195,251/19,251/19
201,2073350,40.10051,-7.74764,255/8,255/8
202,2073364,40.10755,-7.70357,255/16,255/16
203,34633,39.94732,-8.91709,260/1,260/1
204,105304,39.96341,-8.9223,260/3,260/3
205,106337,40.01734,-8.89798,260/4,260/4
206,102880,40.00315,-8.90543,260/5,260/5
207,102881,39.98952,-8.91008,260/6,260/6
208,34634,40.02204,-8.89428,260/8,260/8
209,200282,40.01842,-8.88417,260/12,260/12
210,105306,39.97114,-8.88342,260/16,260/16
211,102886,40.0117,-8.87917,261/1,261/1
212,105307,40.00547,-8.86622,261/3,261/3
213,102887,40.00089,-8.87906,261/4,261/4
214,106339,40.02618,-8.86762,261/11,261/11
215,102893,40.02341,-8.87813,261/12,261/12
216,102895,39.97057,-8.83074,261/15,261/15
217,105308,39.98491,-8.84142,261/17,261/17
218,102896,39.98481,-8.85898,261/19,261/19
219,106340,39.98031,-8.85776,261/22,261/22
220,105309,39.9739,-8.87455,261/23,261/23
221,107428,39.98029,-8.84676,261/24,261/24
222,105310,39.96933,-8.85659,261/26,261/26
223,102899,39.97434,-8.80268,261/27,261/27
224,102900,39.98046,-8.83318,261/28,261/28
225,34635,39.98004,-8.85834,261/63,261/63
226,34636,39.99943,-8.86803,261/64,261/64
227,34637,40.00093,-8.87203,261/65,261/65
228,34638,39.97528,-8.81053,261/117,261/117
229,34639,39.97529,-8.81053,261/119,261/119
230,102908,39.97622,-8.82026,261/120,261/120
231,34640,39.97623,-8.82026,261/121,261/121
232,2040190,39.98025,-8.84525,261/144,261/144
233,2040194,39.98039,-8.84533,261/146,261/146
234,2040198,39.988,-8.84774,261/147,261/147
235,2048016,39.9923,-8.85624,261/148,261/148
236,2048010,39.99231,-8.85635,261/149,261/149
237,2048028,39.97097,-8.8446,261/150,261/150
238,2048022,39.971,-8.84438,261/151,261/151
239,2078210,39.97997,-8.83193,261/152,261/152
240,2078812,40.02529,-8.79073,261/153,261/153
241,2078820,39.99171,-8.78791,261/154,261/154
242,34641,40.00909,-8.58179,262/2,262/2
243,2050360,40.01192,-8.39525,263/12,263/12
244,2004440,39.92833,-8.90166,272/20,272/20
245,106639,39.92166,-8.87609,273/8,273/8
246,34585,39.92194,-8.87399,273/36,273/36
247,102932,39.77648,-8.9169,284/6,284/6
248,2045872,39.80378,-8.86424,285/106,285/106
249,69597,39.82614,-7.45504,292/1,292/1
250,69623,39.82545,-7.45125,292/2,292/2
251,69624,39.82476,-7.44921,292/3,292/3
252,69625,39.82453,-7.44834,292/4,292/4
253,69626,39.82386,-7.44893,292/5,292/5
254,69627,39.82796,-7.45678,292/7,292/7
255,102944,39.68563,-8.91835,296/3,296/3
256,2038422,39.69366,-8.89672,296/57,296/57
257,2040202,39.74139,-8.91666,296/58,296/58
258,2045934,39.74139,-8.91722,296/59,296/59
259,102951,39.70538,-8.82339,297/4,297/4
260,106637,39.74746,-8.78928,297/18,297/18
261,106638,39.67022,-8.84425,297/25,297/25
262,200352,39.69386,-8.82281,297/94,297/94
263,16258,39.72623,-8.59826,298/12,298/12
264,16261,39.73763,-8.58352,298/18,298/18
265,16262,39.67533,-8.62146,298/19,298/19
266,16269,39.72415,-8.57748,298/28,298/28
267,72854,39.71894,-8.5419,298/48,298/48
268,72857,39.70544,-8.57564,298/49,298/49
269,72860,39.71444,-8.63322,298/50,298/50
270,72863,39.68985,-8.60657,298/51,298/51
271,16273,39.68777,-8.39866,299/60,299/60
272,16276,39.68061,-8.37497,299/74,299/74
273,16278,39.72652,-8.38726,299/79,299/79
274,16279,39.67577,-8.50281,299/80,299/80
275,72866,39.70298,-8.49523,299/112,299/112
276,2050020,39.70634,-8.00609,301/1,301/1
277,107420,39.65375,-9.0128,307/1,307/1
278,16280,39.60064,-9.03355,307/18,307/18
279,73031,39.63814,-8.98033,307/119,307/119
280,16284,39.65233,-9.01103,307/123,307/123
281,16286,39.65824,-8.94061,307/131,307/131
282,70178,39.59607,-8.94425,307/134,307/134
283,70179,39.63214,-8.93827,307/135,307/135
284,70177,39.59966,-8.94691,307/136,307/136
285,2050002,39.6138,-8.99207,307/174,307/174
286,102964,39.59535,-8.81787,308/2,308/2
287,34587,39.5828,-8.80786,308/21,308/21
288,73538,39.64056,-8.86139,308/51,308/51
289,2006246,39.6315,-8.87016,308/54,308/54
290,16293,39.62571,-8.57557,309/32,309/32
291,72851,39.64988,-8.55871,309/43,309/43
292,102987,39.61194,-8.49548,310/31,310/31
293,16295,39.62203,-8.39247,310/158,310/158
294,2078028,39.66603,-8.43279,310/227,310/227
295,2050056,39.59515,-8.1671,311/97,311/97
296,2050038,39.65314,-8.05842,312/4,312/4
297,103026,39.54674,-9.07252,316/4,316/4
298,200375,39.553,-9.06644,316/6,316/6
299,16298,39.51439,-9.10685,316/118,316/118
300,107586,39.53086,-8.94436,317/1,317/1
301,16301,39.49354,-8.94998,317/225,317/225
302,16302,39.52327,-8.92241,317/235,317/235
303,16304,39.54956,-8.89607,317/248,317/248
304,34727,39.54919,-8.81184,318/2,318/2
305,103156,39.51416,-8.48625,320/70,320/70
306,103157,39.55351,-8.48634,320/71,320/71
307,2072470,39.49378,-8.13609,321/93,321/93
308,2072530,39.53666,-8.28977,321/94,321/94
309,103203,39.43965,-9.15761,326/34,326/34
310,103205,39.43559,-9.14815,326/36,326/36
311,103240,39.39705,-8.90021,327/32,327/32
312,16313,39.43293,-8.96088,327/72,327/72
313,16319,39.40382,-8.87033,328/31,328/31
314,16325,39.41911,-8.80466,328/50,328/50
315,103249,39.40678,-8.51973,329/6,329/6
316,103254,39.45873,-8.57381,329/21,329/21
317,107421,39.46805,-8.68976,329/95,329/95
318,16337,39.40576,-8.47003,330/183,330/183
319,16341,39.39786,-8.34206,330/189,330/189
320,2072412,39.4795,-8.26569,331/2,331/2
321,16552,39.471,-8.21101,331/15,331/15
322,16343,39.41221,-8.17588,331/26,331/26
323,2072538,39.45514,-8.16574,331/28,331/28
324,16349,39.42929,-8.1921,331/89,331/89
325,16554,39.44578,-8.07978,332/25,332/25
326,75183,39.4095,-7.43518,335/56,335/56
327,16555,39.34856,-9.29572,337/4,337/4
328,16556,39.33065,-9.28545,337/6,337/6
329,2050402,39.30319,-9.28607,337/14,337/14
330,103325,39.30721,-9.28738,337/22,337/22
331,70180,39.32514,-9.25505,337/94,337/94
332,107584,39.34535,-9.20751,338/2,338/2
333,16578,39.35619,-9.16451,338/31,338/31
334,16361,39.33817,-8.95037,339/33,339/33
335,16367,39.35878,-8.74675,340/24,340/24
336,16368,39.31655,-8.77839,340/25,340/25
337,16370,39.3706,-8.85397,340/83,340/83
338,16372,39.3126,-8.85233,340/95,340/95
339,16374,39.35278,-8.53289,341/17,341/17
340,107422,39.32202,-8.63687,341/21,341/21
341,103363,39.32627,-8.63444,341/22,341/22
342,16375,39.39117,-8.6226,341/205,341/205
343,16379,39.37668,-8.66126,341/244,341/244
344,106400,39.34736,-8.48274,342/78,342/78
345,105894,39.31498,-8.43261,342/93,342/93
346,16383,39.36656,-8.47843,342/97,342/97
347,16387,39.35626,-8.1447,343/30,343/30
348,16388,39.34074,-8.0548,344/3,344/3
349,2081526,39.3214,-7.80488,345/78,345/78
350,75181,39.38671,-7.40012,347/89,347/89
351,2002122,39.36888,-7.38148,348/43,348/43
352,2002124,39.36292,-7.36894,348/44,348/44
353,2002120,39.36208,-7.36973,348/45,348/45
354,2050460,39.29456,-9.28536,349/32,349/32
355,2050500,39.28185,-9.2925,349/54,349/54
356,16390,39.27688,-9.28538,349/92,349/92
357,70181,39.29957,-9.26897,349/101,349/101
358,50625,39.24744,-9.09457,350/2,350/2
359,103383,39.2719,-9.08946,350/7,350/7
360,103384,39.24249,-9.18833,350/9,350/9
361,16560,39.28056,-9.04195,351/2,351/2
362,103414,39.22215,-8.96407,351/22,351/22
363,16403,39.28873,-8.52365,353/341,353/341
364,16991,39.28926,-8.53879,353/346,353/346
365,34879,39.24954,-8.56242,353/353,353/353
366,2049918,39.24319,-8.55668,353/687,353/687
367,2081540,39.2484,-7.81868,357/147,357/147
368,16408,39.1674,-9.16499,362/86,362/86
369,16409,39.13954,-9.20761,362/89,362/89
370,16410,39.12869,-9.24167,362/99,362/99
371,16562,39.12335,-9.15475,362/100,362/100
372,16412,39.16844,-8.91507,363/26,363/26
373,105513,39.21008,-8.88474,363/36,363/36
374,105516,39.20236,-8.74192,364/52,364/52
375,16414,39.1812,-8.82008,364/114,364/114
376,16415,39.21129,-8.75485,364/209,364/209
377,107423,39.14996,-8.59931,365/71,365/71
378,2080696,39.17148,-8.57729,365/233,365/233
379,16418,39.21214,-8.61348,365/428,365/428
380,2049832,39.16016,-8.57488,365/1076,365/1076
381,75226,39.21414,-8.06793,368/27,368/27
382,65035,39.19202,-7.79438,369/37,369/37
383,58687,39.19488,-7.65897,370/5,370/5
384,58704,39.20008,-7.65747,370/24,370/24
385,69740,39.14526,-7.56173,371/45,371/45
386,103660,39.10319,-9.2793,374/11,374/11
387,106439,39.07204,-9.34004,374/16,374/16
388,103664,39.10791,-9.31175,374/20,374/20
389,105550,39.10812,-9.22597,375/14,375/14
390,2072958,39.03786,-8.89535,376/24,376/24
391,105555,39.11147,-8.99466,376/51,376/51
392,103706,39.05926,-9.00594,376/52,376/52
393,16424,39.06466,-9.00682,376/138,376/138
394,2078050,39.09784,-8.74586,377/54,377/54
395,2072886,39.09985,-8.74939,377/56,377/56
396,2072900,39.09388,-8.7662,377/59,377/59
397,2072930,39.10181,-8.74229,377/84,377/84
398,103727,39.07598,-8.77654,377/86,377/86
399,106448,39.11284,-8.83549,377/91,377/91
400,103729,39.07472,-8.72939,377/94,377/94
401,16430,39.04638,-8.68155,378/129,378/129
402,58884,39.07199,-7.48392,384/2,384/2
403,69737,39.10606,-7.51361,384/103,384/103
404,34441,39.04669,-6.97828,387/4,387/4
405,2077786,39.04855,-7.00261,387/8,387/8
406,103817,38.95068,-9.39159,388/17,388/17
407,105585,39.03292,-9.15518,389/5,389/5
408,16566,39.03175,-9.22491,389/65,389/65
409,2072852,39.02585,-8.94074,390/99,390/99
410,107424,39.00656,-8.94529,390/110,390/110
411,16434,39.00564,-8.94814,390/114,390/114
412,2072834,39.00574,-8.94937,390/208,390/208
413,103872,39.00227,-8.74793,391/33,391/33
414,16435,38.95842,-8.76117,391/243,391/243
415,16437,38.97795,-8.81338,391/245,391/245
416,2049956,38.98626,-8.69587,391/312,391/312
417,16440,38.99341,-8.7362,391/403,391/403
418,73993,38.99223,-8.78139,391/437,391/437
419,107425,38.9773,-8.67999,392/29,392/29
420,103968,39.01586,-8.5946,392/31,392/31
421,105627,38.98021,-8.51336,392/117,392/117
422,73994,38.97027,-8.65389,392/177,392/177
423,16445,38.96382,-8.4835,393/113,393/113
424,105647,38.99262,-8.28557,394/48,394/48
425,34455,38.9883,-7.83936,396/161,396/161
426,59085,38.97558,-7.80185,396/162,396/162
427,2001920,38.96935,-7.77002,396/235,396/235
428,34453,38.96884,-7.75581,397/87,397/87
429,34560,38.9507,-7.71349,397/91,397/91
430,2001924,38.95678,-7.74744,397/167,397/167
431,2001922,38.96104,-7.74672,397/168,397/168
432,17288,38.94622,-7.25989,399/6,399/6
433,34459,38.94556,-7.26165,399/12,399/12
434,34563,38.95659,-7.07088,400/7,400/7
435,74251,38.97794,-7.00075,401/36,401/36
436,16569,38.91827,-9.12194,403/164,403/164
437,107587,38.89844,-8.88225,404/51,404/51
438,104137,38.85934,-8.88253,404/53,404/53
439,107588,38.92556,-8.89487,404/61,404/61
440,107589,38.92574,-8.89545,404/62,404/62
441,104139,38.86303,-8.88372,404/69,404/69
442,104149,38.94198,-8.86264,405/7,405/7
443,107590,38.94108,-8.86205,405/11,405/11
444,106501,38.94179,-8.86356,405/12,405/12
445,107591,38.9418,-8.86217,405/13,405/13
446,16450,38.858,-8.74196,405/14,405/14
447,16451,38.85764,-8.74254,405/15,405/15
448,104151,38.94089,-8.86435,405/17,405/17
449,105663,38.94046,-8.86147,405/18,405/18
450,104158,38.86652,-8.82947,405/34,405/34
451,106503,38.93132,-8.72391,405/51,405/51
452,104167,38.92916,-8.724,405/52,405/52
453,105670,38.93602,-8.85312,405/67,405/67
454,107592,38.84548,-8.8522,405/68,405/68
455,107593,38.84548,-8.85219,405/69,405/69
456,104174,38.93511,-8.85219,405/70,405/70
457,16456,38.86257,-8.73739,405/167,405/167
458,104193,38.93745,-8.50736,406/22,406/22
459,16457,38.91223,-8.66864,406/27,406/27
460,16458,38.89421,-8.53307,406/69,406/69
461,16459,38.87884,-8.68106,406/97,406/97
462,16461,38.91151,-8.64776,406/99,406/99
463,105680,38.88829,-8.49903,407/35,407/35
464,75214,38.92731,-8.18797,408/30,408/30
465,65488,38.91682,-7.61712,411/94,411/94
466,34558,38.86479,-7.61189,411/184,411/184
467,34457,38.91265,-7.60238,411/194,411/194
468,34565,38.93244,-7.6914,411/202,411/202
469,34451,38.8802,-7.63611,411/206,411/206
470,72505,38.93041,-7.68968,411/256,411/256
471,34556,38.87459,-7.53426,412/94,412/94
472,59565,38.86053,-7.51755,412/103,412/103
473,34480,38.86015,-7.27042,413/54,413/54
474,34544,38.87468,-7.22068,413/78,413/78
475,34541,38.90531,-7.26992,413/109,413/109
476,34475,38.91263,-7.30779,413/114,413/114
477,34477,38.9034,-7.2247,413/123,413/123
478,17284,38.87261,-7.14933,414/45,414/45
479,34435,38.92422,-7.08086,414/67,414/67
480,34482,38.91741,-7.10631,414/68,414/68
481,34437,38.85783,-7.09602,414/70,414/70
482,34439,38.88605,-7.05256,414/71,414/71
483,2038746,38.86654,-7.14339,414/116,414/116
484,104238,38.82226,-9.46558,415/7,415/7
485,34790,38.76434,-9.47145,415/72,415/72
486,16468,38.81678,-9.28782,416/125,416/125
487,16470,38.77795,-9.35436,416/227,416/227
488,16471,38.82455,-9.27482,416/273,416/273
489,2005122,38.82405,-9.27375,416/311,416/311
490,2005128,38.82205,-9.26816,416/312,416/312
491,104284,38.80999,-8.88074,418/4,418/4
492,106519,38.83266,-8.91323,418/15,418/15
493,107426,38.80456,-8.68103,420/8,420/8
494,107427,38.80457,-8.68102,420/9,420/9
495,105705,38.76585,-8.62818,420/12,420/12
496,106522,38.81967,-8.57099,420/14,420/14
497,105706,38.83651,-8.57225,420/17,420/17
498,104315,38.8451,-8.51125,420/24,420/24
499,2014280,38.80688,-8.65946,420/105,420/105
500,60111,38.82885,-7.49684,426/238,426/238
501,34554,38.78537,-7.47474,426/302,426/302
502,34552,38.84735,-7.57767,426/332,426/332
503,34449,38.78516,-7.42703,426/334,426/334
504,34447,38.772,-7.47067,426/335,426/335
505,34445,38.7938,-7.51154,426/337,426/337
506,34443,38.83269,-7.49796,426/347,426/347
507,34550,38.80425,-7.4467,426/348,426/348
508,2002680,38.82608,-7.54855,426/433,426/433
509,2002682,38.83862,-7.57374,426/434,426/434
510,60204,38.83223,-7.26487,427/24,427/24
511,34537,38.85045,-7.19283,428/17,428/17
512,74252,38.83197,-7.08529,428/36,428/36
513,2038782,38.83727,-7.10712,428/37,428/37
514,16573,38.7389,-9.32037,430/10,430/10
515,2049800,38.73757,-9.42114,430/409,430/409
516,16480,38.74477,-8.96591,432/68,432/68
517,16481,38.71851,-9.00489,432/69,432/69
518,105730,38.7071,-8.9245,432/73,432/73
519,16482,38.70693,-8.92416,432/77,432/77
520,16487,38.71193,-8.87347,432/800,432/800
521,73998,38.67662,-8.89979,432/855,432/855
522,73996,38.70186,-8.81638,433/297,433/297
523,50627,38.75943,-8.67746,434/280,434/280
524,75227,38.7002,-8.54258,434/306,434/306
525,65801,38.74996,-7.80663,438/36,438/36
526,34767,38.74449,-7.40975,440/107,440/107
527,34546,38.72758,-7.40528,440/109,440/109
528,60535,38.71333,-7.38289,441/10,441/10
529,105775,38.64824,-9.14166,442/36,442/36
530,101004,38.58942,-9.10561,442/94,442/94
531,16600,38.63929,-9.06246,442/241,442/241
532,16504,38.59921,-9.16483,442/518,442/518
533,16505,38.60851,-9.08759,442/523,442/523
534,16506,38.63017,-9.12646,442/526,442/526
535,16507,38.61306,-9.10691,442/528,442/528
536,16509,38.62567,-9.14682,442/537,442/537
537,16518,38.59927,-8.96656,443/924,443/924
538,106567,38.60413,-8.81202,444/3,444/3
539,104707,38.60419,-8.81196,444/85,444/85
540,16520,38.60031,-8.73748,444/314,444/314
541,16523,38.61988,-8.74899,444/317,444/317
542,16524,38.62025,-8.7481,444/318,444/318
543,74000,38.58912,-8.84661,444/355,444/355
544,104713,38.65097,-8.63499,445/7,445/7
545,106634,38.65159,-8.63626,445/8,445/8
546,104727,38.55182,-9.09651,453/18,453/18
547,16532,38.57561,-9.18423,453/235,453/235
548,16534,38.62506,-9.14476,453/373,453/373
549,16538,38.57821,-9.04948,453/395,453/395
550,104756,38.54241,-8.88418,454/146,454/146
551,104760,38.57774,-8.89864,454/151,454/151
552,107594,38.5052,-8.78357,455/8,455/8
553,107595,38.50103,-8.78824,455/10,455/10
554,104796,38.49905,-8.78856,455/216,455/216
555,104797,38.50044,-8.79797,455/217,455/217
556,105983,38.5594,-8.86471,455/218,455/218
557,50628,38.57635,-8.80163,455/408,455/408
558,106636,38.29691,-8.549,458/28,458/28
559,17307,38.53146,-8.01726,459/8,459/8
560,2076336,38.52687,-7.80263,460/255,460/255
561,107596,38.47785,-8.7941,466/20,466/20
562,107597,38.47403,-8.78501,466/21,466/21
563,107585,38.40628,-8.75235,466/42,466/42
564,106635,38.48264,-8.60438,467/19,467/19
565,2076308,38.43279,-7.84751,471/81,471/81
566,2076322,38.44918,-7.77445,471/82,471/82
567,75051,38.39765,-8.51938,476/19,476/19
568,104881,38.31712,-8.53752,476/20,476/20
569,75167,38.39321,-8.65797,476/21,476/21
570,75168,38.30905,-8.74139,484/8,484/8
571,75179,38.28141,-8.39516,486/37,486/37
572,2075828,38.24029,-8.15638,487/72,487/72
573,2075786,38.23112,-7.98944,488/968,488/968
