,marker site,latitude,longitude,estacao3,estacao
0,2028876,42.0474,-8.38867,3/N1,3/N1
1,2028878,42.05139,-8.50448,3/N2,3/N2
2,2028880,42.08108,-8.45636,3/N3,3/N3
3,2004560,41.74123,-8.64391,28/1,28/1
4,2028884,41.79257,-7.36325,34/N1,34/N1
5,2028874,41.75056,-7.44371,34/N2,34/N2
6,2050590,41.74405,-7.44792,34/30,34/30
7,2050596,41.75593,-7.44114,34/31,34/31
8,2070250,41.7468,-7.44692,34/32,34/32
9,2028882,41.72475,-8.86163,40/N1,40/N1
10,72477,41.72471,-8.86171,40/1,40/1
11,2028864,41.665,-8.80582,40/N2,40/N2
12,2028902,41.72851,-8.5272,41/N1,41/N1
13,2028906,41.61487,-8.35457,56/N1,56/N1
14,2028838,41.59633,-7.11176,63/N1,63/N1
15,17126,41.49802,-8.75887,68/2,68/2
16,2072810,41.53608,-8.75875,68/11,68/11
17,2028904,41.50211,-8.58233,69/N1,69/N1
18,2028892,41.48553,-7.71125,74/N1,74/N1
19,17140,41.44184,-8.7758,82/16,82/16
20,17149,41.36977,-8.73313,96/25,96/25
21,2037714,41.35426,-8.42842,98/N2,98/N2
22,2028852,41.36038,-7.17921,104/N2,104/N2
23,2028828,41.23156,-8.0962,113/N1,113/N1
24,2028894,41.28446,-7.85632,114/N1,114/N1
25,2028890,41.22981,-7.09657,118/N1,118/N1
26,2028888,41.03542,-7.79042,137/N1,137/N1
27,2028896,40.92876,-8.53277,143/N1,143/N1
28,34599,40.93475,-8.6438,143/4,143/4
29,200001,40.93508,-8.652,143/5,143/5
30,106629,40.93508,-8.65205,143/6,143/6
31,2028886,40.94683,-7.68442,148/N1,148/N1
32,200004,40.86573,-8.65383,153/4,153/4
33,200005,40.86574,-8.65383,153/5,153/5
34,200010,40.895,-8.65406,153/24,153/24
35,105219,40.84542,-8.60363,153/28,153/28
36,105097,40.90148,-8.61328,153/29,153/29
37,105098,40.87341,-8.66789,153/30,153/30
38,2004442,40.84615,-8.60416,153/32,153/32
39,102538,40.76203,-8.70394,162A/1,162A/1
40,74871,40.7859,-8.70344,162A/5,162A/5
41,34601,40.7859,-8.70342,162A/7,162A/7
42,34602,40.7859,-8.70345,162A/8,162A/8
43,34603,40.754,-8.71184,162A/9,162A/9
44,34604,40.754,-8.71188,162A/10,162A/10
45,34605,40.75401,-8.71189,162A/11,162A/11
46,102540,40.79714,-8.68777,163/1,163/1
47,105221,40.78903,-8.67076,163/5,163/5
48,102541,40.74942,-8.6676,163/6,163/6
49,102543,40.79576,-8.59285,163/9,163/9
50,102548,40.7675,-8.5891,163/31,163/31
51,200020,40.76795,-8.5884,163/52,163/52
52,200021,40.76335,-8.59073,163/53,163/53
53,102552,40.75511,-8.6011,163/55,163/55
54,102553,40.7536,-8.61695,163/58,163/58
55,34607,40.75556,-8.60015,163/96,163/96
56,2040166,40.75574,-8.6002,163/96A,163/96A
57,2040170,40.75861,-8.61553,163/97A,163/97A
58,34608,40.75379,-8.61518,163/97,163/97
59,34609,40.74979,-8.66595,163/98,163/98
60,102564,40.77564,-8.66355,163/99,163/99
61,2040162,40.79116,-8.63827,163/100A,163/100A
62,34610,40.79197,-8.63761,163/100,163/100
63,34573,40.75115,-8.59965,163/106,163/106
64,15755,40.80538,-8.61828,163/114,163/114
65,15756,40.79175,-8.60313,163/115,163/115
66,15757,40.77763,-8.62092,163/116,163/116
67,15758,40.76575,-8.59821,163/117,163/117
68,15759,40.76194,-8.6047,163/118,163/118
69,34575,40.67808,-8.7244,173/3,173/3
70,34611,40.71839,-8.716,173/13,173/13
71,200033,40.74266,-8.66767,174/2,174/2
72,68697,40.72099,-8.70063,174/20,174/20
