,marker site,rede,latitude,longitude,estacao3,estacao,codigo
0,1627743378,Hidrométrica,39.152,-9.302,A-DOS-CUNHADOS (19B/01H), A-DOS-CUNHADOS (19B/01H),19B/01H
1,1627743350,Hidrométrica,41.795,-7.969,ABELHEIRA CANAL (R.E.) (03J/02H), ABELHEIRA CANAL (R.E.) (03J/02H),03J/02H
2,1627743352,Hidrométrica,39.452,-8.188,ABRANTES LOPO (17H/04H), ABRANTES LOPO (17H/04H),17H/04H
3,1627743380,Hidrométrica,39.679,-8.437,AGROAL (15G/02H), AGROAL (15G/02H),15G/02H
4,1627743382,Hidrométrica,40.341,-8.208,AGUIEIRA (R.E.) (11H/02H), AGUIEIRA (R.E.) (11H/02H),11H/02H
5,2443345812,Hidrométrica,38.778,-7.164,AJUDA (21O/08H), AJUDA (21O/08H),21O/08H
6,1627743386,Hidrométrica,38.778,-7.164,AJUDA (R.E.) (21O/03H), AJUDA (R.E.) (21O/03H),21O/03H
7,1627743392,Hidrométrica,37.853,-7.965,ALBERNOA (26J/01H), ALBERNOA (26J/01H),26J/01H
8,1627743384,Hidrométrica,40.340723246,-8.19670825,ALBUFEIRA DA AGUIEIRA (R.E.) (11H/01A), ALBUFEIRA DA AGUIEIRA (R.E.) (11H/01A),11H/01A
9,1627743458,Hidrométrica,39.347,-7.368,ALBUFEIRA DA APARTADURA (17M/01A), ALBUFEIRA DA APARTADURA (17M/01A),17M/01A
10,1627743548,Hidrométrica,41.298,-6.471,ALBUFEIRA DA BEMPOSTA (R.E.) (06S/01A), ALBUFEIRA DA BEMPOSTA (R.E.) (06S/01A),06S/01A
11,1627743554,Hidrométrica,37.503,-8.091,ALBUFEIRA DA BOAVISTA (28I/01A), ALBUFEIRA DA BOAVISTA (28I/01A),28I/01A
12,1627743562,Hidrométrica,39.856,-8.224,ALBUFEIRA DA BOU&Ccedil;&Atilde; (R.E.) (14H/01A), ALBUFEIRA DA BOUÇÃ (R.E.) (14H/01A),14H/01A
13,1627743568,Hidrométrica,37.204,-8.696,ALBUFEIRA DA BRAVURA (30E/01A), ALBUFEIRA DA BRAVURA (30E/01A),30E/01A
14,1627743572,Hidrométrica,41.391,-7.05,ALBUFEIRA DA BURGA (05O/01A), ALBUFEIRA DA BURGA (05O/01A),05O/01A
15,1627743674,Hidrométrica,41.652,-8.235,ALBUFEIRA DA CANI&Ccedil;ADA (R.E.) (04H/01A), ALBUFEIRA DA CANIÇADA (R.E.) (04H/01A),04H/01A
16,1627743678,Hidrométrica,40.212,-7.387,ALBUFEIRA DA CAPINHA (12M/01A), ALBUFEIRA DA CAPINHA (12M/01A),12M/01A
17,1627751888,Hidrométrica,40.309,-7.561,ALBUFEIRA DA COVA DO VIRIATO (12L/02A), ALBUFEIRA DA COVA DO VIRIATO (12L/02A),12L/02A
18,1627753166,Hidrométrica,41.446,-6.901,ALBUFEIRA DA ESTEVE&Iacute;NHA (05P/01A), ALBUFEIRA DA ESTEVEÍNHA (05P/01A),05P/01A
19,1627758736,Hidrométrica,40.364,-7.649,ALBUFEIRA DA LAGOA COMPRIDA (R.E.) (11L/03A), ALBUFEIRA DA LAGOA COMPRIDA (R.E.) (11L/03A),11L/03A
20,1627758750,Hidrométrica,40.024,-8.312,ALBUFEIRA DA LOU&Ccedil;AINHA (13H/05A), ALBUFEIRA DA LOUÇAINHA (13H/05A),13H/05A
21,7945659548,Hidrométrica,40.436734,-8.264735,ALBUFEIRA DA MACIEIRA (11H/05A), ALBUFEIRA DA MACIEIRA (11H/05A),11H/05A
22,1627758884,Hidrométrica,40.401,-7.684,ALBUFEIRA DA NOSSA SENHORA DO DESTERRO (11K/02A), ALBUFEIRA DA NOSSA SENHORA DO DESTERRO (11K/02A),11K/02A
23,1627758928,Hidrométrica,41.761,-7.957,ALBUFEIRA DA PARADELA (R.E.) (03J/01A), ALBUFEIRA DA PARADELA (R.E.) (03J/01A),03J/01A
24,1627759292,Hidrométrica,39.568,-7.816,ALBUFEIRA DA PRACANA (R.E.) (16K/01A), ALBUFEIRA DA PRACANA (R.E.) (16K/01A),16K/01A
25,1627759302,Hidrométrica,41.503,-8.164,ALBUFEIRA DA QUEIMADELA (08N/01AE), ALBUFEIRA DA QUEIMADELA (08N/01AE),08N/01AE
26,1627759328,Hidrométrica,40.309,-8.251,ALBUFEIRA DA RAIVA (R.E.) (12H/01A), ALBUFEIRA DA RAIVA (R.E.) (12H/01A),12H/01A
27,1627759340,Hidrométrica,41.142,-7.708,ALBUFEIRA DA R&Eacute;GUA (R.E.) (07K/01A), ALBUFEIRA DA RÉGUA (R.E.) (07K/01A),07K/01A
