SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
REDE:,Meteorológica,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
18C/02U,A-DOS-FRANCOS,62,39.320965,-9.04583,121290.59,261839.825,62,RIBEIRAS DO OESTE,LEIRIA,CALDAS DA RAINHA,A DOS FRANCOS,-,CCDR-LVT,-,Udométrica,29129,30589,-,-,NÃO,EXTINTA,-
02G/01U,ABEDIM,440,41.983,-8.501,169476.206,557024.073,440,MINHO,VIANA DO CASTELO,MONÇÃO,ABEDIM,-,CCDR-NORTE,-,Udométrica,11689,22221,-,-,NÃO,EXTINTA,-
17H/01C,ABRANTES,105,39.454,-8.102,202682,276218,105,TEJO,SANTARÉM,ABRANTES,CONCAVADA,Autoridade Nacional da Água,CCDR-LVT,Climatológica,Climatológica,11628,-,36923,-,SIM,ATIVA,-
19C/03G,ABRIGADA,84,39.142,-9.011,124089.548,241953.115,84,TEJO,LISBOA,ALENQUER,ABRIGADA,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udográfica,29129,-,38211,-,NÃO,SUSPENSA,-
17E/02UG,ABRÃ,169,39.416,-8.771,145056.23,272184.29,169,TEJO,SANTARÉM,SANTARÉM,ABRÃ,Autoridade Nacional da Água,CCDR-LVT,Udográfica,Udométrica,11597,-,37535,-,NÃO,ATIVA,-
06O/05UG,ADEGANHA,508,41.265468,-7.051418,290645.907,477924.666,508,DOURO,BRAGANÇA,TORRE DE MONCORVO,ADEGANHA,Autoridade Nacional da Água,CCDR-NORTE,Udográfica,Udométrica,29129,-,37671,-,NÃO,ATIVA,-
07L/01U,ADORIGO,458,41.146,-7.607,244170.87,464227.791,458,DOURO,VISEU,TABUAÇO,ADORIGO,-,CCDR-NORTE,-,Udométrica,11963,37256,-,-,NÃO,EXTINTA,-
09L/01UG,AGUIAR DA BEIRA,776,40.82,-7.54,250004,428058,776,MONDEGO,GUARDA,AGUIAR DA BEIRA,AGUIAR DA BEIRA,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,11567,-,37159,-,NÃO,ATIVA,-
12G/05C,ALAGOA,182,40.305,-8.183,195800.543,370657.924,182,MONDEGO,COIMBRA,PENACOVA,SÃO PEDRO DE ALVA,Autoridade Nacional da Água,CCDR-CENTRO,Climatológica,Climatológica,30133,-,37221,-,NÃO,ATIVA,-
21M/02UG,ALANDROAL,302,38.693,-7.404,263420.797,191939.393,302,GUADIANA,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,11573,-,36936,-,SIM,ATIVA,-
15F/01UG,ALBERGARIA DOS DOZE,249,39.802089,-8.586394,161180.272,314958.17,249,MONDEGO,LEIRIA,POMBAL,ALBERGARIA DOS DOZE,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,29403,-,37864,-,NÃO,ATIVA,-
09G/01UG,ALBERGARIA-A-VELHA,131,40.698,-8.482,170492.293,414455.277,131,VOUGA/RIBEIRAS COSTEIRAS,AVEIRO,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA,Autoridade Nacional da Água,CCDR-CENTRO,Udográfica,Udométrica,11232,-,37196,-,SIM,ATIVA,-
26J/04UG,ALBERNOA,133,37.857,-7.962,215040.615,98919.839,133,GUADIANA,BEJA,BEJA,ALBERNOA,Autoridade Nacional da Água,CCDR-ALENTEJO,Udográfica,Udométrica,28976,-,36929,-,NÃO,ATIVA,-
30E/03F,ALBUFEIRA DA BRAVURA,75,37.204,-8.7,149671,26586,75,RIBEIRAS DO ALGARVE,FARO,LAGOS,BENSAFRIM,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36985,43030,NÃO,DESATIVADA,-
30M/05F,ALBUFEIRA DE ODELEITE,41,37.327,-7.488,257141,40280,41,GUADIANA,FARO,CASTRO MARIM,ODELEITE,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36987,43187,NÃO,DESATIVADA,-
23G/01F,ALBUFEIRA DE PEGO DO ALTAR,48,38.41778,-8.390561,177514,161207,48,SADO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTIAGO),Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36978,42877,NÃO,DESATIVADA,-
28G/01F,ALBUFEIRA DE SANTA CLARA,129,37.515613,-8.441912,172696,61083,129,MIRA,BEJA,ODEMIRA,SANTA CLARA-A-VELHA,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36986,42935,NÃO,DESATIVADA,-
24L/02F,ALBUFEIRA DO ALQUEVA,79,38.22317,-7.45971,258965,139786,79,GUADIANA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,37456,43271,NÃO,DESATIVADA,-
22M/05F,ALBUFEIRA DO ALQUEVA (MOURÃO),103,38.39636,-7.38717,265163,159060,103,GUADIANA,ÉVORA,ALANDROAL,SANTIAGO MAIOR,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,37525,43271,NÃO,DESATIVADA,-
24L/03C,ALBUFEIRA DO ALQUEVA ILHA (EDIA),-,38.205,-7.501,255340,137772,-,GUADIANA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),EDIA,-,Climatológica,-,-,-,38827,40155,NÃO,-,-
24J/02F,ALBUFEIRA DO ALVITO,195,38.282,-7.913,219249,146172,195,SADO,BEJA,CUBA,VILA RUIVA,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36979,43272,NÃO,DESATIVADA,-
19O/02F,ALBUFEIRA DO CAIA,221,39.006,-7.148,285323,226895,221,GUADIANA,PORTALEGRE,CAMPO MAIOR,SÃO JOÃO BAPTISTA,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36972,43272,NÃO,DESATIVADA,-
19J/04F,ALBUFEIRA DO MARANHÃO,136,39.014,-7.973,213827,227340,136,TEJO,PORTALEGRE,AVIS,MARANHÃO,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36982,43221,NÃO,DESATIVADA,-
26I/02F,ALBUFEIRA DO ROXO,135,37.928975,-8.079641,204698,106919,135,SADO,BEJA,ALJUSTREL,ERVIDEL,Autoridade Nacional da Água,-,Climatológica Flutuante,-,-,-,36982,43271,NÃO,DESATIVADA,-
