,marker site,rede,latitude,longitude,estacao3,estacao,codigo
0,60166,Qualidade,37.20291,-8.70104,ALB. BRAVURA (F) (30E/03F), ALB. BRAVURA (F) (30E/03F),30E/03F
1,60164,Qualidade,37.20291,-8.70104,ALB. BRAVURA (M) (30E/03M), ALB. BRAVURA (M) (30E/03M),30E/03M
2,60004,Qualidade,37.20291,-8.70104,ALB. BRAVURA (S) (30E/03S), ALB. BRAVURA (S) (30E/03S),30E/03S
3,60335,Qualidade,37.210762,-8.704662,ALB. BRAVURA - CONFLU&Ecirc;NCIA (F) (30E/05F), ALB. BRAVURA - CONFLUÊNCIA (F) (30E/05F),30E/05F
4,60334,Qualidade,37.210762,-8.704662,ALB. BRAVURA - CONFLU&Ecirc;NCIA (M) (30E/05M), ALB. BRAVURA - CONFLUÊNCIA (M) (30E/05M),30E/05M
5,60333,Qualidade,37.210762,-8.704662,ALB. BRAVURA - CONFLU&Ecirc;NCIA (S) (30E/05S), ALB. BRAVURA - CONFLUÊNCIA (S) (30E/05S),30E/05S
6,2990297756,Qualidade,37.20423,-8.7011,ALB. BRAVURA INT (C) (30E/13C), ALB. BRAVURA INT (C) (30E/13C),30E/13C
7,6788289022,Qualidade,37.28985,-8.46541,ALB. ODELOUCA (S) (30G/51S), ALB. ODELOUCA (S) (30G/51S),30G/51S
8,6829085780,Qualidade,37.29992,-8.46031,ALB. ODELOUCA INT (C) (30G/04C), ALB. ODELOUCA INT (C) (30G/04C),30G/04C
9,3109829974,Qualidade,37.18755,-8.08119,ALGIBRE (30I/54), ALGIBRE (30I/54),30I/54
10,9159134264,Qualidade,37.319839,-8.814953,ALJEZUR (30E/02), ALJEZUR (30E/02),30E/02
11,3109829966,Qualidade,37.32218,-8.79014,ALJEZUR NORTE (30E/50), ALJEZUR NORTE (30E/50),30E/50
12,3109829962,Qualidade,37.29563,-8.79645,ALJEZUR SUL (30E/55), ALJEZUR SUL (30E/55),30E/55
13,3764608238,Qualidade,37.1192,-8.52423,ARADE - FORTE S&Atilde;O JO&Atilde;O (F) (31F/02F), ARADE - FORTE SÃO JOÃO (F) (31F/02F),31F/02F
14,3764608234,Qualidade,37.1192,-8.52423,ARADE - FORTE S&Atilde;O JO&Atilde;O (S) (31F/02S), ARADE - FORTE SÃO JOÃO (S) (31F/02S),31F/02S
15,8259702694,Qualidade,37.224084,-8.378201,ARADE - JUSANTE (30G/53), ARADE - JUSANTE (30G/53),30G/53
16,3764608246,Qualidade,37.14425,-8.51528,ARADE - MEXILHOEIRA CARREGA&Ccedil;&Atilde;O (F) (31F/01F), ARADE - MEXILHOEIRA CARREGAÇÃO (F) (31F/01F),31F/01F
17,3764608250,Qualidade,37.18635,-8.43978,ARADE - SILVES (30G/01), ARADE - SILVES (30G/01),30G/01
18,6863061206,Qualidade,37.19432,-8.40579,ARADE_est 1 (30G/12), ARADE_est 1 (30G/12),30G/12
19,3109825840,Qualidade,37.38762,-8.25686,AZILHEIRA (29H/50), AZILHEIRA (29H/50),29H/50
20,6788285654,Qualidade,37.034133,-7.868026,BELA MANDIL (31J/50), BELA MANDIL (31J/50),31J/50
21,60043,Qualidade,37.154974,-8.721775,BENSAFRIM (31E/01), BENSAFRIM (31E/01),31E/01
22,6833731602,Qualidade,37.120078,-8.676464,BENSAFRIM - JUSANTE (31E/51), BENSAFRIM - JUSANTE (31E/51),31E/51
23,60044,Qualidade,37.16193,-7.69864,BODEGA (31K/03), BODEGA (31K/03),31K/03
24,6788288590,Qualidade,37.186528,-8.692815,BRAVURA - JUSANTE (30E/56), BRAVURA - JUSANTE (30E/56),30E/56
25,3109825836,Qualidade,37.17602,-8.64806,CANAFECHAL (30F/51), CANAFECHAL (30F/51),30F/51
26,9504233324,Qualidade,37.21536,-8.395998,CANAL ARADE (30G/14), CANAL ARADE (30G/14),30G/14
