SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,
,,,,,,,,,,
REDE:,Piezometria,,,,,,,,,
,,,,,,,,,,
CÓDIGO,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO
420/8,1,SETÚBAL,MONTIJO,CANHA,TEJO,44,152403.4,204253.4,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
420/9,2,SETÚBAL,MONTIJO,CANHA,TEJO,44,152404.1,204254.6,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
405/67,1 AH,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,14,137569.9,218952.4,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
405/68,1 AH,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,14,137570,208900,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
405/69,1 AH,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,14,137571,208900,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
587/20,1 AH,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,140,186800,30700,M5 - QUERENÇA - SILVES,
608/375,1 AH,FARO,TAVIRA,SANTO ESTÊVÃO,RIBEIRAS DO ALGARVE,86.32,238726,19654,M14 - MALHÃO,EM SERVIÇO
608/473,1 RN/90,FARO,TAVIRA,SANTA LUZIA,RIBEIRAS DO ALGARVE,28.5,240145,14845,M15 - LUZ - TAVIRA,ENTULHADO
610/183,10 AH,FARO,FARO,-,RIBEIRAS DO ALGARVE,13.72,214010,8419,M12 - CAMPINA DE FARO,EM SERVIÇO
610/182,11 AH,FARO,FARO,-,RIBEIRAS DO ALGARVE,16.24,213950,8640,M12 - CAMPINA DE FARO,EM SERVIÇO
597/111,14 AH,FARO,LOULÉ,SALIR,RIBEIRAS DO ALGARVE,155.26,207543,28106,M5 - QUERENÇA - SILVES,EM SERVIÇO
405/70,2 AH,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,14,137650,218850,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
595/212,2 AH,FARO,SILVES,ALCANTARILHA,RIBEIRAS DO ALGARVE,47.02,182000,25550,M5 - QUERENÇA - SILVES,EM SERVIÇO
600/191,2 AH,FARO,CASTRO MARIM,CASTRO MARIM,GUADIANA,30,261030,28050,M0 - ORLA MERIDIONAL INDIFERENCIADO,EM SERVIÇO
608/471,2 ARN/90,FARO,TAVIRA,LUZ,RIBEIRAS DO ALGARVE,40.48,237650,14450,M15 - LUZ - TAVIRA,EM SERVIÇO
608/470,2 RN/90,FARO,TAVIRA,LUZ,RIBEIRAS DO ALGARVE,39.84,237570,14460,M15 - LUZ - TAVIRA,EM SERVIÇO
606/159,21 SH,FARO,LOULÉ,QUARTEIRA,RIBEIRAS DO ALGARVE,53,204310,14900,M7 - QUARTEIRA,ABANDONADO
606/167,29 SH,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,28,211190,11830,M12 - CAMPINA DE FARO,ABANDONADO
608/472,3 RN/90,FARO,TAVIRA,LUZ,RIBEIRAS DO ALGARVE,26.57,234990,12940,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO
597/96,6 AH,FARO,LOULÉ,BENAFIM,RIBEIRAS DO ALGARVE,182.52,202401,28398,M5 - QUERENÇA - SILVES,EM SERVIÇO
597/95,7 AH,FARO,LOULÉ,BENAFIM,RIBEIRAS DO ALGARVE,195,202500,28400,M5 - QUERENÇA - SILVES,EM SERVIÇO
596/259,8 AH,FARO,SILVES,-,RIBEIRAS DO ALGARVE,80.25,192038,25270,M5 - QUERENÇA - SILVES,EM SERVIÇO
445/7,8SH,SETÚBAL,PALMELA,MARATECA,SADO,76,156308.9,187180,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
596/262,9 AH,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,RIBEIRAS DO ALGARVE,84.64,184217,29418,M5 - QUERENÇA - SILVES,EM RESERVA
63/N1,A10P,BRAGANÇA,MIRANDELA,MÚRIAS,DOURO,344,285155,514613,A0 - MACIÇO ANTIGO INDIFERENCIADO,
104/N2,A11P,BRAGANÇA,VILA FLOR,VILARINHO DAS AZENHAS,DOURO,462,279820,488342,A0 - MACIÇO ANTIGO INDIFERENCIADO,
40/N2,A14,VIANA DO CASTELO,VIANA DO CASTELO,ANHA,LIMA/NEIVA,17,143974,521955,A0 - MACIÇO ANTIGO INDIFERENCIADO,
40/N1,A19,VIANA DO CASTELO,VIANA DO CASTELO,AREOSA,MINHO/ÂNCORA,14,139382,528630,A0 - MACIÇO ANTIGO INDIFERENCIADO,
3/N1,A21,VIANA DO CASTELO,MONÇÃO,SEGUDE,MINHO/ÂNCORA,40,178843,564242,A0 - MACIÇO ANTIGO INDIFERENCIADO,
3/N2,A22,VIANA DO CASTELO,MONÇÃO,SEGUDE,MINHO/ÂNCORA,50,169257,564720,A0 - MACIÇO ANTIGO INDIFERENCIADO,
3/N3,A23,VIANA DO CASTELO,MONÇÃO,TROVISCOSO,MINHO/ÂNCORA,14,173253,568002,A0 - MACIÇO ANTIGO INDIFERENCIADO,
143/N1,A31,AVEIRO,SANTA MARIA DA FEIRA,SANFINS,VOUGA/RIBEIRAS COSTEIRAS,197,166338,440046,A0 - MACIÇO ANTIGO INDIFERENCIADO,
163/106,AC 01,AVEIRO,ESTARREJA,VEIROS,VOUGA/RIBEIRAS COSTEIRAS,9,160600,420350,O1 - QUATERNÁRIO DE AVEIRO,
261/23,AC 01,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,47.56,136660,334200,O10 - LEIROSA - MONTE REAL,
610/179,AC 01,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,3.04,210994,8566,M12 - CAMPINA DE FARO,EM SERVIÇO
610/180,AC 02,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,3.05,210993,8560,M12 - CAMPINA DE FARO,EM SERVIÇO
261/27,AC 09,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,110,142800,334200,O10 - LEIROSA - MONTE REAL,
184/6,AC 1,AVEIRO,ÍLHAVO,ÍLHAVO (SÃO SALVADOR),VOUGA/RIBEIRAS COSTEIRAS,15,150900,404880,O2 - CRETÁCICO DE AVEIRO,
308/21,AC 1,LEIRIA,PORTO DE MÓS,PORTO DE MÓS (SÃO PEDRO),LIS/RIBEIRAS COSTEIRAS,215,142030,290730,O0 - ORLA OCIDENTAL INDIFERENCIADO,
466/21,AC 1,SETÚBAL,SETÚBAL,SADO,SADO,3,143109.9,167620.9,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
584/13,AC 1,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,11,140700,39050,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
600/54,AC 1,FARO,VILA REAL DE SANTO ANTÓNIO,MONTE GORDO,RIBEIRAS DO ALGARVE,3.99,261200,24350,M17 - MONTE GORDO,EM SERVIÇO
606/217,AC 1,FARO,LOULÉ,QUARTEIRA,RIBEIRAS DO ALGARVE,27.38,205238,12380,M7 - QUARTEIRA,EM RESERVA
185/76,AC 10,AVEIRO,AVEIRO,ESGUEIRA,VOUGA/RIBEIRAS COSTEIRAS,10,158440,408960,O2 - CRETÁCICO DE AVEIRO,
248B/7,AC 10,COIMBRA,FIGUEIRA DA FOZ,MARINHA DAS ONDAS,LIS/RIBEIRAS COSTEIRAS,8,135900,343300,O10 - LEIROSA - MONTE REAL,
260/12,AC 10,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,32.45,135880,339150,O10 - LEIROSA - MONTE REAL,
261/4,AC 11,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,40,136300,337200,O10 - LEIROSA - MONTE REAL,
163/58,AC 11A,AVEIRO,ESTARREJA,VEIROS,VOUGA/RIBEIRAS COSTEIRAS,4.71,159140,420630,O1 - QUATERNÁRIO DE AVEIRO,
261/19,AC 13,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,43.09,138000,335400,O10 - LEIROSA - MONTE REAL,
163/55,AC 14,AVEIRO,ESTARREJA,VEIROS,VOUGA/RIBEIRAS COSTEIRAS,9.61,160480,420790,O1 - QUATERNÁRIO DE AVEIRO,
261/28,AC 16,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,56.58,140200,334900,O10 - LEIROSA - MONTE REAL,
248B/1,AC 19,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,13,134730,340420,O10 - LEIROSA - MONTE REAL,DESTRUÍDO
261/15,AC 2,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,60,140400,333800,O10 - LEIROSA - MONTE REAL,
584/14,AC 2,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,11,140700,39100,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
596/278,AC 2,FARO,ALBUFEIRA,PADERNE,RIBEIRAS DO ALGARVE,69.01,194950,25650,M5 - QUERENÇA - SILVES,EM SERVIÇO
597/87,AC 2,FARO,LOULÉ,QUERENÇA,RIBEIRAS DO ALGARVE,119.57,208171,24544,M5 - QUERENÇA - SILVES,EM SERVIÇO
600/59,AC 2,FARO,CASTRO MARIM,ALTURA,RIBEIRAS DO ALGARVE,3.38,256350,23850,M16 - S. BARTOLOMEU,EM SERVIÇO
606/1026,AC 2,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,6.83,211317,10553,M12 - CAMPINA DE FARO,EM RESERVA
318/2,AC 2 A,LEIRIA,PORTO DE MÓS,SERRO VENTOSO,TEJO,414,141660,287000,O20 - MACIÇO CALCÁRIO ESTREMENHO,
249/17,AC 20,LEIRIA,POMBAL,-,LIS/RIBEIRAS COSTEIRAS,31.27,136640,340600,O10 - LEIROSA - MONTE REAL,
163/52,AC 21,AVEIRO,ESTARREJA,BEDUÍDO,VOUGA/RIBEIRAS COSTEIRAS,13.38,161560,422210,O1 - QUATERNÁRIO DE AVEIRO,
260/1,AC 21,LEIRIA,LEIRIA,COIMBRÃO,LIS/RIBEIRAS COSTEIRAS,41,133000,331280,O10 - LEIROSA - MONTE REAL,
