SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Qualidade

CÓDIGO,NOME,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),LATITUDE (ºN),LONGITUDE (ºW),ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
30E/03F,ALB. BRAVURA (F),RIBEIRAS DO ALGARVE,82,5573061.12,-5753644.05,37.20291,-8.70104,ARH-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,76.54,15.91,13-12-1994,-,CAPTAÇÃO-75-440 / EXTRACÇÃO,ATIVA,
30E/03M,ALB. BRAVURA (M),RIBEIRAS DO ALGARVE,82,5573061.12,-5753644.05,37.20291,-8.70104,ARH-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,76.54,15.91,13-12-1994,-,CAPTAÇÃO-75-440 / EXTRACÇÃO,ATIVA,
30E/03S,ALB. BRAVURA (S),RIBEIRAS DO ALGARVE,82,5573061.12,-5753644.05,37.20291,-8.70104,ARH-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,76.54,15.91,24-10-1989,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG / NITRATOS,ATIVA,
30E/05F,ALB. BRAVURA - CONFLUÊNCIA (F),RIBEIRAS DO ALGARVE,82,149785,26434,37.210762,-8.704662,CCDR-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,76.54,15.91,13-12-1994,11-07-2005,Fluxo,EXTINTA,
30E/05M,ALB. BRAVURA - CONFLUÊNCIA (M),RIBEIRAS DO ALGARVE,82,149785,26434,37.210762,-8.704662,CCDR-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,76.54,15.91,13-12-1994,11-07-2005,Fluxo,EXTINTA,
30E/05S,ALB. BRAVURA - CONFLUÊNCIA (S),RIBEIRAS DO ALGARVE,82,149785,26434,37.210762,-8.704662,CCDR-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,76.54,15.91,13-12-1994,11-07-2005,Fluxo,EXTINTA,
30E/13C,ALB. BRAVURA INT (C),RIBEIRAS DO ALGARVE,82,5573061.12,-5753644.05,37.20423,-8.7011,ARH-ALGARVE,FARO,LAGOS,BENSAFRIM,RIBEIRO DE ODEÁXERE,76.54,15.91,26-05-2009,-,DQA_QUIM_VIG,ATIVA,
30G/51S,ALB. ODELOUCA (S),RIBEIRAS DO ALGARVE,47,5593481.07,-5718730.88,37.28985,-8.46541,ARH-ALGARVE,FARO,MONCHIQUE,ALFERCE,RIBEIRA DE ODELOUCA,-,-,24-05-2012,-,CAPTAÇÃO / DQA_QUIM_OPER,ATIVA,
30G/04C,ALB. ODELOUCA INT (C),RIBEIRAS DO ALGARVE,53,5593481.07,-5718730.88,37.29992,-8.46031,ARH-ALGARVE,FARO,MONCHIQUE,ALFERCE,RIBEIRA DE ODELOUCA,-,-,24-05-2012,-,DQA_ECOL_OPER,ATIVA,
30I/54,ALGIBRE,RIBEIRAS DO ALGARVE,99,204608,24628,37.18755,-8.08119,ARH-ALGARVE,FARO,LOULÉ,LOULÉ (SÃO SEBASTIÃO),RIBEIRA DA QUARTEIRA OU DE ALTE,-,-,20-04-2009,-,DQA_ECOL_OPER,ATIVA,
