,marker site,latitude,longitude,estacao3,estacao
0,2028876,42.0474,-8.38867,3/N1, 3/N1
1,2028878,42.05139,-8.50448,3/N2, 3/N2
2,2028880,42.08108,-8.45636,3/N3, 3/N3
3,2028960,41.92469,-8.67507,7/N1, 7/N1
4,2029016,41.91878,-7.08364,10/N1, 10/N1
5,2028824,41.89721,-8.72432,14/N1, 14/N1
6,2028826,41.9138,-8.7478,14/N2, 14/N2
7,2028862,41.8883,-8.27061,17/N1, 17/N1
8,2029572,41.85251,-7.76419,19/N1, 19/N1
9,2029018,41.87519,-7.02856,23/N1, 23/N1
10,2028958,41.78045,-8.83386,27/N1, 27/N1
11,2028978,41.77368,-8.71139,27/N2, 27/N2
12,2004560,41.74123,-8.64391,28/1, 28/1
13,2028900,41.76035,-8.62202,28/N1, 28/N1
14,2028962,41.75361,-8.14929,30/N1, 30/N1
15,2028990,41.79414,-7.81418,32/N1, 32/N1
16,2028884,41.79257,-7.36325,34/N1, 34/N1
17,72466,41.74868,-7.45836,34/1, 34/1
18,2028874,41.75056,-7.44371,34/N2, 34/N2
19,2050590,41.74405,-7.44792,34/30, 34/30
20,2050596,41.75593,-7.44114,34/31, 34/31
21,2070250,41.7468,-7.44692,34/32, 34/32
22,2029020,41.77796,-7.08974,36/N1, 36/N1
23,2028882,41.72475,-8.86163,40/N1, 40/N1
24,72477,41.72471,-8.86171,40/1, 40/1
25,2028864,41.665,-8.80582,40/N2, 40/N2
26,2028866,41.66375,-8.81183,40/N3, 40/N3
27,2028980,41.72722,-8.81368,40/N4, 40/N4
28,2028902,41.72851,-8.5272,41/N1, 41/N1
29,2028992,41.6952,-8.29367,43/N1, 43/N1
30,2028994,41.71022,-7.64128,46/N1, 46/N1
31,2028832,41.66767,-7.50607,47/N1, 47/N1
32,2028856,41.65662,-6.41817,52/N1, 52/N1
33,2050564,41.56138,-8.71872,54/1, 54/1
34,2028898,41.63987,-8.68102,55/N1, 55/N1
35,2028906,41.61487,-8.35457,56/N1, 56/N1
36,2028840,41.59645,-7.11159,63/N2, 63/N2
37,2028834,41.59478,-6.93047,64/N1, 64/N1
38,2028858,41.61963,-6.40633,66/N1, 66/N1
39,17125,41.50021,-8.77086,68/1, 68/1
40,17126,41.49802,-8.75887,68/2, 68/2
41,101256238,41.49698,-8.75766,68/2A, 68/2A
42,17127,41.49597,-8.77118,68/3, 68/3
43,17128,41.49256,-8.77031,68/4, 68/4
44,17129,41.49215,-8.74588,68/5, 68/5
45,17130,41.48983,-8.77459,68/6, 68/6
46,17132,41.47161,-8.76496,68/8, 68/8
47,17133,41.47166,-8.75598,68/9, 68/9
48,2050584,41.48413,-8.71255,68/10, 68/10
49,2072810,41.53608,-8.75875,68/11, 68/11
50,2077890,41.52719,-8.76799,68/13, 68/13
51,2050570,41.46981,-8.69017,69/1, 69/1
52,2028904,41.50211,-8.58233,69/N1, 69/N1
53,2050578,41.50809,-8.67909,69/2, 69/2
54,2029010,41.51411,-7.79694,73/N1, 73/N1
55,2028892,41.48553,-7.71125,74/N1, 74/N1
56,2028836,41.48335,-6.91654,78/N1, 78/N1
57,2028860,41.47775,-6.51421,80/N1, 80/N1
58,2029802,41.44174,-8.77508,82/N1, 82/N1
59,2081580,41.44272,-8.77409,82/N2, 82/N2
60,17134,41.46274,-8.75589,82/10, 82/10
61,17135,41.46071,-8.74977,82/11, 82/11
62,17136,41.45989,-8.76796,82/12, 82/12
63,17137,41.45876,-8.76028,82/13, 82/13
64,17138,41.45427,-8.75797,82/14, 82/14
65,17139,41.45325,-8.7631,82/15, 82/15
66,17140,41.44184,-8.7758,82/16, 82/16
67,17141,41.44089,-8.76729,82/17, 82/17
