Compound 1,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,-0.003,0.016,0.026,0.023,0.0422,0.0975,0.0789,0.03,-1.19013
2,0,-0.003,0,0.001,-0.007,0.0078,-0.01,0.1271,0.084,0.044,0
3,0,0.016,0.001,0,-0.007,0.0267,0.0007,0.1324,0.0864,0.078,0
4,0,0.026,-0.007,-0.007,0,0,0,0.12125,0.0743,0.1,0
5,0,0.023,0.0078,0.0267,0,0,0.00030095,0.1239,0.0633,0.1,-0.345891
6,0,0.0422,-0.01,0.0007,0,0.00030095,0,0.1236,0.0605,0.1496,0
7,0,0.0975,0.1271,0.1324,0.12125,0.1239,0.1236,0,0.0995,-0.0146,0
8,0,0.0789,0.084,0.0864,0.0743,0.0633,0.0605,0.0995,0,0,0
9,0,0.03,0.044,0.078,0.1,0.1,0.1496,-0.0146,0,0,-0.0119
10,0,-1.19013,0,0,0,-0.345891,0,0,0,-0.0119,0
