ID,Formula,Tc,Pc,omega,kappa1,chemGroup,I,alpha,M,H1,H2,H3,H4,A1,B1,A2,B2
0,H2O,647.3,22.09,0.3438,-0.06635,{16: 1},,,18.02,,,,,0,0,0,0
1,CH4,190.6,4.6,0.008,-0.00159,{118:1},12.61,2.593,16.04,-183.7861097,9112.581782,25.04046301,-0.000145949,0.066252669,0.065528834,7.82E-09,0.121774612
2,C2H6,305.4,4.884,0.098,0.02669,{1: 2},11.56,4.47,30.07,-268.4408656,13369.40111,37.55611475,-0.00229995,0.066533792,0.059110296,1.36E-11,0.13902368
3,C3H8,369.8,4.246,0.152,0.03136,"{1: 2, 2: 1}",10.95,6.29,44.1,-316.4901862,15922.69753,44.32853548,0,0.156128059,0.050934282,1.27E-21,0.220334301
4,i-C4H10,407.81,3.629,0.184,0.0885,"{1: 3, 3: 1}",10.57,8.14,58.12,-164.9974836,8433.61852,21.56014092,0.008439859,0.015443976,0.057877134,5.82E-21,0.213163568
5,C5H12,469.8,3.36,0.251,0.03946,"{1: 2, 2: 3}",10.28,9.879,72.15,-159.8681429,8742.425767,21.67121288,-0.001102164,1,0,1,0
6,C6H14,507.6,3.02,0.299,0.05104,"{1: 2, 2: 4}",10.13,11.63,86.18,96.11575239,-2472.571716,-17.36799195,0,1,0,1,0
7,CO2,304.2,7.376,0.225,0.04285,{117: 1},13.773,2.911,44.01,-159.868,8742.426,21.6712,-0.0011,1.16E-08,0.118423502,0.000255561,0.082930345
8,H2S,373.1,9,0.1005,0,{114:1},10.457,3.631,34.08,-149.551,8227.328,20.2327,0.00129,0.000381525,0.07166131,1.78E-06,0.09153445
9,N2,126.192,3.3958,0.0372,0.01996,{115: 1},15.5808,1.7403,28.01,-144.4096628,7775.842979,18.39924509,0.009444489,0.000257526,0.091388021,0.000257526,0.091388021
10,O2,154.581,5.043,0.0222,0.01512,{119: 1},12.07,1.562,32,-149.551082,8227.32763,20.23271263,0.001294177,0.000184714,0.09153445,0.000184714,0.09153445
