structure,Compound ID,Formula,A,B,C,D
I,1,CH4,4.641295719,-5366.102041,2.778907444,-0.008332061
I,2,C2H6,4.761524255,-5419.383501,2.778907444,-0.009774003
I,3,C3H8,5,-5235.634026,2.778907444,-0.006971265
I,5,C5H12,0,0,0,0
I,6,C6H14,0,0,0,0
I,7,CO2,4.590710729,-5345.282931,2.778907444,-0.007522178
I,8,H2S,4.263396552,-4916.286478,2.778907444,-0.004051561
I,9,N2,4.715661665,-5373.269506,2.778907444,-0.009506022
II,1,CH4,4.608929996,-5397.845482,2.778907444,-0.007775917
II,2,C2H6,4.712557363,-5464.49251,2.778907444,-0.009299406
II,3,C3H8,4.707955084,-5449.888687,2.778907444,-0.009232972
II,4,i-C4H10,4.6818,-5455.2664,2.778907444,-0.0089678
II,7,CO2,4.842218443,-5621.081202,2.778907444,-0.00919865
II,9,N2,4.69009416,-5354.380735,2.778907444,-0.009345515
II,10,O2,4.679211894,-5355.899101,2.778929791,-0.009326661
