Species,MW (g/mol),B1,B2,Kf,Max Conc.
Methanol,32.04,-1.07931,-0.69338,-1.86,60
Ethanol,46.07,-1.02887,-0.14573,-1.99,30
Glycerol,92.09,-0.9743,-2.03087,-3.11,50
Monoethylene Glycol,62.07,-0.99971,-2.21514,-3.11,70
Diethylene Glycol,106.12,-0.89092,-5.13041,-2.26,50
Triethylene Glycol,150.17,-1.26323,-5.94438,-2.26,50
