Structure,Shell,Guest,Ac,Bc,Dc
I,0,1,-23.64528456,2714.564281,0
I,0,2,-23.18064417,13.74693553,65052.41579
I,0,3,-100,0,0
I,0,4,-100,0,0
I,0,5,-100,0,0
I,0,6,-100,0,0
I,0,7,-24.98243088,2743.737542,31948.64958
I,0,8,-26.33120006,3822.514824,-45381.84691
I,0,9,-23.06457896,2475.867338,0
I,0,10,-100,0,0
I,1,1,-22.06505254,2760.16044,0
I,1,2,-23.72897707,3843.277306,8882.42543
I,1,3,-100,0,0
I,1,4,-100,0,0
I,1,5,-100,0,0
I,1,6,-100,0,0
I,1,7,-22.40365172,3171.760387,0
I,1,8,-26.92192792,7358.818357,-237581.8488
I,1,9,-21.84244136,2337.176449,0
I,1,10,-100,0,0
II,0,1,-23.57460298,2708.807015,0
II,0,2,-24.83782675,926.9896525,43614.85256
II,0,3,-100,0,0
II,0,4,-100,0,0
II,0,5,-100,0,0
II,0,6,-100,0,0
II,0,7,-25.175152,3089.474145,48259.6778
II,0,8,-26.33120006,3822.514824,-45381.84691
II,0,9,-22.97258845,2499.223241,0
II,0,10,-22.97258845,2499.223241,0
II,1,1,-20.69907231,2147.68986,-12013.62107
II,1,2,-22.22906466,3534.889607,-3371.30006
II,1,3,-23.1307,4176.1979,45939.4593
II,1,4,-41.58930842,12568.40565,-984700.0676
II,1,5,-100,0,0
II,1,6,-100,0,0
II,1,7,-21.09172412,2405.366157,28783
II,1,8,-26.92192792,7358.818357,-237581.8488
II,1,9,-20.61595609,2033.604317,0
II,1,10,-20.61595609,2033.604317,0
